物体ID,名称,类型[0=Projectile，1=Block],是否使用重力[0=不使用，1=使用],二次搭建[-1=不能二次搭建，0=可以二次搭建，不填默认值0],质量g,阻力,角阻力,材质ID,形状ID[0=球体，1=立方体，2=胶囊体],形状参数1,形状参数2,形状参数3,0=不能编辑且无物理效果，1=不能编辑但有物理效果，2=可编辑但无物理效果，3=可编辑且有物理效果,模型放缩,（暂不用）冻结x位移[0=不冻结，1=冻结],（暂不用）冻结y位移[0=不冻结，1=冻结],（暂不用）冻结z位移[0=不冻结，1=冻结],（暂不用）冻结x旋转[0=不冻结，1=冻结],（暂不用）冻结y旋转[0=不冻结，1=冻结],（暂不用）冻结z旋转[0=不冻结，1=冻结],（暂不用）中心
1169,光照感应器,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1170,高度感应器,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1171,速度感应器,1,1,,24000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
2000,微缩模型,1,1,,12000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
13425,篮球,0,1,,1500,0.5,0.4,12,0,50,,,3,1,,,,,,,
11592,回旋镖,0,1,,1500,0,0.5,10,2,17,107,2,2,1,,,,,,,
1188,船舵,1,1,,10000,0.5,0.5,10,1,100,200,100,1,1,,,,,,,
1189,螺旋推进器,1,1,,15000,0.5,0.5,10,1,200,200,200,1,1,,,,,,,
1190,浮桶,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1244,星球岩斜块,1,1,,5000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1245,竹板斜块,1,1,,5000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1246,胭脂红斜块,1,1,,5000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1247,水泥砖斜块,1,1,,5000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1248,硫黄砖斜块,1,1,,5000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1249,石质斜块,1,1,,5000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1250,精制石砖斜块,1,1,,5000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1251,钛合金斜块,1,1,,5000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1252,黄铜斜块,1,1,,5000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1253,硅石斜块,1,1,,5000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1254,秘银斜块,1,1,,5000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1255,炽炎斜块,1,1,,5000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1256,柠檬黄斜块,1,1,,5000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1257,苍石灰斜块,1,1,,5000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1258,深栗红斜块,1,1,,5000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1259,落日橙斜块,1,1,,5000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1260,海棠红斜块,1,1,,5000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1261,象牙白斜块,1,1,,5000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1262,秋叶橙斜块,1,1,,5000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1263,斜块,1,1,,5000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1264,黄砖斜块,1,1,,5000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1265,锰块斜块,1,1,,5000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1266,椰树原木,1,1,,10000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1267,星球岩半斜块,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1268,星球岩大半斜块,1,1,,7500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1269,竹板半斜块,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1270,竹板大半斜块,1,1,,7500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1271,胭脂红半斜块,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1272,胭脂红大半斜块,1,1,,7500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1273,水泥砖半斜块,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1274,水泥砖大半斜块,1,1,,7500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1275,硫黄砖半斜块,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1276,硫黄砖大半斜块,1,1,,7500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1277,石质半斜块,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1278,石质大半斜块,1,1,,7500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1279,精制石砖半斜块,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1280,精制石砖大半斜块,1,1,,7500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1281,钛合金半斜块,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1282,钛合金大半斜块,1,1,,7500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1283,黄铜半斜块,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1284,黄铜大半斜块,1,1,,7500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1285,硅石半斜块,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1286,硅石大半斜块,1,1,,7500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1287,秘银半斜块,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1288,秘银大半斜块,1,1,,7500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1289,炽炎半斜块,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1290,炽炎大半斜块,1,1,,7500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1291,柠檬黄半斜块,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1292,柠檬黄大半斜块,1,1,,7500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1293,苍石灰半斜块,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1294,苍石灰大半斜块,1,1,,7500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1295,深栗红半斜块,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1296,深栗红大半斜块,1,1,,7500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1297,落日橙半斜块,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1298,落日橙大半斜块,1,1,,7500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1299,海棠红半斜块,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1300,海棠红大半斜块,1,1,,7500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1301,象牙白半斜块,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1302,象牙白大半斜块,1,1,,7500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1303,秋叶橙半斜块,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1304,秋叶橙大半斜块,1,1,,7500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1305,半斜块,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1306,大半斜块,1,1,,7500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1307,黄砖半斜块,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1308,黄砖大半斜块,1,1,,7500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1309,锰块半斜块,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1310,锰块大半斜块,1,1,,7500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1311,星球岩竖半斜块,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1312,星球岩竖大半斜块,1,1,,7500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1313,竹板竖半斜块,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1314,竹板竖大半斜块,1,1,,7500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1315,胭脂红竖半斜块,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1316,胭脂红竖大半斜块,1,1,,7500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1317,水泥砖竖半斜块,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1318,水泥砖竖大半斜块,1,1,,7500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1319,硫黄砖竖半斜块,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1320,硫黄砖竖大半斜块,1,1,,7500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1321,石质竖半斜块,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1322,石质竖大半斜块,1,1,,7500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1323,精制石砖竖半斜块,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1324,精制石砖竖大半斜块,1,1,,7500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1325,钛合金竖半斜块,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1326,钛合金竖大半斜块,1,1,,7500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1327,黄铜竖半斜块,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1328,黄铜竖大半斜块,1,1,,7500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1329,硅石竖半斜块,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1330,硅石竖大半斜块,1,1,,7500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1331,秘银竖半斜块,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1332,秘银竖大半斜块,1,1,,7500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1333,炽炎竖半斜块,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1334,炽炎竖大半斜块,1,1,,7500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1335,柠檬黄竖半斜块,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1336,柠檬黄竖大半斜块,1,1,,7500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1337,苍石灰竖半斜块,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1338,苍石灰竖大半斜块,1,1,,7500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1339,深栗红竖半斜块,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1340,深栗红竖大半斜块,1,1,,7500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1341,落日橙竖半斜块,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1342,落日橙竖大半斜块,1,1,,7500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1343,海棠红竖半斜块,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1344,海棠红竖大半斜块,1,1,,7500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1345,象牙白竖半斜块,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1346,象牙白竖大半斜块,1,1,,7500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1347,秋叶橙竖半斜块,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1348,秋叶橙竖大半斜块,1,1,,7500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1349,竖半斜块,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1350,竖大半斜块,1,1,,7500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1351,黄砖竖半斜块,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1352,黄砖竖大半斜块,1,1,,7500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1353,锰块竖半斜块,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1354,锰块竖大半斜块,1,1,,7500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1355,星球岩竖块,1,1,,5000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1356,竹板竖块,1,1,,5000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1357,胭脂红竖块,1,1,,5000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1358,水泥砖竖块,1,1,,5000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1359,硫黄砖竖块,1,1,,5000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1360,石质竖块,1,1,,5000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1361,精制石砖竖块,1,1,,5000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1362,钛合金竖块,1,1,,5000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1363,黄铜竖块,1,1,,5000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1364,硅石竖块,1,1,,5000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1365,秘银竖块,1,1,,5000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1366,炽炎竖块,1,1,,5000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1367,柠檬黄竖块,1,1,,5000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1368,苍石灰竖块,1,1,,5000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1369,深栗红竖块,1,1,,5000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1370,落日橙竖块,1,1,,5000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1371,海棠红竖块,1,1,,5000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1372,象牙白竖块,1,1,,5000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1373,秋叶橙竖块,1,1,,5000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1374,竖块,1,1,,5000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1375,黄砖竖块,1,1,,5000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1376,锰块竖块,1,1,,5000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1380,浅苍灰木板,1,1,,10000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1381,浅苍灰楼梯,1,1,,7500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1382,浅苍灰台阶,1,1,,5000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1383,浅苍灰斜块,1,1,,5000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1384,浅苍灰半斜块,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1385,浅苍灰大半斜块,1,1,,7500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1386,浅苍灰竖半斜块,1,1,,2500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1387,浅苍灰竖大半斜块,1,1,,7500,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
1388,浅苍灰竖块,1,1,,5000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
457,钛合金块,1,1,,10000,0.5,0.5,10,1,100,100,100,1,1,,,,,,,
