id,合成品名称,合成品ID,背包显示排序,子类顺序,配方类别（0常用，1战斗，2工具，3材料，4建筑，6机械，7出现在食谱内，8出现在秘银锅内。填两个表示同时显示到两个分类里）,子类(填的是crafting的id),"插件编辑（大于0开放插件编辑，1：常用,2:装备,3:道具,4:材料,5:建筑,6:装饰,7:机械；填两个表示同时显示到两个分类里",插件编辑模板[0=不是模板，1=作为模板],英文名称,海外开放,必填/插件用,合成品数量,消耗经验,横占格（填3）,竖占格（填3）,组（0不为组1为组，例如木板通用）（关联Itemdef的ItemGroup）,是否随身合成（11616钛金锤（曾经是需要工具箱0，程序特殊处理了），11000空手（曾经是不需要工具箱1，程序特殊处理了），800不完整工匠台，797完整工匠台，794石锅，795铁锅，150029融合台）,烹饪时长（制作一份所需要的标准时长，单位tick，20tick=1s）,1格材料ID,1格材料数量,1格保留容器ID,2格材料ID,2格材料数量,2格保留容器ID,3格材料ID,3格材料数量,3格保留容器ID,4格材料ID,4格材料数量,4格保留容器ID,5格材料ID,5格材料数量,5格保留容器ID,6格材料ID,6格材料数量,6格保留容器ID,7格材料ID,7格材料数量,7格保留容器ID,8格材料ID,8格材料数量,8格保留容器ID,9格材料ID,9格材料数量,9格保留容器ID,货币ID,货币数量,分数,野人合成检测开关（0需要合成；1不需要合成）
881,柠檬黄三棱柱,170013,2069,1,[4],[888],,,,,,8,0,3,3,0,800,0,11323,4,,11540,1,,,,,,,,,,,,,,,,,,,,,,,,,,
882,苍石灰三棱柱,170014,2070,1,[4],[888],,,,,,8,0,3,3,0,800,0,11323,4,,11507,1,,,,,,,,,,,,,,,,,,,,,,,,,,
883,深栗红三棱柱,170015,2071,1,[4],[888],,,,,,8,0,3,3,0,800,0,11323,4,,11512,1,,,,,,,,,,,,,,,,,,,,,,,,,,
884,落日橙三棱柱,170016,2072,1,[4],[888],,,,,,8,0,3,3,0,800,0,11323,4,,11536,1,,,,,,,,,,,,,,,,,,,,,,,,,,
885,海棠红三棱柱,170017,2073,1,[4],[888],,,,,,8,0,3,3,0,800,0,11323,4,,11506,1,,,,,,,,,,,,,,,,,,,,,,,,,,
886,象牙白三棱柱,170018,2074,1,[4],[888],,,,,,8,0,3,3,0,800,0,11323,4,,11500,1,,,,,,,,,,,,,,,,,,,,,,,,,,
887,秋叶橙三棱柱,170019,2075,1,[4],[888],,,,,,8,0,3,3,0,800,0,11323,4,,11537,1,,,,,,,,,,,,,,,,,,,,,,,,,,
888,三棱柱,170020,2076,[27],[4],[888],,,,,,2,0,3,3,0,800,0,11323,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
889,黄砖三棱柱,170021,2077,1,[4],[888],,,,,,2,0,3,3,0,800,0,108,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
890,锰块三棱柱,170022,2078,1,[4],[888],,,,,,2,0,3,3,0,800,0,12614,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
891,浅苍灰三棱柱,170023,2079,1,[4],[888],,,,,,8,0,3,3,0,800,0,11323,4,,11508,1,,,,,,,,,,,,,,,,,,,,,,,,,,
892,软雪三棱柱,170024,2080,1,[4],[888],,,,,,2,0,3,3,0,800,0,160001,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
893,厚雪三棱柱,170025,2081,1,[4],[888],,,,,,2,0,3,3,0,800,0,122,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
894,自然冰三棱柱,170026,2082,1,[4],[888],,,,,,2,0,3,3,0,800,0,160002,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
895,永冻冰三棱柱,170027,2083,1,[4],[888],,,,,,2,0,3,3,0,800,0,160002,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
896,星球岩弧板,171001,2084,1,[4],[915],,,,,,2,0,3,3,0,800,0,116,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
897,竹板弧板,171002,2085,1,[4],[915],,,,,,2,0,3,3,1,800,0,251,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
898,胭脂红弧板,171003,2086,1,[4],[915],,,,,,8,0,3,3,0,800,0,11323,4,,11502,1,,,,,,,,,,,,,,,,,,,,,,,,,,
899,水泥砖弧板,171004,2087,1,[4],[915],,,,,,2,0,3,3,0,800,0,11213,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900,硫黄砖弧板,171005,2088,1,[4],[915],,,,,,2,0,3,3,0,800,0,11214,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
901,石质弧板,171006,2089,1,[4],[915],,,,,,1,0,3,3,0,800,0,11627,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
902,精制石砖弧板,171007,2090,1,[4],[915],,,,,,2,0,3,3,0,800,0,501,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
903,钛合金弧板,171008,2091,1,[4],[915],,,,,,2,0,3,3,0,800,0,11330,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
904,黄铜弧板,171009,2092,1,[4],[915],,,,,,2,0,3,3,0,800,0,11329,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
905,云母弧板,171010,2093,1,[4],[915],,,,,,2,0,3,3,0,800,0,11210,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
906,秘银弧板,171011,2094,1,[4],[915],,,,,,2,0,3,3,0,800,0,11209,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
907,炽炎弧板,171012,2095,1,[4],[915],,,,,,2,0,3,3,0,800,0,11207,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
908,柠檬黄弧板,171013,2096,1,[4],[915],,,,,,8,0,3,3,0,800,0,11323,4,,11540,1,,,,,,,,,,,,,,,,,,,,,,,,,,
909,苍石灰弧板,171014,2097,1,[4],[915],,,,,,8,0,3,3,0,800,0,11323,4,,11507,1,,,,,,,,,,,,,,,,,,,,,,,,,,
910,深栗红弧板,171015,2098,1,[4],[915],,,,,,8,0,3,3,0,800,0,11323,4,,11512,1,,,,,,,,,,,,,,,,,,,,,,,,,,
911,落日橙弧板,171016,2099,1,[4],[915],,,,,,8,0,3,3,0,800,0,11323,4,,11536,1,,,,,,,,,,,,,,,,,,,,,,,,,,
912,海棠红弧板,171017,2100,1,[4],[915],,,,,,8,0,3,3,0,800,0,11323,4,,11506,1,,,,,,,,,,,,,,,,,,,,,,,,,,
913,象牙白弧板,171018,2101,1,[4],[915],,,,,,8,0,3,3,0,800,0,11323,4,,11500,1,,,,,,,,,,,,,,,,,,,,,,,,,,
914,秋叶橙弧板,171019,2102,1,[4],[915],,,,,,8,0,3,3,0,800,0,11323,4,,11537,1,,,,,,,,,,,,,,,,,,,,,,,,,,
915,弧板,171020,2103,[24],[4],[915],,,,,,2,0,3,3,0,800,0,11323,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
916,黄砖弧板,171021,2104,1,[4],[915],,,,,,2,0,3,3,0,800,0,108,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
917,锰块弧板,171022,2105,1,[4],[915],,,,,,2,0,3,3,0,800,0,12614,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
918,浅苍灰弧板,171023,2106,1,[4],[915],,,,,,8,0,3,3,0,800,0,11323,4,,11508,1,,,,,,,,,,,,,,,,,,,,,,,,,,
919,软雪斜板,171024,2107,1,[4],[709],,,,,,2,0,3,3,0,800,0,160001,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
920,厚雪斜板,171025,2108,1,[4],[709],,,,,,2,0,3,3,0,800,0,122,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
921,自然冰斜板,171026,2109,1,[4],[709],,,,,,2,0,3,3,0,800,0,160002,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
922,永冻冰斜板,171027,2110,1,[4],[709],,,,,,2,0,3,3,0,800,0,160002,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
923,星球岩薄弧板,172001,2111,1,[4],[942],,,,,,4,0,3,3,0,800,0,116,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
924,竹板薄弧板,172002,2112,1,[4],[942],,,,,,4,0,3,3,0,800,0,251,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
925,胭脂红薄弧板,172003,2113,1,[4],[942],,,,,,16,0,3,3,0,800,0,11323,4,,11502,1,,,,,,,,,,,,,,,,,,,,,,,,,,
926,水泥砖薄弧板,172004,2114,1,[4],[942],,,,,,4,0,3,3,0,800,0,11213,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927,硫黄砖薄弧板,172005,2115,1,[4],[942],,,,,,4,0,3,3,0,800,0,11214,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
928,石质薄弧板,172006,2116,1,[4],[942],,,,,,1,0,3,3,0,800,0,11627,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
929,精制石砖薄弧板,172007,2117,1,[4],[942],,,,,,4,0,3,3,0,800,0,501,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
930,钛合金薄弧板,172008,2118,1,[4],[942],,,,,,4,0,3,3,0,800,0,11330,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
931,黄铜薄弧板,172009,2119,1,[4],[942],,,,,,4,0,3,3,0,800,0,11329,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
932,云母薄弧板,172010,2120,1,[4],[942],,,,,,4,0,3,3,0,800,0,11210,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
933,秘银薄弧板,172011,2121,1,[4],[942],,,,,,4,0,3,3,0,800,0,11209,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
934,炽炎薄弧板,172012,2122,1,[4],[942],,,,,,4,0,3,3,0,800,0,11207,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935,柠檬黄薄弧板,172013,2123,1,[4],[942],,,,,,16,0,3,3,0,800,0,11323,4,,11540,1,,,,,,,,,,,,,,,,,,,,,,,,,,
936,苍石灰薄弧板,172014,2124,1,[4],[942],,,,,,16,0,3,3,0,800,0,11323,4,,11507,1,,,,,,,,,,,,,,,,,,,,,,,,,,
937,深栗红薄弧板,172015,2125,1,[4],[942],,,,,,16,0,3,3,0,800,0,11323,4,,11512,1,,,,,,,,,,,,,,,,,,,,,,,,,,
938,落日橙薄弧板,172016,2126,1,[4],[942],,,,,,16,0,3,3,0,800,0,11323,4,,11536,1,,,,,,,,,,,,,,,,,,,,,,,,,,
939,海棠红薄弧板,172017,2127,1,[4],[942],,,,,,16,0,3,3,0,800,0,11323,4,,11506,1,,,,,,,,,,,,,,,,,,,,,,,,,,
940,象牙白薄弧板,172018,2128,1,[4],[942],,,,,,16,0,3,3,0,800,0,11323,4,,11500,1,,,,,,,,,,,,,,,,,,,,,,,,,,
941,秋叶橙薄弧板,172019,2129,1,[4],[942],,,,,,16,0,3,3,0,800,0,11323,4,,11537,1,,,,,,,,,,,,,,,,,,,,,,,,,,
942,薄弧板,172020,2130,[25],[4],[942],,,,,,4,0,3,3,0,800,0,11323,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
943,黄砖薄弧板,172021,2131,1,[4],[942],,,,,,4,0,3,3,0,800,0,108,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
944,锰块薄弧板,172022,2132,1,[4],[942],,,,,,4,0,3,3,0,800,0,12614,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
945,浅苍灰薄弧板,172023,2133,1,[4],[942],,,,,,16,0,3,3,0,800,0,11323,4,,11508,1,,,,,,,,,,,,,,,,,,,,,,,,,,
946,软雪薄弧板,172024,2134,1,[4],[942],,,,,,4,0,3,3,0,800,0,160001,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
947,厚雪薄弧板,172025,2135,1,[4],[942],,,,,,4,0,3,3,0,800,0,122,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
948,自然冰薄弧板,172026,2136,1,[4],[942],,,,,,4,0,3,3,0,800,0,123,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
949,永冻冰薄弧板,172027,2137,1,[4],[942],,,,,,4,0,3,3,0,800,0,160002,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
950,星球岩竖薄弧板,174001,2138,1,[4],[969],,,,,,4,0,3,3,0,800,0,116,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
951,竹板竖薄弧板,174002,2139,1,[4],[969],,,,,,4,0,3,3,0,800,0,251,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
952,胭脂红竖薄弧板,174003,2140,1,[4],[969],,,,,,16,0,3,3,0,800,0,11323,4,,11502,1,,,,,,,,,,,,,,,,,,,,,,,,,,
953,水泥砖竖薄弧板,174004,2141,1,[4],[969],,,,,,4,0,3,3,0,800,0,11213,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
954,硫黄砖竖薄弧板,174005,2142,1,[4],[969],,,,,,4,0,3,3,0,800,0,11214,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
955,石质竖薄弧板,174006,2143,1,[4],[969],,,,,,1,0,3,3,0,800,0,11627,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
956,精制石砖竖薄弧板,174007,2144,1,[4],[969],,,,,,4,0,3,3,0,800,0,501,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
957,钛合金竖薄弧板,174008,2145,1,[4],[969],,,,,,4,0,3,3,0,800,0,11330,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
958,黄铜竖薄弧板,174009,2146,1,[4],[969],,,,,,4,0,3,3,0,800,0,11329,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
959,云母竖薄弧板,174010,2147,1,[4],[969],,,,,,4,0,3,3,0,800,0,11210,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
960,秘银竖薄弧板,174011,2148,1,[4],[969],,,,,,4,0,3,3,0,800,0,11209,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
961,炽炎竖薄弧板,174012,2149,1,[4],[969],,,,,,4,0,3,3,0,800,0,11207,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
962,柠檬黄竖薄弧板,174013,2150,1,[4],[969],,,,,,16,0,3,3,0,800,0,11323,4,,11540,1,,,,,,,,,,,,,,,,,,,,,,,,,,
963,苍石灰竖薄弧板,174014,2151,1,[4],[969],,,,,,16,0,3,3,0,800,0,11323,4,,11507,1,,,,,,,,,,,,,,,,,,,,,,,,,,
964,深栗红竖薄弧板,174015,2152,1,[4],[969],,,,,,16,0,3,3,0,800,0,11323,4,,11512,1,,,,,,,,,,,,,,,,,,,,,,,,,,
965,落日橙竖薄弧板,174016,2153,1,[4],[969],,,,,,16,0,3,3,0,800,0,11323,4,,11536,1,,,,,,,,,,,,,,,,,,,,,,,,,,
966,海棠红竖薄弧板,174017,2154,1,[4],[969],,,,,,16,0,3,3,0,800,0,11323,4,,11506,1,,,,,,,,,,,,,,,,,,,,,,,,,,
967,象牙白竖薄弧板,174018,2155,1,[4],[969],,,,,,16,0,3,3,0,800,0,11323,4,,11500,1,,,,,,,,,,,,,,,,,,,,,,,,,,
968,秋叶橙竖薄弧板,174019,2156,1,[4],[969],,,,,,16,0,3,3,0,800,0,11323,4,,11537,1,,,,,,,,,,,,,,,,,,,,,,,,,,
969,竖薄弧板,174020,2157,[26],[4],[969],,,,,,4,0,3,3,0,800,0,11323,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
970,黄砖竖薄弧板,174021,2158,1,[4],[969],,,,,,4,0,3,3,0,800,0,108,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
971,锰块竖薄弧板,174022,2159,1,[4],[969],,,,,,4,0,3,3,0,800,0,12614,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
972,浅苍灰竖薄弧板,174023,2160,1,[4],[969],,,,,,16,0,3,3,0,800,0,11323,4,,11508,1,,,,,,,,,,,,,,,,,,,,,,,,,,
973,软雪竖薄弧板,174024,2161,1,[4],[969],,,,,,4,0,3,3,0,800,0,160001,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
974,厚雪竖薄弧板,174025,2162,1,[4],[969],,,,,,4,0,3,3,0,800,0,122,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
975,自然冰竖薄弧板,174026,2163,1,[4],[969],,,,,,4,0,3,3,0,800,0,123,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
976,永冻冰竖薄弧板,174027,2164,1,[4],[969],,,,,,4,0,3,3,0,800,0,160002,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
977,星球岩棱锥,176001,2165,1,[4],[996],,,,,,2,0,3,3,0,800,0,116,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
978,竹板棱锥,176002,2166,1,[4],[996],,,,,,2,0,3,3,1,800,0,251,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
979,胭脂红棱锥,176003,2167,1,[4],[996],,,,,,8,0,3,3,0,800,0,11323,4,,11502,1,,,,,,,,,,,,,,,,,,,,,,,,,,
980,水泥砖棱锥,176004,2168,1,[4],[996],,,,,,2,0,3,3,0,800,0,11213,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
981,硫黄砖棱锥,176005,2169,1,[4],[996],,,,,,2,0,3,3,0,800,0,11214,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
982,石质棱锥,176006,2170,1,[4],[996],,,,,,1,0,3,3,0,800,0,11627,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
983,精制石砖棱锥,176007,2171,1,[4],[996],,,,,,2,0,3,3,0,800,0,501,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
984,钛合金棱锥,176008,2172,1,[4],[996],,,,,,2,0,3,3,0,800,0,11330,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
985,黄铜棱锥,176009,2173,1,[4],[996],,,,,,2,0,3,3,0,800,0,11329,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
986,云母棱锥,176010,2174,1,[4],[996],,,,,,2,0,3,3,0,800,0,11210,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
987,秘银棱锥,176011,2175,1,[4],[996],,,,,,2,0,3,3,0,800,0,11209,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
988,炽炎棱锥,176012,2176,1,[4],[996],,,,,,2,0,3,3,0,800,0,11207,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
989,柠檬黄棱锥,176013,2177,1,[4],[996],,,,,,8,0,3,3,0,800,0,11323,4,,11540,1,,,,,,,,,,,,,,,,,,,,,,,,,,
990,苍石灰棱锥,176014,2178,1,[4],[996],,,,,,8,0,3,3,0,800,0,11323,4,,11507,1,,,,,,,,,,,,,,,,,,,,,,,,,,
991,深栗红棱锥,176015,2179,1,[4],[996],,,,,,8,0,3,3,0,800,0,11323,4,,11512,1,,,,,,,,,,,,,,,,,,,,,,,,,,
992,落日橙棱锥,176016,2180,1,[4],[996],,,,,,8,0,3,3,0,800,0,11323,4,,11536,1,,,,,,,,,,,,,,,,,,,,,,,,,,
993,海棠红棱锥,176017,2181,1,[4],[996],,,,,,8,0,3,3,0,800,0,11323,4,,11506,1,,,,,,,,,,,,,,,,,,,,,,,,,,
994,象牙白棱锥,176018,2182,1,[4],[996],,,,,,8,0,3,3,0,800,0,11323,4,,11500,1,,,,,,,,,,,,,,,,,,,,,,,,,,
995,秋叶橙棱锥,176019,2183,1,[4],[996],,,,,,8,0,3,3,0,800,0,11323,4,,11537,1,,,,,,,,,,,,,,,,,,,,,,,,,,
996,棱锥,176020,2184,[22],[4],[996],,,,,,2,0,3,3,0,800,0,11323,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
997,黄砖棱锥,176021,2185,1,[4],[996],,,,,,2,0,3,3,0,800,0,108,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
998,锰块棱锥,176022,2186,1,[4],[996],,,,,,2,0,3,3,0,800,0,12614,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999,浅苍灰棱锥,176023,2187,1,[4],[996],,,,,,8,0,3,3,0,800,0,11323,4,,11508,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,配方模版,,,1,[0],,,,,,,1,0,3,3,0,800,100,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20000,1000-20000插件分配id,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20001,中式椅子,1811,1713,1,[4],[256],,,,,,1,0,3,3,1,800,0,11323,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20002,中式桌子,1812,1714,1,[4],[257],,,,,,1,0,3,3,1,800,0,11323,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20003,中式木椅,1813,1715,1,[4],[256],,,,1,,1,0,3,3,1,800,0,11323,4,,11309,1,,,,,,,,,,,,,,,,,,,,,,,,,,
20004,中式火炉,1814,0,[8],"[2,4]","[14,21544]",,,,1,,1,0,3,3,0,800,0,11323,3,,501,8,,,,,,,,,,,,,,,,,,,,,,,,,,
20005,中式柜子,1815,1732,1,[4],[21534],,,,1,,1,0,3,3,0,800,0,11323,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20006,凯蒂猫餐桌,1816,1733,1,[4],[257],3,,,1,,1,0,3,3,0,800,0,11323,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20007,凯蒂猫沙发,1817,1734,1,[4],[256],3,,,1,,1,0,3,3,0,800,0,11323,5,,11309,1,,,,,,,,,,,,,,,,,,,,,,,,,,
20008,凯蒂猫公主床,1818,1735,1,[4],[21532],3,,,1,,1,0,3,3,0,800,0,11514,3,,11323,3,,11307,3,,,,,,,,,,,,,,,,,,,,,,,
20009,凯蒂猫衣柜,1819,1736,1,[4],[21554],3,,,1,,1,0,3,3,0,800,0,11323,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20010,凯蒂猫公主椅,1820,1736,1,[4],[256],3,,,1,,1,0,3,3,0,800,0,11323,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20011,凯蒂猫留言牌,1821,1737,1,[4],[21545],3,,,1,,1,0,3,3,0,800,0,11323,1,,505,6,,,,,,,,,,,,,,,,,,,,,,,,,,
20012,凯蒂猫字牌,1822,1738,1,[4],[21545],3,,,1,,1,0,3,3,0,800,0,11323,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20013,凯蒂猫围栏,1823,1739,1,[4],[21534],3,,,1,,1,0,3,3,0,800,0,11323,3,,11500,1,,,,,,,,,,,,,,,,,,,,,,,,,,
20014,凯蒂猫方块,1824,1740,[20],[4],[21544],3,,,1,,1,0,3,3,0,800,0,11323,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20015,大耳狗餐桌,1825,1741,1,[4],[257],3,,,1,,1,0,3,3,0,800,0,11323,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20016,大耳狗沙发,1826,1742,1,[4],[256],3,,,1,,1,0,3,3,0,800,0,11323,4,,11309,1,,,,,,,,,,,,,,,,,,,,,,,,,,
20017,大耳狗星愿床,1827,1743,1,[4],[21532],3,,,1,,1,0,3,3,0,800,0,11503,3,,11323,3,,11307,3,,,,,,,,,,,,,,,,,,,,,,,
20018,大耳狗衣柜,1828,1744,1,[4],[21554],3,,,1,,1,0,3,3,0,800,0,11323,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20019,大耳狗椅子,1829,1746,1,[4],[256],3,,,1,,1,0,3,3,0,800,0,11323,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20020,大耳狗留言牌,1830,1747,1,[4],[21545],3,,,1,,1,0,3,3,0,800,0,11323,5,,505,6,,,,,,,,,,,,,,,,,,,,,,,,,,
20021,大耳狗字牌,1831,1748,1,[4],[21545],3,,,1,,1,0,3,3,0,800,0,11323,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20022,大耳狗围栏,1832,1749,1,[4],[21534],3,,,1,,1,0,3,3,0,800,0,11323,3,,11500,1,,,,,,,,,,,,,,,,,,,,,,,,,,
20023,大耳狗方块,1833,1750,[20],[4],[21544],3,,,1,,1,0,3,3,0,800,0,11323,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20024,凯蒂猫门,1834,1751,1,[4],[21534],3,,,1,,1,0,3,3,0,800,0,11323,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20025,酷洛米餐桌,1835,1752,1,[4],[257],3,,,1,,1,0,3,3,0,800,0,11323,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20026,酷洛米沙发,1836,1753,1,[4],[256],3,,,1,,1,0,3,3,0,800,0,11323,4,,11309,1,,,,,,,,,,,,,,,,,,,,,,,,,,
20027,酷洛米公主床,1837,1754,1,[4],[21532],3,,,1,,1,0,3,3,0,800,0,11503,3,,11323,3,,11307,3,,,,,,,,,,,,,,,,,,,,,,,
20028,酷洛米衣柜,1838,1745,1,[4],[21554],3,,,1,,1,0,3,3,0,800,0,11323,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20029,酷洛米公主椅,1839,1755,1,[4],[256],3,,,1,,1,0,3,3,0,800,0,11323,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20030,酷洛米留言牌,1840,1756,1,[4],[21545],3,,,1,,1,0,3,3,0,800,0,11323,1,,505,6,,,,,,,,,,,,,,,,,,,,,,,,,,
20031,酷洛米字牌,1841,1757,1,[4],[21545],3,,,1,,1,0,3,3,0,800,0,11323,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20032,酷洛米围栏,1842,1758,1,[4],[21534],3,,,1,,1,0,3,3,0,800,0,11323,3,,11510,1,,,,,,,,,,,,,,,,,,,,,,,,,,
20033,酷洛米方块,1843,1759,[20],[4],[21544],3,,,1,,1,0,3,3,0,800,0,11323,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20034,美乐蒂餐桌,1844,1760,1,[4],[257],3,,,1,,1,0,3,3,0,800,0,11323,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20035,美乐蒂沙发,1845,1761,1,[4],[256],3,,,1,,1,0,3,3,0,800,0,11323,4,,11309,1,,,,,,,,,,,,,,,,,,,,,,,,,,
20036,美乐蒂公主床,1846,1762,1,[4],[21532],3,,,1,,1,0,3,3,0,800,0,11503,3,,11307,3,,11323,3,,,,,,,,,,,,,,,,,,,,,,,
20037,美乐蒂衣柜,1847,1763,1,[4],[21554],3,,,1,,1,0,3,3,0,800,0,11323,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20038,美乐蒂公主椅,1848,1764,1,[4],[256],3,,,1,,1,0,3,3,0,800,0,11323,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20039,美乐蒂留言牌,1849,1765,1,[4],[21545],3,,,1,,1,0,3,3,0,800,0,11323,5,,505,6,,,,,,,,,,,,,,,,,,,,,,,,,,
20040,美乐蒂字牌,1850,1766,1,[4],[21545],3,,,1,,1,0,3,3,0,800,0,11323,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20041,美乐蒂围栏,1851,1767,1,[4],[21534],3,,,1,,1,0,3,3,0,800,0,11323,4,,11514,1,,,,,,,,,,,,,,,,,,,,,,,,,,
20042,美乐蒂方块,1852,1768,[20],[4],[21544],3,,,1,,1,0,3,3,0,800,0,11323,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20043,美乐蒂门,1853,1769,1,[4],[21534],3,,,1,,1,0,3,3,0,800,0,11323,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20044,大眼蛙方块,1854,1770,[20],[4],[21544],3,,,1,,1,0,3,3,0,800,0,11323,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
