控件ID【控件大类(1=事件|2=条件|3=动作|4=局部事件)_子类（01~17）_序号（0001~）】,名称,控件大类,子类型,子类名称,显示过滤【①全局（1=显示（默认）|0=隐藏），②局部（1=显示（默认）|0=隐藏），③道具类型（0=通用|1=方块|2=杂物|3=工具|4=一组物品|5=怪物|6=账号物品|7=弓|8=投掷物/弹药|9=装备|10=枪械|11=食物|12=石矛|15=包裹|16=机械）(子类型=6时才读)（兼用多种道具类型时，数字用‘|’隔开），④使用仅供学习的模板地图时禁用（0=不禁用，1=禁用）】,描述,描述备注,备注,事件传参备注,事件传参,参数1,参数默认值1,参数2,参数默认值2,参数3,参数默认值3,参数4,参数默认值4,参数5,参数默认值5,参数6,参数默认值6,参数7,参数默认值7,参数8,参数默认值8,参数9,参数默认值9,参数10,参数默认值10,触发器显示（0=默认全部可见 1=仅开发者可见 2=仅999渠道可见）,触发器提示版本号（填写版本号的第二位）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010006,位置与位置的水平角度,2,1,数学,"1,1,0,0",@1||@2||@3,【数值】【比较计算符】【数值】,,,,"1005,1",3|20007,"1016,1",5|120001,"1005,1",,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010007,位置与位置的垂直角度,2,1,数学,"1,1,0,0",@1||@2||@3,【数值】【比较计算符】【数值】,,,,"1005,1",3|20008,"1016,1",5|120001,"1005,1",,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010008,幂运算,2,1,数学,"1,1,0,0",@1||@2||@3,【数值】【比较计算符】【数值】,,,,"1005,1",3|20009,"1016,1",5|120001,"1005,1",,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010009,开方,2,1,数学,"1,1,0,0",@1||@2||@3,【数值】【比较计算符】【数值】,,,,"1005,1",3|20010,"1016,1",5|120001,"1005,1",,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010010,绝对值,2,1,数学,"1,1,0,0",@1||@2||@3,【数值】【比较计算符】【数值】,,,,"1005,1",3|20011,"1016,1",5|120001,"1005,1",,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010011,三角函数,2,1,数学,"1,1,0,0",@1||@2||@3,【数值】【比较计算符】【数值】,,,,"1005,1",3|20012,"1016,1",5|120001,"1005,1",,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010012,取整,2,1,数学,"1,1,0,0",@1||@2||@3,【数值】【比较计算符】【数值】,,,,"1005,1",3|20015,"1016,1",5|120001,"1005,1",,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010013,角度与弧度转换,2,1,数学,"1,1,0,0",@1||@2||@3,【数值】【比较计算符】【数值】,,,,"1005,1",3|20016,"1016,1",5|120001,"1005,1",,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010014,逻辑与,2,1,数学,"1,1,0,0",@1||@2||@3,【布尔值】【是否】【布尔值】,,,,"1014,1",3|20017,"1012,1",5|90001,"1014,1",5|320002,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010015,逻辑或,2,1,数学,"1,1,0,0",@1||@2||@3,【布尔值】【是否】【布尔值】,,,,"1014,1",3|20018,"1012,1",5|90001,"1014,1",5|320002,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010016,逻辑异或,2,1,数学,"1,1,0,0",@1||@2||@3,【布尔值】【是否】【布尔值】,,,,"1014,1",3|20019,"1012,1",5|90001,"1014,1",5|320002,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010017,逻辑非,2,1,数学,"1,1,0,0",@1||@2||@3,【布尔值】【是否】【布尔值】,,,,"1014,1",3|20020,"1012,1",5|90001,"1014,1",5|320002,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010018,任意值比较,2,1,数学,"1,1,0,0",@1||@2||@3,【任意值】【是否】【任意值】,,,,"1053,1",,"1012,1",5|90001,"1053,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010019,逻辑与（新）,2,1,数学,"1,1,0,0",@1|与|@2,【布尔值】与【布尔值】,,,,"1014,1",,"1014,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010020,逻辑或（新）,2,1,数学,"1,1,0,0",@1|或|@2,【布尔值】或【布尔值】,,,,"1014,1",,"1014,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010021,逻辑非（新）,2,1,数学,"1,1,0,0",非|@1,非【布尔值】,,,,"1014,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020001,游戏内时间,2,2,游戏,"1,1,0,0",@1||@2||@3,【数值】【比较计算符】【数值】,,,,"1005,1",3|30001,"1016,1",5|120001,"1005,1",,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020002,游戏中玩家的数量,2,2,游戏,"1,1,0,0",@1||@2||@3,【数值】【比较计算符】【数值】,,,,"1005,1",3|60003,"1016,1",5|120001,"1005,1",,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020003,天气判断,2,2,游戏,"1,1,0,0",@1||@2||@3,【天气】【是否】【天气】,,,,"1000,1",3|100001,"1012,1",5|90001,"1000,1",,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020004,重力判断,2,2,游戏,"1,1,0,0",@1||@2||@3,【数值】【比较计算符】【数值】,,,,"1005,1",3|30003,"1016,1",5|120001,"1005,1",,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2030001,队伍属性判断,2,3,队伍,"1,1,0,0",@1||@2||@3,【数值】【比较计算符】【数值】,,,,"1005,1",3|40001,"1016,1",5|120001,"1005,1",,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2040001,玩家属性判断,2,4,玩家,"1,1,0,0",@1||@2||@3,【数值】【比较计算符】【数值】,,,,"1005,1",3|50003,"1016,1",5|120001,"1005,1",,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2040002,拥有的道具数量,2,4,玩家,"1,1,0,0",@1||@2||@3,【数值】【比较计算符】【数值】,,,,"1005,1",3|50004,"1016,1",5|120001,"1005,1",,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2040003,玩家编号判断,2,4,玩家,"1,1,0,0",@1||@2||@3,【数值】【比较计算符】【数值】,,,,"1005,1",3|60002,"1016,1",5|120001,"1005,1",,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2040004,玩家队伍判断,2,4,玩家,"1,1,0,0",@1||@2||@3,【队伍】【是否】【队伍】,,,,"1023,1",3|50018,"1012,1",5|90001,"1023,1",,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2040005,玩家个体判断,2,4,玩家,"1,1,0,0",@1||@2||@3,【玩家】【是否】【玩家】,,,,"1018,1",6|250001,"1012,1",5|90001,"1018,1",,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2040006,玩家面向角度,2,4,玩家,"1,1,0,0",@1||@2||@3,【数值】【比较计算符】【数值】,,,,"1005,1",3|50006,"1016,1",5|120001,"1005,1",,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2040007,处于玩家组的判断,2,4,玩家,"1,1,0,0",@1||@2|处于|@3|中,【玩家】【是否】处于【玩家组】中,,,,"1018,1",6|250001,"1012,1",5|90001,"1019,1",,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2040008,处于区域的判断,2,4,玩家,"1,1,0,0",@1||@2|处于|@3|中,【玩家】【是否】处于【区域】中,,,,"1018,1",6|250001,"1012,1",5|90001,"1001,1",,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2040009,玩家状态判断,2,4,玩家,"1,1,0,0",@1||@2|处于|@3|中,【玩家】【是否】处于【状态】中,,,,"1018,1",6|250001,"1012,1",5|90001,"1037,1",,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2040010,动画表情判断,2,4,玩家,"1,1,0,0",@1||@2|为|@3,【动画表情】【是否】为【动画表情】,,,,"1041,1",6|310001,"1012,1",5|90001,"1041,1",,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2040011,玩家设置判断,2,4,玩家,"1,1,0,0",@1|的|@2|为|@3,【玩家】的【玩家设置】为【布尔值】,,,,"1018,1",6|250001,"1022,1",,"1014,1",5|320002,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2040012,选择快捷栏键位,2,4,玩家,"1,0,0,0",@1||@2||@3,【快捷栏按键】【是否】【快捷栏按键】,,,,"1052,1",6|400001,"1012,1",5|90001,"1052,1",,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2040013,手持道具类型判断,2,4,玩家,"1,1,0,0",@1||@2||@3,【道具类型】【是否】【道具类型】,,,,"1028,1",3|50034,"1012,1",5|90001,"1028,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2040014,装备栏判断,2,4,玩家,"1,0,0,0",@1||@2||@3,【装备栏】【是否】【装备栏】,,,,"1054,1",6|430001,"1012,1",5|90001,"1054,1",5|420001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2040015,玩家穿有装备判断,2,4,玩家,"1,1,0,0",@1||@2|穿有|@3,【玩家】【是否】穿有【装备类型】,,,,"1018,1",6|250001,"1012,1",5|90001,"1055,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2040016,玩家外观判断,2,4,玩家,"1,0,0,0",@1||@2||@3,【外观类型】【是否】【外观类型】,,,,"1060,1",3|50037,"1012,1",5|90001,"1060,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2050001,玩家组中的玩家数量,2,5,玩家组,"1,1,0,0",@1||@2||@3,【数值】【比较计算符】【数值】,,,,"1005,1",3|60001,"1016,1",5|120001,"1005,1",,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2050002,玩家组中的玩家的编号,2,5,玩家组,"1,1,0,0",@1||@2||@3,【数值】【比较计算符】【数值】,,,,"1005,1",3|60002,"1016,1",5|120001,"1005,1",,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2050003,玩家组中指定编号的玩家,2,5,玩家组,"1,1,0,0",@1||@2||@3,【玩家】【是否】【玩家】,,,,"1018,1",3|60004,"1012,1",5|90001,"1018,1",,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2060001,生物属性,2,6,生物,"1,1,0,0",@1||@2||@3,【数值】【比较计算符】【数值】,,,,"1005,1",3|70002,"1016,1",5|120001,"1005,1",,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2060003,处于生物组的判断,2,6,生物,"1,1,0,0",@1||@2|处于|@3|中,【生物】【是否】处于【生物组】中,,,,"1031,1",6|300001,"1012,1",5|90001,"1033,1",,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2060004,生物类型判断,2,6,生物,"1,1,0,0",@1||@2||@3,【生物】【是否】【生物类型】,,,,"1031,1",6|300001,"1012,1",5|90001,"1032,1",,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2060005,生物个体判断,2,6,生物,"1,1,0,0",@1||@2||@3,【生物】【是否】【生物】,,,,"1031,1",6|300001,"1012,1",5|90001,"1031,1",,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2060006,生物面向角度,2,6,生物,"1,1,0,0",@1||@2||@3,【数值】【比较计算符】【数值】,,,,"1005,1",3|70005,"1016,1",5|120001,"1005,1",,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2060007,处于区域的判断,2,6,生物,"1,1,0,0",@1||@2|处于|@3|中,【生物】【是否】处于【区域】中,,,,"1031,1",6|300001,"1012,1",5|90001,"1001,1",,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2060008,生物状态判断,2,6,生物,"1,1,0,0",@1||@2|处于|@3|中,【生物】【是否】处于【状态】中,,,,"1031,1",6|300001,"1012,1",5|90001,"1037,1",,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2060009,生物队伍判断,2,6,生物,"1,1,0,0",@1||@2||@3,【队伍】【是否】【队伍】,,,,"1023,1",3|70012,"1012,1",5|90001,"1023,1",,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2060010,生物组中生物编号判断,2,6,生物,"1,1,0,0",@1||@2||@3,【数值】【比较计算符】【数值】,,,,"1005,1",3|70004,"1016,1",5|120001,"1005,1",,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2060011,生物设置判断,2,6,生物,"1,1,0,0",@1|的|@2|为|@3,【生物】的【生物设置】为【布尔值】,,,,"1031,1",6|300001,"1036,1",5|220001,"1014,1",5|320002,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2060012,生物外观判断,2,6,生物,"1,0,0,0",@1||@2||@3,【外观类型】【是否】【外观类型】,,,,"1060,1",3|70017,"1012,1",5|90001,"1060,1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2070001,生物组中生物的数量,2,7,生物组,"1,1,0,0",@1||@2||@3,【数值】【比较计算符】【数值】,,,,"1005,1",3|80001,"1016,1",5|120001,"1005,1",,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2070002,生物组中的指定编号的生物,2,7,生物组,"1,1,0,0",@1||@2||@3,【生物】【是否】【生物】,,,,"1031,1",3|80002,"1012,1",5|90001,"1031,1",,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2080001,掉落物数量判断,2,8,道具,"1,1,0,0",@1||@2||@3,【数值】【比较计算符】【数值】,,,,"1005,1",3|90002,"1016,1",5|120001,"1005,1",,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2080002,掉落物处于区域内,2,8,道具,"1,1,0,0",@1||@2|处于|@3|中,【掉落物】【是否】处于【区域】中,,,,"1030,1",6|290001,"1012,1",5|90001,"1001,1",,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2080003,道具类型判断,2,8,道具,"1,1,0,0",@1||@2||@3,【道具类型】【是否】【道具类型】,,,,"1028,1",6|270001,"1012,1",5|90001,"1028,1",,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2080004,投掷物处于区域内,2,8,道具,"1,1,0,0",@1||@2|处于|@3|中,【投掷物】【是否】处于【区域】中,,,,"1044,1",6|280001,"1012,1",5|90001,"1001,1",,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2090001,位置与位置之间的距离,2,9,方块,"1,1,0,0",@1||@2||@3,【数值】【比较计算符】【数值】,,,,"1005,1",3|100002,"1016,1",5|120001,"1005,1",,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2090002,方块类型判断,2,9,方块,"1,1,0,0",@1||@2||@3,【方块类型】【是否】【方块类型】,,,,"1025,1",,"1012,1",5|90001,"1025,1",,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2090003,方块开关状态,2,9,方块,"1,1,0,0",@1||@2||@3,【布尔值】【是否】【布尔值】,,,,"1014,1",3|100005,"1012,1",5|90001,"1014,1",5|320002,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2090004,方块处于区域判断,2,9,方块,"1,1,0,0",@1||@2|处于|@3|中,【方块类型】【是否】处于【区域】中,,,,"1025,1",,"1012,1",5|90001,"1001,1",,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2090005,方块的朝向,2,9,方块,"1,1,0,0",处于|@1|的方块朝向|@2|为|@3,处于【位置】的方块朝向【朝向】为【布尔值】,,,,"1002,1",6|240001,"1003,1",5|20001,"1014,1",5|320002,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2090006,指定位置的方块类型,2,9,方块,"1,1,0,0",处于|@1|的方块类型|@2||@3,处于【位置】的方块类型【是否】【方块类型】,,,,"1002,1",6|240001,"1012,1",5|90001,"1025,1",,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2090007,方块设置判断,2,9,方块,"1,1,0,0",@1|的|@2|为|@3,【方块类型】的【方块设置】为【布尔值】,,,,"1025,1",,"1026,1",5|190001,"1014,1",5|320002,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2100001,计时器时间判断,2,10,工具,"1,1,0,0",@1||@2||@3,【数值】【比较计算符】【数值】,,,,"1005,1",3|10009,"1016,1",5|120001,"1005,1",,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2100002,布尔值比较,2,10,工具,"1,1,0,0",@1||@2||@3,【布尔值】【是否】【布尔值】,,,,"1014,1",,"1012,1",5|90001,"1014,1",,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2100003,字符串比较,2,10,工具,"1,1,0,0",@1||@2||@3,【字符串】【是否】【字符串】,,,,"1010,1",,"1012,1",5|90001,"1010,1",,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2100004,音乐类型判断,2,10,工具,"1,1,0,0",@1||@2||@3,【音乐】【是否】【音乐】,,,,"1080,1",6|570001,"1012,1",5|90001,"1080,1",,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2100005,从服务器表获取值完成判断,2,10,工具,"1,1,0,0",从服务器表或排行榜获取值完成判断为|@1,从服务器表或排行榜获取值完成判断为【布尔值】,"1.承接从表或排行榜获取值的动作
2.会将该触发器的所有参数传递过来（例如触发事件玩家，触发事件生物等等）",,,"1014,1",5|320001,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2100006,判断玩家大会员身份,2,10,工具,"1,1,0,0",@1||@2|迷你世界大会员为|@3,【玩家】【是否】迷你世界大会员为【布尔值】,,,,"1018,1",6|250001,"1012,1",5|90001,"1014,1",5|320001,,,,,,,,,,,,,,,6,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2110001,特定玩家的载具,2,11,载具,"1,1,0,0",@1||@2||@3,【生物】【是否】【生物】,,,,"1031,1",3|110001,"1012,1",5|90001,"1031,1",,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2120001,特效判断,2,12,特效,"1,1,0,0",@1||@2||@3,【特效】【是否】【特效】,,,,"1045,1",,"1012,1",5|90001,"1045,1",,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2130001,播放广告完成判断,2,13,播放,"1,0,0,1",当前播放广告完成判断为|@1,当前播放广告完成判断为【布尔值】,,,,"1014,1",5|320001,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2140001,状态效果判断,2,14,状态,"1,1,0,0",@1||@2||@3,【状态】【是否】【状态】,,,,"1037,1",6|410001,"1012,1",5|90001,"1037,1",,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2150001,元件判断,2,15,界面,"1,1,0,0,520002",@1||@2||@3|的|@4,【元件】【是否】【界面】的【元件】,,,,"1075,1,4|7",6|510001,"1012,1",5|90001,"1074,1",6|520001,"1075,1,4|7",,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2150002,页面判断,2,15,界面,"1,1,0,0",@1||@2||@3,【界面】【是否】【界面】,,,,"1074,1",6|520002,"1012,1",5|90001,"1074,1",,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3010001,改变全局天气模式,3,1,世界,"1,1,0,0",改变全局天气模式为|@1,改变当前天气为【天气】,,,,"1000,1",5|10003,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3010002,改变时间,3,1,世界,"1,1,0,0",改变当前时间为|@1,改变当前时间为【数值】,,,,"1005,1",1|0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3010003,改变重力,3,1,世界,"1,1,0,0",改变当前重力为|@1,改变当前重力为【数值】,,,,"1005,1",1|0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3010004,允许/禁止游戏中途加入,3,1,世界,"1,1,0,0",设置游戏中途加入为|@1,设置游戏中途加入为【开关】,,,,"1013,1",6|100002,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3010013,改变地形组天气,3,1,世界,"1,1,0,0",改变|@1|的天气为|@2,改变【地形组】的天气为【天气】,,,,"1137,1",5|990001,"1000,1",5|10003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3020001,运行触发器,3,2,触发器,"1,1,0,0",运行|@1|，检查如果条件为|@2|，则执行动作,运行【触发器】，检查如果条件为【布尔值】，则执行动作,,,,"1038,1",,"1014,1",5|320002,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3020002,循环运行触发器,3,2,触发器,"1,1,0,0",从|@1|到|@2|，执行|@3,从【数值】到【数值】，执行【触发器】,,,,"1005,1",1|1,"1005,1",1|2,"1038,1",,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3020003,改变触发器状态,3,2,触发器,"1,1,0,0",改变|@1|状态开启为|@2,改变【触发器】状态开启为【开关】,,,,"1038,1",,"1013,1",5|100001,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3020004,改变触发器组状态,3,2,触发器,"1,1,0,0",改变|@1|状态开启为|@2,改变【触发器组】状态开启为【开关】,,,,"1039,1",,"1013,1",5|100001,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3040001,创建方块,3,4,方块,"1,1,0,0",在|@1|上创建|@2|，朝向为|@3,在【位置】上创建【方块类型】，朝向为【朝向】,,,,"1002,1",6|240001,"1025,1",2|200,"1003,1",5|20001,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3040002,摧毁方块,3,4,方块,"1,1,0,0",摧毁在|@1|上的方块,摧毁在【位置】上的方块,,,,"1002,1",6|240001,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
