工具id,名称,类型：1斧，2镐，3铲，4耙，5剪刀，6工具，7弓，8头盔，9胸甲，10护腿，11靴子，12容器，13点火石，14投掷物，16披风（特殊），17空白卷轴，18火之卷轴，19坐骑鞍，20坐骑项圈，21混乱卷轴，22捕鱼网，23变异卷轴，24法杖，25家园回收（植物），26家园回收（动物），27合成锤，28锅，29鱼竿,子类型：1-剑，2-盾，3-锤，4-矛，5-镐，6-斧，7-铲，8-耙，9-弓，10-杖，11-箭，12-法球，13-回旋镖,等级（装备的等级必须和美术模型名称尾缀数字相同，不然会影响到野人伙伴装备的显隐及行为树）,子等级（用于双持武器配置用的等级，不为0的才会参与到双持内）,技能冷却,效率加成,视野亮度,"攻击类型:0近程,1远程,2爆炸",攻击力,削韧值（默认5）,物理防御,近战防御,远程防御,爆炸防御,元素防御,混乱防御,燃烧防御,毒素防御,冰冻防御,移动速度加成,行走速度,潜行速度,奔跑速度,游泳速度,开垦速度（单位tick）,攻击速度倍率,韧性,韧性恢复间隔时间,韧性恢复速度,攻击附带buffid（使用该工具攻击命中其他生物时可对目标施加一个状态，本列填buff的id）,攻击附带bufflv（使用该工具攻击命中其他生物时可对目标施加一个状态，本列填buff的lv）,耐久,采集消耗耐久,攻击1次消耗耐久,耐压阈值（控制水压环境中装备是否会被损坏）,压力消耗耐久（配合耐压阈值使用，控制水压环境中装备耐久的消耗速度）,修复消耗经验,组（0不为组1为组，例如木板通用）（关联Itemdef的ItemGroup）,修理材料ID1,修复量1,修理材料ID2,修复量2,修理材料ID3,修复量3,修理材料ID4,修复量4,修理材料ID5,修复量5,修理材料ID6,修复量6,效果库ID1（仅限装备道具使用）,默认值1（时间需要除以10）,效果库ID2,默认值2,效果库ID3,默认值3,效果库ID4,默认值4,效果库ID5,默认值5,分数,自带附魔（旧字段，不要用，但是不可以删）,自带新附魔,消耗ItemID,每次消耗的数量,发射音效,蓄力时间,"蓄力种类(0-弓那种,1-必须蓄到完成才能用,2-无需蓄力)",蓄力消耗体力（默认不填就读luaconstans）,蓄力音效,释放音效,攻击连段动作列表,连段计时器,游泳攻击动作,骑乘攻击动作,第一人称挖掘动作,第一人称启动动作,第一人称循环动作,第一人称右键施放动作,工具启动动作,工具循环动作,工具攻击动作,第三人称待机,第三人称挖掘动作,第三人称循环,第三人称右键施放,第三人称攻击特效,工具切换模型/弓切换有箭和没箭模型,挥动音效,附魔特效比例(默认是1倍写200就是2倍),初速度加成,可否投掷/0=不可投掷，1=可投掷,温度防御,元素攻击,混乱攻击,燃烧攻击,毒素攻击,冰冻攻击,击退抗性（万分比）,评分（用于更换标准）
540179,黄铜铲+石矛,3,4,2,,,200,,,28,10,,,,,,,,,,,,,,,22,,,,,,,140,1,2,,,2,0,11329,45,11627,25,,,,,,,,,,,,,,,,,,,,,,-1,1,misc.throw_spear,,,,,,Double_Spear_Spear_Natk_01|Double_Spear_Spear_Natk_02|Double_Spear_Spear_Natk_03,5,,,,,,,,,,,,,,,,,,,1,,,,,,,,
540180,黄铜铲+黄铜矛,3,4,2,,,200,,,32,14,,,,,,,,,,,,,,,22,,,,,,,180,1,2,,,2,0,11329,45,11329,45,,,,,,,,,,,,,,,,,,,,,,-1,1,misc.throw_spear,,,,,,Double_Spear_Spear_Natk_01|Double_Spear_Spear_Natk_02|Double_Spear_Spear_Natk_03,5,,,,,,,,,,,,,,,,,,,1,,,,,,,,
540181,黄铜铲+能量矛,3,4,2,,,200,,,51,24,,,,,,,,,,,,,,,22,,,,,,,690,1,2,,,10,0,11329,45,11203,240,,,,,,,,,,,,,,,,,,,,,,-1,1,misc.throw_spear,,,,,,Double_Spear_Spear_Natk_01|Double_Spear_Spear_Natk_02|Double_Spear_Spear_Natk_03,5,,,,,,,,,,,,,,,,,,,1,,,,,,,,
540182,黄铜铲+魔鬼鱼叉,3,1,2,,,200,,,38,14,,,,,,,,,,,,,,,22,,,,,,,240,1,2,,,3,0,11329,45,11209,60,,,,,,,,,,,,,,,,,,,,,,-1,1,misc.throw_spear,,,,,,Double_Spear_Spear_Natk_01|Double_Spear_Spear_Natk_02|Double_Spear_Spear_Natk_03,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
540183,石铲+石铲,3,7,2,,,200,,,13,5,,,,,,,,,,,,,,,68,,,,,,,100,1,2,,,1,0,11627,25,11627,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Double_Sword_Sword_Natk_01|Double_Sword_Sword_Natk_02|Double_Sword_Sword_Natk_03|Double_Sword_Sword_Natk_04,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
540184,石铲+木棒,3,1,2,,,100,,,19,7,,,,,,,,,,,,,,,34,,,,,,,80,1,2,,,1,0,11627,25,11323,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Double_Hammer_Hammer_Natk_01|Double_Hammer_Hammer_Natk_02,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
540185,石铲+尖尖碰碰锤,3,1,2,,,100,,,21,10,,,,,,,,,,,,,,,34,,,,,77,1,100,1,2,,,1,0,11627,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Double_Hammer_Hammer_Natk_01|Double_Hammer_Hammer_Natk_02,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
540186,石铲+冻结棒,3,1,2,,,100,,,29,12,,,,,,,,,,,,,,,34,,,,,,,125,1,2,,,1,0,11627,25,12710,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Double_Hammer_Hammer_Natk_01|Double_Hammer_Hammer_Natk_02,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
540187,石铲+钛金战锤,3,1,2,,,100,,,44,17,,,,,,,,,,,,,,,34,,,,,,,275,1,2,,,6,0,11627,25,11330,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Double_Hammer_Hammer_Natk_01|Double_Hammer_Hammer_Natk_02,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
540188,石铲+石剑,3,1,2,,,100,,,17,7,,,,,,,,,,,,,,,34,,,,,,,100,1,2,,,1,0,11627,25,11627,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Double_Sword_Sword_Natk_01|Double_Sword_Sword_Natk_02|Double_Sword_Sword_Natk_03|Double_Sword_Sword_Natk_04,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
540189,石铲+短剑,3,1,2,,,100,,,24,10,,,,,,,,,,,,,,,34,,,,,,,200,1,2,,,1,0,11627,25,11209,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Double_Sword_Sword_Natk_01|Double_Sword_Sword_Natk_02|Double_Sword_Sword_Natk_03|Double_Sword_Sword_Natk_04,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
540190,石铲+收割者,3,1,2,,,100,,,29,13,,,,,,,,,,,,,,,34,,,,,,,275,1,2,,,6,0,11627,25,11330,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Double_Sword_Sword_Natk_01|Double_Sword_Sword_Natk_02|Double_Sword_Sword_Natk_03|Double_Sword_Sword_Natk_04,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
540191,石铲+能量剑,3,1,2,,,100,,,34,15,,,,,,,,,,,,,,,34,,,,,,,650,1,2,,,10,0,11627,25,11203,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Double_Sword_Sword_Natk_01|Double_Sword_Sword_Natk_02|Double_Sword_Sword_Natk_03|Double_Sword_Sword_Natk_04,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
540192,石铲+石矛,3,4,2,,,100,,,23,10,,,,,,,,,,,,,,,34,,,,,,,100,1,2,,,1,0,11627,25,11627,25,,,,,,,,,,,,,,,,,,,,,,-1,1,misc.throw_spear,,,,,,Double_Spear_Spear_Natk_01|Double_Spear_Spear_Natk_02|Double_Spear_Spear_Natk_03,5,,,,,,,,,,,,,,,,,,,1,,,,,,,,
540193,石铲+黄铜矛,3,4,2,,,100,,,28,14,,,,,,,,,,,,,,,34,,,,,,,140,1,2,,,2,0,11627,25,11329,45,,,,,,,,,,,,,,,,,,,,,,-1,1,misc.throw_spear,,,,,,Double_Spear_Spear_Natk_01|Double_Spear_Spear_Natk_02|Double_Spear_Spear_Natk_03,5,,,,,,,,,,,,,,,,,,,1,,,,,,,,
540194,石铲+能量矛,3,4,2,,,100,,,47,24,,,,,,,,,,,,,,,34,,,,,,,650,1,2,,,10,0,11627,25,11203,240,,,,,,,,,,,,,,,,,,,,,,-1,1,misc.throw_spear,,,,,,Double_Spear_Spear_Natk_01|Double_Spear_Spear_Natk_02|Double_Spear_Spear_Natk_03,5,,,,,,,,,,,,,,,,,,,1,,,,,,,,
540195,石铲+魔鬼鱼叉,3,1,2,,,100,,,34,14,,,,,,,,,,,,,,,34,,,,,,,200,1,2,,,3,0,11627,25,11209,60,,,,,,,,,,,,,,,,,,,,,,-1,1,misc.throw_spear,,,,,,Double_Spear_Spear_Natk_01|Double_Spear_Spear_Natk_02|Double_Spear_Spear_Natk_03,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
540196,秘银铲+黄铜铲,3,7,3,,,500,,,22,5,,,,,,,,,,,,,,,36,,,,,,,220,1,2,,,3,0,11209,65,11329,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Double_Sword_Sword_Natk_01|Double_Sword_Sword_Natk_02|Double_Sword_Sword_Natk_03|Double_Sword_Sword_Natk_04,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
540197,秘银铲+石铲,3,7,3,,,400,,,19,5,,,,,,,,,,,,,,,48,,,,,,,180,1,2,,,3,0,11209,65,11627,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Double_Sword_Sword_Natk_01|Double_Sword_Sword_Natk_02|Double_Sword_Sword_Natk_03|Double_Sword_Sword_Natk_04,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
540198,秘银铲+秘银铲,3,7,3,,,600,,,26,5,,,,,,,,,,,,,,,28,,,,,,,260,1,2,,,3,0,11209,65,11209,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Double_Sword_Sword_Natk_01|Double_Sword_Sword_Natk_02|Double_Sword_Sword_Natk_03|Double_Sword_Sword_Natk_04,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
540199,秘银铲+木棒,3,1,3,,,300,,,25,7,,,,,,,,,,,,,,,14,,,,,,,160,1,2,,,3,0,11209,65,11323,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Double_Hammer_Hammer_Natk_01|Double_Hammer_Hammer_Natk_02,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
540200,秘银铲+尖尖碰碰锤,3,1,3,,,300,,,27,10,,,,,,,,,,,,,,,14,,,,,77,1,180,1,2,,,3,0,11209,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Double_Hammer_Hammer_Natk_01|Double_Hammer_Hammer_Natk_02,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
540201,秘银铲+冻结棒,3,1,3,,,300,,,35,12,,,,,,,,,,,,,,,14,,,,,,,205,1,2,,,3,0,11209,65,12710,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Double_Hammer_Hammer_Natk_01|Double_Hammer_Hammer_Natk_02,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
540202,秘银铲+钛金战锤,3,1,3,,,300,,,50,17,,,,,,,,,,,,,,,14,,,,,,,355,1,2,,,6,0,11209,65,11330,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Double_Hammer_Hammer_Natk_01|Double_Hammer_Hammer_Natk_02,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
540203,秘银铲+石剑,3,1,3,,,300,,,23,7,,,,,,,,,,,,,,,14,,,,,,,180,1,2,,,3,0,11209,65,11627,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Double_Sword_Sword_Natk_01|Double_Sword_Sword_Natk_02|Double_Sword_Sword_Natk_03|Double_Sword_Sword_Natk_04,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
540204,秘银铲+短剑,3,1,3,,,300,,,31,10,,,,,,,,,,,,,,,14,,,,,,,280,1,2,,,3,0,11209,65,11209,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Double_Sword_Sword_Natk_01|Double_Sword_Sword_Natk_02|Double_Sword_Sword_Natk_03|Double_Sword_Sword_Natk_04,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
540205,秘银铲+收割者,3,1,3,,,300,,,35,13,,,,,,,,,,,,,,,14,,,,,,,355,1,2,,,6,0,11209,65,11330,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Double_Sword_Sword_Natk_01|Double_Sword_Sword_Natk_02|Double_Sword_Sword_Natk_03|Double_Sword_Sword_Natk_04,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
540206,秘银铲+能量剑,3,1,3,,,300,,,41,15,,,,,,,,,,,,,,,14,,,,,,,730,1,2,,,10,0,11209,65,11203,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Double_Sword_Sword_Natk_01|Double_Sword_Sword_Natk_02|Double_Sword_Sword_Natk_03|Double_Sword_Sword_Natk_04,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
540207,秘银铲+石矛,3,4,3,,,300,,,32,10,,,,,,,,,,,,,,,14,,,,,,,180,1,2,,,3,0,11209,65,11627,25,,,,,,,,,,,,,,,,,,,,,,-1,1,misc.throw_spear,,,,,,Double_Spear_Spear_Natk_01|Double_Spear_Spear_Natk_02|Double_Spear_Spear_Natk_03,5,,,,,,,,,,,,,,,,,,,1,,,,,,,,
540208,秘银铲+黄铜矛,3,4,3,,,300,,,37,14,,,,,,,,,,,,,,,14,,,,,,,220,1,2,,,3,0,11209,65,11329,45,,,,,,,,,,,,,,,,,,,,,,-1,1,misc.throw_spear,,,,,,Double_Spear_Spear_Natk_01|Double_Spear_Spear_Natk_02|Double_Spear_Spear_Natk_03,5,,,,,,,,,,,,,,,,,,,1,,,,,,,,
540209,秘银铲+能量矛,3,4,3,,,300,,,56,24,,,,,,,,,,,,,,,14,,,,,,,730,1,2,,,10,0,11209,65,11203,240,,,,,,,,,,,,,,,,,,,,,,-1,1,misc.throw_spear,,,,,,Double_Spear_Spear_Natk_01|Double_Spear_Spear_Natk_02|Double_Spear_Spear_Natk_03,5,,,,,,,,,,,,,,,,,,,1,,,,,,,,
540210,秘银铲+魔鬼鱼叉,3,1,3,,,300,,,42,14,,,,,,,,,,,,,,,14,,,,,,,280,1,2,,,3,0,11209,65,11209,60,,,,,,,,,,,,,,,,,,,,,,-1,1,misc.throw_spear,,,,,,Double_Spear_Spear_Natk_01|Double_Spear_Spear_Natk_02|Double_Spear_Spear_Natk_03,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
540211,钛合金铲+黄铜铲,3,7,4,,,650,,,26,5,,,,,,,,,,,,,,,30,,,,,,,840,1,2,,,6,0,11330,375,11329,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Double_Sword_Sword_Natk_01|Double_Sword_Sword_Natk_02|Double_Sword_Sword_Natk_03|Double_Sword_Sword_Natk_04,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
540212,钛合金铲+石铲,3,7,4,,,550,,,22,5,,,,,,,,,,,,,,,42,,,,,,,800,1,2,,,6,0,11330,375,11627,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Double_Sword_Sword_Natk_01|Double_Sword_Sword_Natk_02|Double_Sword_Sword_Natk_03|Double_Sword_Sword_Natk_04,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
540213,钛合金铲+秘银铲,3,7,4,,,750,,,29,5,,,,,,,,,,,,,,,22,,,,,,,880,1,2,,,6,0,11330,375,11209,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Double_Sword_Sword_Natk_01|Double_Sword_Sword_Natk_02|Double_Sword_Sword_Natk_03|Double_Sword_Sword_Natk_04,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
540214,钛合金铲+钛合金铲,3,7,4,,,900,,,32,5,,,,,,,,,,,,,,,16,,,,,,,1500,1,2,,,6,0,11330,375,11330,375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Double_Sword_Sword_Natk_01|Double_Sword_Sword_Natk_02|Double_Sword_Sword_Natk_03|Double_Sword_Sword_Natk_04,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
540215,钛合金铲+木棒,3,1,4,,,450,,,28,7,,,,,,,,,,,,,,,8,,,,,,,780,1,2,,,6,0,11330,375,11323,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Double_Hammer_Hammer_Natk_01|Double_Hammer_Hammer_Natk_02,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
540216,钛合金铲+尖尖碰碰锤,3,1,4,,,450,,,30,10,,,,,,,,,,,,,,,8,,,,,77,1,800,1,2,,,6,0,11330,375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Double_Hammer_Hammer_Natk_01|Double_Hammer_Hammer_Natk_02,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
540217,钛合金铲+冻结棒,3,1,4,,,450,,,38,12,,,,,,,,,,,,,,,8,,,,,,,825,1,2,,,6,0,11330,375,12710,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Double_Hammer_Hammer_Natk_01|Double_Hammer_Hammer_Natk_02,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
540218,钛合金铲+钛金战锤,3,1,4,,,450,,,53,17,,,,,,,,,,,,,,,8,,,,,,,975,1,2,,,6,0,11330,375,11330,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Double_Hammer_Hammer_Natk_01|Double_Hammer_Hammer_Natk_02,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
540219,钛合金铲+石剑,3,1,4,,,450,,,26,7,,,,,,,,,,,,,,,8,,,,,,,800,1,2,,,6,0,11330,375,11627,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Double_Sword_Sword_Natk_01|Double_Sword_Sword_Natk_02|Double_Sword_Sword_Natk_03|Double_Sword_Sword_Natk_04,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
540220,钛合金铲+短剑,3,1,4,,,450,,,34,10,,,,,,,,,,,,,,,8,,,,,,,900,1,2,,,6,0,11330,375,11209,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Double_Sword_Sword_Natk_01|Double_Sword_Sword_Natk_02|Double_Sword_Sword_Natk_03|Double_Sword_Sword_Natk_04,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
540221,钛合金铲+收割者,3,1,4,,,450,,,39,13,,,,,,,,,,,,,,,8,,,,,,,975,1,2,,,6,0,11330,375,11330,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Double_Sword_Sword_Natk_01|Double_Sword_Sword_Natk_02|Double_Sword_Sword_Natk_03|Double_Sword_Sword_Natk_04,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
540222,钛合金铲+能量剑,3,1,4,,,450,,,44,15,,,,,,,,,,,,,,,8,,,,,,,1350,1,2,,,10,0,11330,375,11203,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Double_Sword_Sword_Natk_01|Double_Sword_Sword_Natk_02|Double_Sword_Sword_Natk_03|Double_Sword_Sword_Natk_04,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
540223,钛合金铲+石矛,3,4,4,,,450,,,36,10,,,,,,,,,,,,,,,8,,,,,,,800,1,2,,,6,0,11330,375,11627,25,,,,,,,,,,,,,,,,,,,,,,-1,1,misc.throw_spear,,,,,,Double_Spear_Spear_Natk_01|Double_Spear_Spear_Natk_02|Double_Spear_Spear_Natk_03,5,,,,,,,,,,,,,,,,,,,1,,,,,,,,
540224,钛合金铲+黄铜矛,3,4,4,,,450,,,41,14,,,,,,,,,,,,,,,8,,,,,,,840,1,2,,,6,0,11330,375,11329,45,,,,,,,,,,,,,,,,,,,,,,-1,1,misc.throw_spear,,,,,,Double_Spear_Spear_Natk_01|Double_Spear_Spear_Natk_02|Double_Spear_Spear_Natk_03,5,,,,,,,,,,,,,,,,,,,1,,,,,,,,
540225,钛合金铲+能量矛,3,4,4,,,450,,,60,24,,,,,,,,,,,,,,,8,,,,,,,1350,1,2,,,10,0,11330,375,11203,240,,,,,,,,,,,,,,,,,,,,,,-1,1,misc.throw_spear,,,,,,Double_Spear_Spear_Natk_01|Double_Spear_Spear_Natk_02|Double_Spear_Spear_Natk_03,5,,,,,,,,,,,,,,,,,,,1,,,,,,,,
540226,钛合金铲+魔鬼鱼叉,3,1,4,,,450,,,46,14,,,,,,,,,,,,,,,8,,,,,,,900,1,2,,,6,0,11330,375,11209,60,,,,,,,,,,,,,,,,,,,,,,-1,1,misc.throw_spear,,,,,,Double_Spear_Spear_Natk_01|Double_Spear_Spear_Natk_02|Double_Spear_Spear_Natk_03,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
540227,钨金铲+黄铜铲,3,7,5,,,860,,,28,5,,,,,,,,,,,,,,,26,,,,,,,390,1,2,,,10,0,11203,200,11329,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Double_Sword_Sword_Natk_01|Double_Sword_Sword_Natk_02|Double_Sword_Sword_Natk_03|Double_Sword_Sword_Natk_04,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
540228,钨金铲+石铲,3,7,5,,,760,,,24,5,,,,,,,,,,,,,,,38,,,,,,,350,1,2,,,10,0,11203,200,11627,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Double_Sword_Sword_Natk_01|Double_Sword_Sword_Natk_02|Double_Sword_Sword_Natk_03|Double_Sword_Sword_Natk_04,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
540229,钨金铲+秘银铲,3,7,5,,,960,,,31,5,,,,,,,,,,,,,,,18,,,,,,,430,1,2,,,10,0,11203,200,11209,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Double_Sword_Sword_Natk_01|Double_Sword_Sword_Natk_02|Double_Sword_Sword_Natk_03|Double_Sword_Sword_Natk_04,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
540230,钨金铲+钛合金铲,3,7,5,,,1110,,,34,5,,,,,,,,,,,,,,,12,,,,,,,1050,1,2,,,10,0,11203,200,11330,375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Double_Sword_Sword_Natk_01|Double_Sword_Sword_Natk_02|Double_Sword_Sword_Natk_03|Double_Sword_Sword_Natk_04,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
540231,钨金铲+钨金铲,3,7,5,,,1320,,,36,5,,,,,,,,,,,,,,,8,,,,,,,600,1,2,,,10,0,11203,200,11203,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Double_Sword_Sword_Natk_01|Double_Sword_Sword_Natk_02|Double_Sword_Sword_Natk_03|Double_Sword_Sword_Natk_04,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
540232,钨金铲+木棒,3,1,5,,,660,,,30,7,,,,,,,,,,,,,,,4,,,,,,,330,1,2,,,10,0,11203,200,11323,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Double_Hammer_Hammer_Natk_01|Double_Hammer_Hammer_Natk_02,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
540233,钨金铲+尖尖碰碰锤,3,1,5,,,660,,,32,10,,,,,,,,,,,,,,,4,,,,,77,1,350,1,2,,,10,0,11203,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Double_Hammer_Hammer_Natk_01|Double_Hammer_Hammer_Natk_02,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
540234,钨金铲+冻结棒,3,1,5,,,660,,,40,12,,,,,,,,,,,,,,,4,,,,,,,375,1,2,,,10,0,11203,200,12710,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Double_Hammer_Hammer_Natk_01|Double_Hammer_Hammer_Natk_02,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
540235,钨金铲+钛金战锤,3,1,5,,,660,,,55,17,,,,,,,,,,,,,,,4,,,,,,,525,1,2,,,10,0,11203,200,11330,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Double_Hammer_Hammer_Natk_01|Double_Hammer_Hammer_Natk_02,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
540236,钨金铲+石剑,3,1,5,,,660,,,28,7,,,,,,,,,,,,,,,4,,,,,,,350,1,2,,,10,0,11203,200,11627,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Double_Sword_Sword_Natk_01|Double_Sword_Sword_Natk_02|Double_Sword_Sword_Natk_03|Double_Sword_Sword_Natk_04,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
540237,钨金铲+短剑,3,1,5,,,660,,,36,10,,,,,,,,,,,,,,,4,,,,,,,450,1,2,,,10,0,11203,200,11209,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Double_Sword_Sword_Natk_01|Double_Sword_Sword_Natk_02|Double_Sword_Sword_Natk_03|Double_Sword_Sword_Natk_04,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
540238,钨金铲+收割者,3,1,5,,,660,,,41,13,,,,,,,,,,,,,,,4,,,,,,,525,1,2,,,10,0,11203,200,11330,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Double_Sword_Sword_Natk_01|Double_Sword_Sword_Natk_02|Double_Sword_Sword_Natk_03|Double_Sword_Sword_Natk_04,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
540239,钨金铲+能量剑,3,1,5,,,660,,,46,15,,,,,,,,,,,,,,,4,,,,,,,900,1,2,,,10,0,11203,200,11203,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Double_Sword_Sword_Natk_01|Double_Sword_Sword_Natk_02|Double_Sword_Sword_Natk_03|Double_Sword_Sword_Natk_04,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
540240,钨金铲+石矛,3,4,5,,,660,,,39,10,,,,,,,,,,,,,,,4,,,,,,,350,1,2,,,10,0,11203,200,11627,25,,,,,,,,,,,,,,,,,,,,,,-1,1,misc.throw_spear,,,,,,Double_Spear_Spear_Natk_01|Double_Spear_Spear_Natk_02|Double_Spear_Spear_Natk_03,5,,,,,,,,,,,,,,,,,,,1,,,,,,,,
540241,钨金铲+黄铜矛,3,4,5,,,660,,,44,14,,,,,,,,,,,,,,,4,,,,,,,390,1,2,,,10,0,11203,200,11329,45,,,,,,,,,,,,,,,,,,,,,,-1,1,misc.throw_spear,,,,,,Double_Spear_Spear_Natk_01|Double_Spear_Spear_Natk_02|Double_Spear_Spear_Natk_03,5,,,,,,,,,,,,,,,,,,,1,,,,,,,,
540242,钨金铲+能量矛,3,4,5,,,660,,,62,24,,,,,,,,,,,,,,,4,,,,,,,900,1,2,,,10,0,11203,200,11203,240,,,,,,,,,,,,,,,,,,,,,,-1,1,misc.throw_spear,,,,,,Double_Spear_Spear_Natk_01|Double_Spear_Spear_Natk_02|Double_Spear_Spear_Natk_03,5,,,,,,,,,,,,,,,,,,,1,,,,,,,,
540243,钨金铲+魔鬼鱼叉,3,1,5,,,660,,,49,14,,,,,,,,,,,,,,,4,,,,,,,450,1,2,,,10,0,11203,200,11209,60,,,,,,,,,,,,,,,,,,,,,,-1,1,misc.throw_spear,,,,,,Double_Spear_Spear_Natk_01|Double_Spear_Spear_Natk_02|Double_Spear_Spear_Natk_03,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
540244,黄铜耙+黄铜耙,4,8,2,,,400,,,19,5,,,,,,,,,,,,,,,44,,,,,,,180,1,2,,,2,0,11329,45,11329,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Double_Sword_Sword_Natk_01|Double_Sword_Sword_Natk_02|Double_Sword_Sword_Natk_03|Double_Sword_Sword_Natk_04,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
