方块ID,方块名称,英文名称,插件用名称[必填/不能有空格],繁体名称,海外开放（0和空为在国内海外都开放，1为只在国内开放，2为只在海外开放）,类别,插件编辑[大于0开放插件编辑，1=综合，2=彩色，3=建筑],触发器开放[1=植物方块 2=液体方块 3=自然方块 4=装饰方块 5=功能方块],地形编辑器开放[1=植物方块 2=液体方块 3=自然方块 4=装饰方块 5=功能方块],成长后替换的模型ID,插件编辑模板[0=不是模板，1=作为模板],渲染贴图组,鼠标点击碰撞,移动碰撞[0=空气， 1=固体， 2= 液体， 3=不阻挡投射物，4=空气挡子弹，5=不阻挡物理],阻挡水流（0=不阻挡，1=阻挡，2=被流沙同化，3=覆盖阻挡）,"推动标识-0:普通推动后续方块, 1:推动碾碎, 2:不能推动",重力影响方式0:不影响， 1: 沙子会下坠， 2: 流体会往低处流， 3：花草会破坏,PlaceDir(0：没有方向，1：和放置的面相关，类似火把，  2：和自己视线的方向相关，类似楼梯),放置可直接替换,植物标识（填了1就视为是植物方块）,生长时间（生长阶段数|阶段生成时间）,覆雪标识[默认0=不覆雪 1=覆雪],爆炸抗性,硬度,地滑程度,燃烧速度,点燃概率,毒液侵蚀速度,充能状态,掉落物1,掉落概率1,掉落物2,掉落概率2,空手掉落物,空手掉落概率,采集掉落经验,掉落经验概率,"遮挡旁边块0: 不遮挡， 1: 遮挡， 2： 根据厚度来定,  3: 遮挡相同材质",光衰减,光源强度,使用旁边方块的光照,高度（block),贴图1,贴图2/模型类这里填模型名称,走在上面声音,挖的声音,放置的声音,精准掉落物品,采集工具/1=斧头，2=镐，3=铲子，5=剪刀,工具等级（1=石质，2=黄铜，3=秘银，4=钛金，5=钨金）,随机颜色,小地图颜色,分数,特殊数据1,可被投掷物击碎,特效名字,蓝图方块分类[多类相加，1=不能复制 2=不消耗 4=有方向的方块 8=随机数 16=多方向 32=不能替换],所需材料替换方块[蓝图],物理碰撞（0-无碰撞，1-满1格碰撞，2-不满一格的碰撞，3-门那种， 6-会根据方块data改变形状）,微缩透明度(0全透 15不透明),微缩发光度(0最亮 15不发光),温度源强度（用于计算温度源的热传导）,温度衰减（用于计算温度源的传热衰减）,植物生长温度区间（1=冻结，2=极寒，3=寒冷，4=适宜，5=炎热，6=极热，7=自燃；不在适宜温度区间则会降低生长速度，仅对cropper，flowergrow，melonstem，shrub这几个type生效；0或不填则不开启）,"多格方块类型(0非多格,1多格例如床钢琴箱子等)",韧度值,LOD等级(默认为0，0=强制显示),是否产生阴影(默认为1)
1097,机械臂XI,,,,,wireless_movinghydarm,,,,,,,1,1,1,2,0,2,,,,,10,-1,1,0,,0,,0,0,0,0,0,0,,,2,1,0,,1,piston_top_normal,,blocks.stone,blockd.stone,,0,0,,,b99871,,,,,,,1,15,15,,1,,,,,
1099,油箱,GasTank,GasTank,,,fuel_tank,,5,,,,,1,1,1,0,0,2,,,,,60,20,1,0,,0,,1099,10000,0,0,1099,10000,,,1,1,0,,1,gas_tank,gas_tank,blocks.stone,blockd.stone,blockd.stone,1099,2,2,,5d605d,,,,,,,1,15,15,,1,,,10,,
1100,地图传送方块,CloudPortal,CloudPortal,,,cloudportal,,,,,,,1,1,1,2,0,1,,,,,-1,-1,1,0,,0,,1100,10000,0,0,0,0,,,1,1,0,,1,cloudportal,cloudportal,blocks.stone,blockd.stone,blockd.stone,1100,2,2,,5d605d,,,,,,,,,,,1,,1,10,,
1101,实验室门,Labdoor,Labdoor,,,door,,4,,,,,1,1,1,1,3,2,,,,,100,30,1,0,,0,,1101,10000,0,0,1101,10000,,,0,1,0,,2,door_white,,blocks.stone,blockd.stone,,1101,2,2,,8F7881,,,,,4,,3,15,15,,1,,1,10,,
1102,镜冰,Spectularice,Spectularice,,,basic,,4,4,,,,1,1,1,0,0,0,,,,1,40,15,1,0,,0,,1102,10000,0,0,1102,10000,,,1,15,5,,1,sf_blue01,,blocks.stone,blockd.stone,,1102,2,2,,09313D,,,,,,,1,15,0,,6,,,10,,
1103,冰灯,Icelamp,Icelamp,,,basic,,4,4,,,,1,1,1,0,0,0,,,,1,40,15,1,0,,0,,1103,10000,0,0,1103,10000,,,1,15,15,,1,sf_blue02,,blocks.stone,blockd.stone,,1103,2,2,,DEFFFF,,,,,,,1,15,0,,6,,,10,,
1104,花纹星能块,HorasStarenergy,HorasStarenergy,,,powerbasic,,4,4,,,,1,1,1,0,0,0,,,,1,50,18,1,0,,0,,1104,10000,0,0,1104,10000,,,1,15,1,,1,sf_blue04,,blocks.stone,blockd.stone,,1104,2,2,,231D19,,,,,,,1,15,0,,6,,,10,,
1105,星能秘银块,StarenergyMithsilverBlock,StarenergyMithsilverBlock,,,log,,4,4,,,,1,1,1,0,0,1,,,,1,60,20,1,0,,0,,1105,10000,0,0,1105,10000,,,1,15,1,,1,sf_blue05,,blocks.stone,blockd.stone,,1105,2,2,,231D19,,,,,4,,1,15,0,,1,,,10,,
1106,星能秘银板,StarenergyMithsilverDeck,StarenergyMithsilverDeck,,,log,,4,4,,,,1,1,1,0,0,1,,,,1,60,20,1,0,,0,,1106,10000,0,0,1106,10000,,,1,15,1,,1,sf_blue08,,blocks.stone,blockd.stone,,1106,2,2,,231D19,,,,,4,,1,15,0,,1,,,10,,
1107,紫线秘银块,NetherMithsilverBlock,NetherMithsilverBlock,,,log,,4,4,,,,1,1,1,0,0,0,,,,1,60,20,1,0,,0,,1107,10000,0,0,1107,10000,,,1,15,0,,1,sf_purple,,blocks.stone,blockd.stone,,1107,2,2,,231D19,,,,,4,,1,15,15,,1,,,10,,
1108,厚秘银板,NetherMithsilverdeck,NetherMithsilverdeck,,,basic,,4,4,,,,1,1,1,0,0,0,,,,1,60,20,1,0,,0,,1108,10000,0,0,1108,10000,,,1,15,0,,1,sf_silvery01,,blocks.stone,blockd.stone,,1108,2,2,,575A67,,,,,,,1,15,15,,1,,,10,,
1109,镂空秘银板,MithsilverSieve,MithsilverSieve,,,log,,4,4,,,,1,1,1,0,0,1,,,,1,60,20,1,0,,0,,1109,10000,0,0,1109,10000,,,1,15,0,,1,sf_silvery03,,blocks.stone,blockd.stone,,1109,2,2,,575A67,,,,,4,,1,15,15,,1,,,10,,
1110,实验室灯,Lablamp,Lablamp,,,log,,4,4,,,,1,1,1,0,0,1,,,,1,30,15,1,0,,0,,1110,10000,0,0,1110,10000,,,1,15,15,,1,sf_white,,blocks.stone,blockd.stone,,1110,2,2,,ffffff,,,,,4,,1,15,0,,1,,,10,,
1111,锈秘银门,Rustdoor,Rustdoor,,,door,,4,,,,,1,1,1,1,3,2,,,,,60,20,1,0,,0,,1111,10000,0,0,1111,10000,,,0,1,0,,2,door_old,,blocks.stone,blockd.stone,,1111,2,2,,5B5343,,,,,4,,3,15,15,,1,,1,10,,
1112,秘银丝网,MithsilverNet,MithsilverNet,,,glass,,4,4,,,,1,1,1,0,0,0,,,,1,40,15,1,0,,0,,1112,10000,0,0,1112,10000,,,3,1,0,,1,glass_old,glass_old_edge,blocks.stone,blockd.stone,,1112,2,2,,5B5343,,,,,,,1,8,15,,1,,,10,,
1113,竖纹秘银板,Stripedeck,Stripedeck,,,log,,4,4,,,,1,1,1,0,0,0,,,,1,40,15,1,0,,0,,1113,10000,0,0,1113,10000,,,1,15,0,,1,sf_metel02,,blocks.stone,blockd.stone,,1113,2,2,,8F7881,,,,,4,,1,15,15,,1,,,10,,
1114,锈秘银板,Rustdeck,Rustdeck,,,basic,,4,4,,,,1,1,1,0,0,0,,,,1,60,20,1,0,,0,,1114,10000,0,0,1114,10000,,,1,15,0,,1,sf_old_01,,blocks.stone,blockd.stone,,1114,2,2,,5B5343,,,,,,,1,15,15,,1,,,10,,
1115,条纹锈秘银板,Striperustdeck,Striperustdeck,,,log,,4,4,,,,1,1,1,0,0,1,,,,1,60,20,1,0,,0,,1115,10000,0,0,1115,10000,,,1,15,0,,1,sf_old_02,,blocks.stone,blockd.stone,,1115,2,2,,5B5343,,,,,4,,1,15,15,,1,,,10,,
1116,镂空锈秘银板,Rustsieve,Rustsieve,,,log,,4,4,,,,1,1,1,0,0,1,,,,1,40,15,1,0,,0,,1116,10000,0,0,1116,10000,,,1,15,0,,1,sf_old_03,,blocks.stone,blockd.stone,,1116,2,2,,5B5343,,,,,,,1,15,15,,1,,,10,,
1117,星能锈秘银块,RustStarenergyblock,RustStarenergyblock,,,log,,4,4,,,,1,1,1,0,0,1,,,,1,60,20,1,0,,0,,1117,10000,0,0,1117,10000,,,1,15,1,,1,sf_old_04,,blocks.stone,blockd.stone,,1117,2,2,,5B5343,,,,,4,,1,15,0,,1,,,10,,
1118,荧光灯,Fluorescentlamp,Fluorescentlamp,,,log,,4,4,,,,1,1,1,0,0,0,,,,1,40,15,1,0,,0,,1118,10000,0,0,1118,10000,,,1,15,15,,1,sf_yellow02,,blocks.stone,blockd.stone,,1118,2,2,,5B5343,,,,,4,,1,15,0,,6,,,10,,
1119,花纹秘银块,PrintedMithsilver,PrintedMithsilver,,,log,,4,4,,,,1,1,1,0,0,1,,,,1,60,20,1,0,,0,,1119,10000,0,0,1119,10000,,,1,15,0,,1,sf_yellow03,,blocks.stone,blockd.stone,,1119,2,2,,5B5343,,,,,4,,1,15,15,,1,,,10,,
1120,旧秘银块,WhiteOldMithsilver,WhiteOldMithsilver,,,basic,,4,4,,,,1,1,1,0,0,0,,,,1,60,60,1,0,,0,,1120,10000,0,0,1120,10000,,,1,15,0,,1,sf_metel01,,blocks.stone,blockd.stone,,1120,2,2,,8F7881,,,,,,,1,15,15,,1,,,10,,
1121,旧秘银块,OrangeOldMithsilver,OrangeOldMithsilver,,,basic,,4,4,,,,1,1,1,0,0,0,,,,1,60,60,1,0,,0,,1121,10000,0,0,1121,10000,,,1,15,0,,1,sf_metel01,,blocks.stone,blockd.stone,,1121,2,2,,eae6e1,,,,,,1120,1,15,15,,1,,,10,,
1122,旧秘银块,RedPurpleOldMithsilver,RedPurpleOldMithsilver,,,basic,,4,4,,,,1,1,1,0,0,0,,,,1,60,60,1,0,,0,,1122,10000,0,0,1122,10000,,,1,15,0,,1,sf_metel01,,blocks.stone,blockd.stone,,1122,2,2,,e28252,,,,,,1120,1,15,15,,1,,,10,,
1123,旧秘银块,LightBlueOldMithsilver,LightBlueOldMithsilver,,,basic,,4,4,,,,1,1,1,0,0,0,,,,1,60,60,1,0,,0,,1123,10000,0,0,1123,10000,,,1,15,0,,1,sf_metel01,,blocks.stone,blockd.stone,,1123,2,2,,de6bf9,,,,,,1120,1,15,15,,1,,,10,,
1124,旧秘银块,YellowOldMithsilver,YellowOldMithsilver,,,basic,,4,4,,,,1,1,1,0,0,0,,,,1,60,60,1,0,,0,,1124,10000,0,0,1124,10000,,,1,15,0,,1,sf_metel01,,blocks.stone,blockd.stone,,1124,2,2,,5cb8ee,,,,,,1120,1,15,15,,1,,,10,,
1125,旧秘银块,LightGreenOldMithsilver,LightGreenOldMithsilver,,,basic,,4,4,,,,1,1,1,0,0,0,,,,1,60,60,1,0,,0,,1125,10000,0,0,1125,10000,,,1,15,0,,1,sf_metel01,,blocks.stone,blockd.stone,,1125,2,2,,e8db7d,,,,,,1120,1,15,15,,1,,,10,,
1126,旧秘银块,LightRedOldMithsilver,LightRedOldMithsilver,,,basic,,4,4,,,,1,1,1,0,0,0,,,,1,60,60,1,0,,0,,1126,10000,0,0,1126,10000,,,1,15,0,,1,sf_metel01,,blocks.stone,blockd.stone,,1126,2,2,,97cb4b,,,,,,1120,1,15,15,,1,,,10,,
1127,旧秘银块,GreyOldMithsilver,GreyOldMithsilver,,,basic,,4,4,,,,1,1,1,0,0,0,,,,1,60,60,1,0,,0,,1127,10000,0,0,1127,10000,,,1,15,0,,1,sf_metel01,,blocks.stone,blockd.stone,,1127,2,2,,ec7dba,,,,,,1120,1,15,15,,1,,,10,,
1128,旧秘银块,LightGreyOldMithsilver,LightGreyOldMithsilver,,,basic,,4,4,,,,1,1,1,0,0,0,,,,1,60,60,1,0,,0,,1128,10000,0,0,1128,10000,,,1,15,0,,1,sf_metel01,,blocks.stone,blockd.stone,,1128,2,2,,a19d99,,,,,,1120,1,15,15,,1,,,10,,
1129,旧秘银块,BlueGreenOldMithsilver,BlueGreenOldMithsilver,,,basic,,4,4,,,,1,1,1,0,0,0,,,,1,60,60,1,0,,0,,1129,10000,0,0,1129,10000,,,1,15,0,,1,sf_metel01,,blocks.stone,blockd.stone,,1129,2,2,,d2cdc7,,,,,,1120,1,15,15,,1,,,10,,
1130,旧秘银块,PurpleOldMithsilver,PurpleOldMithsilver,,,basic,,4,4,,,,1,1,1,0,0,0,,,,1,60,60,1,0,,0,,1130,10000,0,0,1130,10000,,,1,15,0,,1,sf_metel01,,blocks.stone,blockd.stone,,1130,2,2,,50d8d5,,,,,,1120,1,15,15,,1,,,10,,
1131,旧秘银块,BlueOldMithsilver,BlueOldMithsilver,,,basic,,4,4,,,,1,1,1,0,0,0,,,,1,60,60,1,0,,0,,1131,10000,0,0,1131,10000,,,1,15,0,,1,sf_metel01,,blocks.stone,blockd.stone,,1131,2,2,,8e32c3,,candle,,,,1120,1,15,15,,1,,,10,,
1132,旧秘银块,DeepRedOldMithsilver,DeepRedOldMithsilver,,,basic,,4,4,,,,1,1,1,0,0,0,,,,1,60,60,1,0,,0,,1132,10000,0,0,1132,10000,,,1,15,0,,1,sf_metel01,,blocks.stone,blockd.stone,,1132,2,2,,4e5ccd,,,,,,1120,1,15,15,,1,,,10,,
1133,旧秘银块,GreenOldMithsilver,GreenOldMithsilver,,,basic,,4,4,,,,1,1,1,0,0,0,,,,1,60,60,1,0,,0,,1133,10000,0,0,1133,10000,,,1,15,0,,1,sf_metel01,,blocks.stone,blockd.stone,,1133,2,2,,694a34,,,,,,1120,1,15,15,,1,,,10,,
1134,旧秘银块,RedOldMithsilver,RedOldMithsilver,,,basic,,4,4,,,,1,1,1,0,0,0,,,,1,60,60,1,0,,0,,1134,10000,0,0,1134,10000,,,1,15,0,,1,sf_metel01,,blocks.stone,blockd.stone,,1134,2,2,,50c472,,,,,,1120,1,15,15,,1,,,10,,
1135,旧秘银块,BlackOldMithsilver,BlackOldMithsilver,,,basic,,4,4,,,,1,1,1,0,0,0,,,,1,60,60,1,0,,0,,1135,10000,0,0,1135,10000,,,1,15,0,,1,sf_metel01,,blocks.stone,blockd.stone,,1135,2,2,,d23d41,,,,,,1120,1,15,15,,1,,,10,,
1136,雪梅屏风,WintersweetPartition,WintersweetPartition,,,screen,,4,,,,,1,1,1,0,0,2,,,,,35,9,1,1,20,1,,1136,10000,0,0,1136,10000,,,2,1,0,,2,plum_screen,plum_screen,blocks.wood,blockd.wood,,1136,1,1,,865d39,,,,,4,,0,15,15,,1,,1,1,3,
1137,红烛灯,RedCandleLantern,RedCandleLantern,,,candle,,4,,,,,1,1,1,0,0,0,,,,,3,3,1,0,,0,,1137,10000,0,0,1137,10000,,,1,1,0,,1,red_candle,red_candle,,blockd.stone,,1137,2,2,,e8db7d,,,,,,,0,15,15,,1,,,1,3,
1138,模型工作台,MiniatureWorkbench,MiniatureWorkbench,,,modelcraft,,5,,,,,1,1,1,2,0,0,,,,,500,60,1,0,,0,,1138,10000,0,0,1138,10000,,,1,1,0,,1,modelcraft,modelcraft,blocks.stone,blockd.stone,blockd.stone,1138,2,1,,8ea39f,,,,,1,,1,15,15,,1,,,10,3,
1139,红烛灯,RedCandleLantern1,RedCandleLantern1,,,candle,,4,,,,,1,1,1,0,0,0,,,,,3,3,1,0,,0,,1137,10000,0,0,1137,10000,,,3,1,15,,1,red_candle,red_candle,,blockd.stone,,1137,2,2,,e8db7d,,,,,,1137,0,15,0,,1,,,1,3,
1140,传送点核心方块,TransferCoreBlocks,TransferCoreBlocks,,,transfercore,,5,,,,,1,1,1,2,0,1,,,,,-1,-1,1,0,,0,,1140,10000,0,0,1140,10000,,,1,1,0,,1,transfer_block,transfer_block,blocks.stone,blockd.stone,blockd.stone,1140,2,2,,cdd2d5,,,,,1,,,15,15,,1,,,10,,
1141,传送点方块,TransferBlocks,TransferBlocks,,,transfer,,5,,,,,1,0,1,1,2,0,,,,,-1,-1,1,0,,0,,1141,10000,0,0,1141,10000,,,0,1,10,,1,transfer,,blocks.stone,blockd.stone,blockd.stone,1141,2,2,,00d9e5,,,,,1,,,15,0,,1,,,10,,
1142,道具模型工作台,PropsMiniatureWorkbench,PropsMiniatureWorkbench,,,modelcraft,,5,,,,,1,1,1,2,0,0,,,,,500,60,1,0,,0,,1142,10000,0,0,1142,10000,,,1,1,0,,1,modelcraft1,modelcraft1,blocks.stone,blockd.stone,blockd.stone,1142,2,1,,8ea39f,,,,,1,,1,15,15,,1,,,10,3,
1143,编书台,BookmakingWorkbench,BookmakingWorkbench,,,bookeditortable,,5,,,,,1,1,1,2,0,0,,,,,500,9,1,0,,0,,1143,10000,0,0,1143,10000,,,1,1,0,,1,book_editortable,book_editortable,blockd.wood,blockd.wood,,1143,1,1,,ffcc62,,,,,4,,1,15,15,,1,,,1,3,
1144,书架,Bookrack,Bookrack,,,bookcabinet,,4,,,,,1,1,1,2,0,0,,,,,24,10,1,5,20,5,,1144,10000,0,0,1144,10000,,,1,1,0,,1,book_cabinet,book_cabinet,blocks.wood,blockd.wood,,1144,1,1,,713c14,,,,,4,,1,15,15,,1,,,1,3,
1145,春节窗花-牛,SpringFestivalPattern-Ox,SpringFestivalPattern-Ox,,,vine,,4,,,,,1,0,1,1,3,0,,,,,0,0,1,0,,0,,1145,10000,0,0,1145,10000,,,0,1,0,,1,niu,,blocks.cloth,blockd.cloth,,1145,1,1,,ea151c,,,,,4,,0,15,15,,1,,,1,3,0
1146,庆典花灯,FestivalLantern,FestivalLantern,,,festivelantern,,,,,,,1,1,1,1,0,0,,,,,10,10,1,0,,0,,1146,10000,0,0,1146,10000,,,2,1,30,,1,festivelantern,festivelantern,blocks.stone,blockd.stone,,0,1,1,,3f2d1d,,,,,,,1,15,15,,1,,,1,3,
1147,春节窗花-虎,SpringFestivalPattern-Tiger,SpringFestivalPattern-Tiger,,,vine,,4,,,,,1,0,1,1,3,0,,,,,0,0,1,0,,0,,1147,10000,0,0,1147,10000,,,0,1,0,,1,hu,,blocks.cloth,blockd.cloth,,1147,1,1,,ea151c,,,,,4,,0,15,15,,1,,,1,3,0
1148,游戏版本过低,,,,,basic,,,,,,,1,1,1,1,0,2,,,,,,,1,0,,0,,,,,,,,,,2,1,0,,1,bamboo_planks,,blocks.wood,blockd.wood,,,,,,,,,,,,,0,15,15,,1,,,,,
1149,游戏版本过低,,,,,basic,,,,,,,1,1,1,1,0,2,,,,,,,1,0,,0,,,,,,,,,,2,1,0,,1,bamboo_planks,,blocks.wood,blockd.wood,,,,,,,,,,,,,0,15,15,,1,,,,,
1150,生物模型方块,MobMiniatureBlock,MobMiniatureBlock,,,actormodel,,5,,,,,1,1,1,2,0,2,,,,,500,60,1,0,,0,,1150,10000,0,0,1150,10000,,,0,1,0,,1,dinas,,blocks.wood,blockd.wood,,1150,1,5,,f5cd96,,,,,,,0,15,15,,1,,,10,,
1151,自定义模型制作器,CustomModelEditor,CustomModelEditor,,,modeleditor,,5,,,,,1,1,1,2,0,2,,,,,500,60,1,0,,0,,1151,10000,0,0,1151,10000,,,0,1,0,,1,modeleditor_off,modeleditor,blocks.stone,blockd.stone,,1151,2,5,,f5cd96,,,,,,,0,15,15,,1,,,10,3,
1152,工具模式预览方块,,,,,basic,,,,,,,1,1,1,1,0,2,,,,,,,1,0,,0,,,,,,,,,,2,1,0,,1,bamboo_planks,,blocks.wood,blockd.wood,,,,,,,,,,,,,0,15,15,,1,,,,,
1153,测试：标记器（-）,Marker(-)1,Marker(-)1,,,mechamarker,,,,,,,1,1,1,0,0,0,,,,,5,4,1,0,,0,,1004,10000,0,0,1004,10000,,,2,15,0,,1,mechamarker_1,,blocks.stone,blockd.stone,,1004,2,1,,4f251e,,,,,,,1,15,15,,1,,,1,,
1154,测试：标记器（+）,Marker(+)1,Marker(+)1,,,mechamarker,,,,,,,1,1,1,0,0,0,,,,,5,4,1,0,,0,,1005,10000,0,0,1005,10000,,,2,15,0,,1,mechamarker_2,,blocks.stone,blockd.stone,,1005,2,1,,4f251e,,,,,,,1,15,15,,1,,,1,,
1155,测试：滑动方块,SlidingBlock1,SlidingBlock1,,,mechaslider,,,,,,,1,1,1,0,0,0,,,,,5,4,1,0,,0,,1008,10000,0,0,1008,10000,,,2,15,0,,1,mechaslider_front,mechaslider,blocks.stone,blockd.stone,,1008,2,1,,4f251e,,,,,4,,1,15,15,,1,,,1,,
1156,测试：转轴方块,RotorBlock1,RotorBlock1,,,mecharotate,,,,,,,1,1,1,0,0,0,,,,,5,4,1,0,,0,,1010,10000,0,0,1010,10000,,,2,1,0,,1,mecha_rotate_off,mecha_rotate_on,blocks.stone,blockd.stone,,1010,2,1,,4f251e,,,,,4,,1,15,15,,1,,,1,,
1157,测试：开关,Switch1,Switch1,,,lever,,,,,,,1,0,0,1,3,1,,,,,8,3,1,0,,0,,724,10000,0,0,724,10000,,,0,1,0,,1,switch,switch,,blockd.wood,,724,2,1,,c1b7bd,,,,,4,,0,15,15,,1,,,1,,
1158,球铰链方块,,,,,spherical,,,,,,,1,1,1,0,0,2,,,,,50,10,1,0,,0,,1158,10000,0,0,1158,10000,,,1,1,0,,1,ball_hinge,,blocks.stone,blockd.stone,blockd.stone,1158,2,2,,5d605d,,,,,4,,1,15,15,,1,,,1,,
1159,铰链方块,HingeBlock,HingeBlock,,,t_revolute,,5,,,,,1,1,1,0,0,2,,,,,50,10,1,0,,0,,1159,10000,0,0,1159,10000,,,1,1,0,,1,t_hinge_on_0,t_hinge,blocks.stone,blockd.stone,blockd.stone,1159,2,2,,5d605d,,,,,4,,1,15,15,,1,,,1,,
1160,机械爪,Gripper,Gripper,,,claw,,5,,,,,1,1,1,0,0,2,,,,,50,10,1,0,,0,,1160,10000,0,0,1160,10000,,,1,1,0,,1,absorb_claws,absorb_claws,blocks.stone,blockd.stone,blockd.stone,1160,2,2,,5d605d,,,,,4,,1,15,15,,1,,,1,,
1161,液压臂,HydraulicArm,HydraulicArm,,,arm_prismatic,,5,,,,,1,1,1,0,0,2,,,,,50,10,1,0,,0,,1161,10000,0,0,1161,10000,,,1,1,0,,1,hydraulic_arm_up_off,,blocks.stone,blockd.stone,blockd.stone,1161,2,2,,5d605d,,,,,4,,1,15,15,,1,,,1,,
1162,游戏版本过低,,,,,basic,,,,,,,1,1,1,0,0,2,,,,,50,10,1,0,,0,,0,0,0,0,0,0,,,1,1,0,,1,,,blocks.stone,blockd.stone,blockd.stone,,2,2,,5d605d,,,,,4,,1,15,15,,1,,,1,,
1163,游戏版本过低,,,,,basic,,,,,,,1,1,1,0,0,2,,,,,50,10,1,0,,0,,0,0,0,0,0,0,,,1,1,0,,1,,,blocks.stone,blockd.stone,blockd.stone,,2,2,,5d605d,,,,,4,,1,15,15,,1,,,1,,
1164,避震器,ShockAbsorber,ShockAbsorber,,,suspend,,5,,,,,1,1,1,0,0,2,,,,,50,10,1,0,,0,,1164,10000,0,0,1164,10000,,,1,1,0,,1,suspension,,blocks.stone,blockd.stone,blockd.stone,1164,2,2,,5d605d,,,,,4,,1,15,15,,1,,,1,,
1165,升降绞绳,,twisted_rope,,,rope_header,,,,,,,1,1,1,0,0,2,,,,,50,10,1,0,,0,,1165,10000,0,0,1165,10000,,,1,1,0,,1,twisted_rope_up_off,twisted_rope,blocks.stone,blockd.stone,blockd.stone,1165,2,2,,5d605d,,,,,4,,1,15,15,,1,,,1,,
1166,绞绳-尾部固定木桩,,twisted_rope,,,rope_tail,,,,,,,1,1,1,0,0,2,,,,,50,10,1,0,,0,,1166,10000,0,0,1166,10000,,,1,1,0,,1,twisted_rope_up_off,,blocks.stone,blockd.stone,blockd.stone,1166,2,2,,5d605d,,,,,4,,1,15,15,,1,,,1,,
1167,绞绳-绳子,,twisted_rope,,,rope,,,,,,,1,1,1,0,0,2,,,,,50,10,1,0,,0,,1167,10000,0,0,1167,10000,,,1,1,0,,1,twisted_rope_up_off,,blocks.stone,blockd.stone,blockd.stone,1167,2,2,,5d605d,,,,,4,,1,15,15,,1,,,1,,
1168,红外感应方块,,Infrared_induction,,,sensordistance,,5,,,,,1,1,1,0,0,2,,,,,3,10,1,0,,0,,1168,10000,0,0,1168,10000,,,1,1,0,,1,infrared,infrared,blocks.stone,blockd.stone,,1168,2,1,,7b4b2c,,,,,4,,1,15,15,,1,,,1,,
1169,光照感应器,,light_induction,,,sensorvalue,,5,,,,,1,0,1,0,0,1,,,,,3,10,1,0,,0,,1169,10000,0,0,1169,10000,,,1,1,0,,1,light_induction_off,light_induction,blocks.stone,blockd.stone,,1169,2,1,,7b4b2c,,,,,4,,0,15,15,,1,,,1,,
1170,游戏版本过低,,,,,sensorvalue,,,,,,,1,0,1,0,0,1,,,,,3,10,1,0,,0,,1169,10000,0,0,1169,10000,,,1,1,0,,1,height_induction_off,height_induction,blocks.stone,blockd.stone,,1169,2,1,,7b4b2c,,,,,4,,0,15,15,,1,,,1,,
1171,游戏版本过低,,,,,sensorvalue,,,,,,,1,0,1,0,0,1,,,,,3,10,1,0,,0,,1169,10000,0,0,1169,10000,,,1,1,0,,1,speed_induction_off,speed_induction,blocks.stone,blockd.stone,,1169,2,1,,7b4b2c,,,,,4,,0,15,15,,1,,,1,,
1180,大型储物箱（横）,StorageBox,StorageBox,,,bigchest,,5,,,,,1,1,1,2,0,2,,,,,24,10,1,1,20,1,,1180,10000,0,0,1180,10000,,,2,,0,,1,chest,bigchest2,blocks.wood,blockd.wood,,1180,1,1,,ad4136,,,,,4,,1,15,15,,1,,1,1,,
1181,大型储物箱（竖）,StorageBox,StorageBox,,,bigchest,,5,,,,,1,1,1,2,0,2,,,,,24,10,1,1,20,1,,1181,10000,0,0,1181,10000,,,2,,0,,2,chest,bigchest1,blocks.wood,blockd.wood,,1181,1,1,,ad4136,,,,,4,,1,15,15,,1,,1,1,,
1182,星能振荡器,,Oscillator,,,oscillator,,5,,,,,1,1,1,0,0,0,,,,,10,10,1,0,,0,,1182,10000,0,0,1182,10000,,,1,1,0,,1,oscillator,oscillator,blocks.stone,blockd.stone,blockd.stone,1182,2,1,,77abae,,,,,,,1,15,15,,1,,,1,,
1183,黄砖感压板,Pressure_sandstone,pressure_sandstone,,,pressure,,5,,,,,1,0,1,1,3,0,,,,,10,5,1,0,,0,,1183,10000,0,0,1183,10000,,,0,1,0,,1,pressure_sandstone,,,blockd.stone,,1183,2,1,,ca9b4d,,,,,4,,0,15,15,,1,,,1,,
1184,星能展台,,,,,visualizer,,5,,,,1,1,1,1,2,0,2,,,,,50,20,1,0,,0,,1184,10000,0,0,1184,10000,,,2,1,0,,1,visualizer,visualizer,blocks.stone,blockd.stone,,1184,2,2,,77abae,,,,,4,,1,,15,,1,,,10,,
1185,嘟嘟鸟窝,birdnest,birdnest,,,birdnest,,,,,,,1,0,0,0,0,0,,,,,0,0,1,0,,0,,1019,10000,0,0,1019,10000,,,1,1,0,,1,birdnest,birdnest,blocks.cloth,blockd.cloth,,1019,0,1,,00fa9a,,,,,,,0,15,15,,1,,,,3,
1186,彼岸花,,,,,shoreflower,,1,,,,,1,0,0,1,3,0,,,,,2,35,1,15,100,15,,1186,10000,0,0,1186,10000,,,0,1,0,,1,flower_pineapple,flower_pineapple,,blockd.grass,,1186,0,1,,ff0000,0.12,,,,,,0,15,15,,1,,,,2,
1187,彼岸菠萝,,,,,pineapple,,1,1,,,,1,1,1,1,0,1,,,,,6,2,1,5,100,10,,11654,10000,0,0,11654,10000,,,1,1,0,,1,pineapple,pineapple,blocks.wood,blockd.wood,,11654,0,1,,206803,2.2,,,,,,1,15,15,,1,,,,2,
