任务id,任务名称（stringdef,多少级显示,是否显示进度（0=不显示，1=显示）,任务类型(1:新手引导任务，2：其它）,任务难度（1普通，2困难，3挑战),任务权重（1~10）,更新版本,完成类型,完成次数,任务额外条件id,任务额外条件图标是否显示（0=不显示，1=显示）,任务额外条件参数,前置任务id,经验奖励,任务奖励类型type(2:家园币，5：道具),任务奖励1ID,奖励1数量,任务奖励类型type(2:家园币，5：道具),任务奖励2ID,奖励2数量,任务奖励类型type(2:家园币，5：道具),任务奖励3ID,奖励3数量,任务奖励类型type(2:家园币，5：道具),任务奖励4ID,奖励4数量,任务奖励类型type(2:家园币，5：道具),任务奖励5ID,奖励5数量,任务奖励类型type(2:家园币，5：道具),任务奖励6ID,奖励6数量,任务标题文本id（stringdef,任务描述文本id（stringdef,剧情ID（stringdef,npcID,npcID类型,位置坐标x,位置坐标y,位置坐标z,备注
2069,101094,17,1,2,3,7,1.5.0,15,1,62457,1,,18,800,2,,9000,5,75015,5,,,,,,,,,,,,,110454,,,,,,,,在任意商人处卖出椰子
2070,101094,19,1,2,3,8,1.5.0,15,1,62459,1,,18,800,2,,8100,5,68004,5,,,,,,,,,,,,,110455,,,,,,,,在任意商人处卖出蛋黄果
2071,101094,21,1,2,3,5,1.5.0,15,1,62462,1,,18,1000,2,,10100,5,75008,6,,,,,,,,,,,,,110456,,,,,,,,在任意商人处卖出豌豆
2072,101094,22,1,2,3,6,1.5.0,15,1,62463,1,,18,1000,2,,10700,5,75015,6,,,,,,,,,,,,,110457,,,,,,,,在任意商人处卖出蓝莓
2073,101094,23,1,2,3,7,1.5.0,15,1,62464,1,,18,1000,2,,10100,5,68004,6,,,,,,,,,,,,,110458,,,,,,,,在任意商人处卖出草莓
2074,101094,24,1,2,3,8,1.5.0,15,1,62465,1,,18,1000,2,,11100,5,68004,6,,,,,,,,,,,,,110459,,,,,,,,在任意商人处卖出菠萝
2075,101094,26,1,2,3,6,1.5.0,15,1,62467,1,,18,1200,2,,12200,5,75008,8,,,,,,,,,,,,,110460,,,,,,,,在任意商人处卖出樱桃
2076,101094,27,1,2,3,7,1.5.0,15,1,62468,1,,18,1200,2,,13400,5,75015,8,,,,,,,,,,,,,110461,,,,,,,,在任意商人处卖出灵芝
2077,101094,29,1,2,3,8,1.5.0,15,1,62470,1,,18,1200,2,,12100,5,68004,8,,,,,,,,,,,,,110462,,,,,,,,在任意商人处卖出五彩椒
2078,101094,1,1,2,1,4,1.5.0,17,1,62101,1,,18,100,2,,1100,5,75027,1,,,,,,,,,,,,,110463,,,,,,,,在牧场养鸡
2079,101094,2,1,2,1,5,1.5.0,17,1,62102,1,,18,100,2,,1100,5,75012,1,,,,,,,,,,,,,110464,,,,,,,,在牧场养飞鸡
2080,101094,3,1,2,1,6,1.5.0,17,1,62103,1,,18,100,2,,1600,5,75020,2,,,,,,,,,,,,,110465,,,,,,,,在牧场养牛
2081,101094,4,1,2,1,7,1.5.0,17,1,62104,1,,18,100,2,,1600,5,75021,2,,,,,,,,,,,,,110466,,,,,,,,在牧场养羊
2082,101094,5,1,2,1,8,1.5.0,17,1,62105,1,,18,100,2,,1300,5,75025,3,,,,,,,,,,,,,110467,,,,,,,,在牧场养猪
2083,101094,6,1,2,1,4,1.5.0,17,1,62101,1,,18,200,2,,2100,5,75027,2,,,,,,,,,,,,,110463,,,,,,,,在牧场养鸡
2084,101094,7,1,2,1,5,1.5.0,17,1,62102,1,,18,200,2,,2100,5,75012,2,,,,,,,,,,,,,110464,,,,,,,,在牧场养飞鸡
2085,101094,8,1,2,1,6,1.5.0,17,1,62103,1,,18,200,2,,2600,5,75020,4,,,,,,,,,,,,,110465,,,,,,,,在牧场养牛
2086,101094,9,1,2,1,7,1.5.0,17,1,62104,1,,18,200,2,,2600,5,75021,4,,,,,,,,,,,,,110466,,,,,,,,在牧场养羊
2087,101094,10,1,2,1,8,1.5.0,17,1,62105,1,,18,200,2,,2300,5,75025,6,,,,,,,,,,,,,110467,,,,,,,,在牧场养猪
2088,101094,11,1,2,1,4,1.5.0,17,1,62101,1,,18,300,2,,3100,5,75027,3,,,,,,,,,,,,,110463,,,,,,,,在牧场养鸡
2089,101094,12,1,2,1,5,1.5.0,17,1,62102,1,,18,300,2,,3100,5,75012,3,,,,,,,,,,,,,110464,,,,,,,,在牧场养飞鸡
2090,101094,13,1,2,1,6,1.5.0,17,1,62103,1,,18,300,2,,3600,5,75020,6,,,,,,,,,,,,,110465,,,,,,,,在牧场养牛
2091,101094,14,1,2,1,7,1.5.0,17,1,62104,1,,18,300,2,,3600,5,75021,6,,,,,,,,,,,,,110466,,,,,,,,在牧场养羊
2092,101094,15,1,2,1,8,1.5.0,17,1,62105,1,,18,300,2,,3300,5,75025,9,,,,,,,,,,,,,110467,,,,,,,,在牧场养猪
2093,101094,16,1,2,1,4,1.5.0,17,1,62101,1,,18,400,2,,4100,5,75027,4,,,,,,,,,,,,,110463,,,,,,,,在牧场养鸡
2094,101094,17,1,2,1,5,1.5.0,17,1,62102,1,,18,400,2,,4100,5,75012,4,,,,,,,,,,,,,110464,,,,,,,,在牧场养飞鸡
2095,101094,18,1,2,1,6,1.5.0,17,1,62103,1,,18,400,2,,4600,5,75020,8,,,,,,,,,,,,,110465,,,,,,,,在牧场养牛
2096,101094,19,1,2,1,7,1.5.0,17,1,62104,1,,18,400,2,,4600,5,75021,8,,,,,,,,,,,,,110466,,,,,,,,在牧场养羊
2097,101094,20,1,2,1,8,1.5.0,17,1,62105,1,,18,400,2,,4300,5,75025,12,,,,,,,,,,,,,110467,,,,,,,,在牧场养猪
2098,101094,21,1,2,1,4,1.5.0,17,1,62101,1,,18,500,2,,5100,5,75027,5,,,,,,,,,,,,,110463,,,,,,,,在牧场养鸡
2099,101094,22,1,2,1,5,1.5.0,17,1,62102,1,,18,500,2,,5100,5,75012,5,,,,,,,,,,,,,110464,,,,,,,,在牧场养飞鸡
2100,101094,23,1,2,1,6,1.5.0,17,1,62103,1,,18,500,2,,5600,5,75020,10,,,,,,,,,,,,,110465,,,,,,,,在牧场养牛
2101,101094,24,1,2,1,7,1.5.0,17,1,62104,1,,18,500,2,,5600,5,75021,10,,,,,,,,,,,,,110466,,,,,,,,在牧场养羊
2102,101094,25,1,2,1,8,1.5.0,17,1,62105,1,,18,500,2,,5300,5,75025,15,,,,,,,,,,,,,110467,,,,,,,,在牧场养猪
2103,101094,26,1,2,1,4,1.5.0,17,1,62101,1,,18,600,2,,6100,5,75027,6,,,,,,,,,,,,,110463,,,,,,,,在牧场养鸡
2104,101094,27,1,2,1,5,1.5.0,17,1,62102,1,,18,600,2,,6100,5,75012,6,,,,,,,,,,,,,110464,,,,,,,,在牧场养飞鸡
2105,101094,28,1,2,1,6,1.5.0,17,1,62103,1,,18,600,2,,6600,5,75020,12,,,,,,,,,,,,,110465,,,,,,,,在牧场养牛
2106,101094,29,1,2,1,7,1.5.0,17,1,62104,1,,18,600,2,,6600,5,75021,12,,,,,,,,,,,,,110466,,,,,,,,在牧场养羊
2107,101094,30,1,2,1,8,1.5.0,17,1,62105,1,,18,600,2,,6300,5,75025,18,,,,,,,,,,,,,110467,,,,,,,,在牧场养猪
2108,101094,1,1,2,2,8,1.5.0,52,2,,,,18,150,2,,2500,5,75025,6,,,,,,,,,,,,,110468,,,,,,,,喂养牧场中的小动物
2109,101094,6,1,2,2,8,1.5.0,52,2,,,,18,300,2,,5000,5,75025,12,,,,,,,,,,,,,110468,,,,,,,,喂养牧场中的小动物
2110,101094,11,1,2,2,8,1.5.0,52,2,,,,18,450,2,,7500,5,75025,18,,,,,,,,,,,,,110468,,,,,,,,喂养牧场中的小动物
2111,101094,16,1,2,2,8,1.5.0,52,2,,,,18,600,2,,10000,5,75025,24,,,,,,,,,,,,,110468,,,,,,,,喂养牧场中的小动物
2112,101094,21,1,2,2,8,1.5.0,52,2,,,,18,750,2,,12500,5,75025,30,,,,,,,,,,,,,110468,,,,,,,,喂养牧场中的小动物
2113,101094,26,1,2,2,8,1.5.0,52,2,,,,18,900,2,,15000,5,75025,36,,,,,,,,,,,,,110468,,,,,,,,喂养牧场中的小动物
2114,101094,1,1,2,2,4,1.5.0,53,1,62101,1,,18,150,2,,1600,5,75015,1,,,,,,,,,,,,,110469,,,,,,,,去牧场收获生鸡腿
2115,101094,2,1,2,2,5,1.5.0,53,1,62101,1,,18,150,2,,1600,5,62106,2,,,,,,,,,,,,,110469,,,,,,,,去牧场收获生鸡腿
2116,101094,3,1,2,3,6,1.5.0,53,1,62103,1,,18,200,2,,2600,5,75008,2,,,,,,,,,,,,,110470,,,,,,,,去牧场收获生牛排
2117,101094,4,1,2,3,7,1.5.0,53,1,62104,1,,18,200,2,,2600,5,75015,2,,,,,,,,,,,,,110471,,,,,,,,去牧场收获生羊腿
2118,101094,5,1,2,3,8,1.5.0,53,1,62105,1,,18,200,2,,2300,5,68004,2,,,,,,,,,,,,,110472,,,,,,,,去牧场收获生猪肉
2119,101094,6,1,2,2,4,1.5.0,53,1,62101,1,,18,300,2,,3100,5,75015,2,,,,,,,,,,,,,110469,,,,,,,,去牧场收获生鸡腿
2120,101094,7,1,2,2,5,1.5.0,53,1,62101,1,,18,300,2,,3100,5,62106,3,,,,,,,,,,,,,110469,,,,,,,,去牧场收获生鸡腿
2121,101094,8,1,2,3,6,1.5.0,53,1,62103,1,,18,400,2,,4600,5,75008,3,,,,,,,,,,,,,110470,,,,,,,,去牧场收获生牛排
2122,101094,9,1,2,3,7,1.5.0,53,1,62104,1,,18,400,2,,4600,5,75015,3,,,,,,,,,,,,,110471,,,,,,,,去牧场收获生羊腿
2123,101094,10,1,2,3,8,1.5.0,53,1,62105,1,,18,400,2,,4300,5,68004,3,,,,,,,,,,,,,110472,,,,,,,,去牧场收获生猪肉
2124,101094,11,1,2,2,4,1.5.0,53,1,62101,1,,18,450,2,,4600,5,75015,3,,,,,,,,,,,,,110469,,,,,,,,去牧场收获生鸡腿
2125,101094,12,1,2,2,5,1.5.0,53,1,62101,1,,18,450,2,,4600,5,62106,4,,,,,,,,,,,,,110469,,,,,,,,去牧场收获生鸡腿
2126,101094,13,1,2,3,6,1.5.0,53,1,62103,1,,18,600,2,,6600,5,75008,4,,,,,,,,,,,,,110470,,,,,,,,去牧场收获生牛排
2127,101094,14,1,2,3,7,1.5.0,53,1,62104,1,,18,600,2,,6600,5,75015,4,,,,,,,,,,,,,110471,,,,,,,,去牧场收获生羊腿
2128,101094,15,1,2,3,8,1.5.0,53,1,62105,1,,18,600,2,,6300,5,68004,4,,,,,,,,,,,,,110472,,,,,,,,去牧场收获生猪肉
2129,101094,16,1,2,2,4,1.5.0,53,1,62101,1,,18,600,2,,6100,5,75015,3,,,,,,,,,,,,,110469,,,,,,,,去牧场收获生鸡腿
2130,101094,17,1,2,2,5,1.5.0,53,1,62101,1,,18,600,2,,6100,5,62106,5,,,,,,,,,,,,,110469,,,,,,,,去牧场收获生鸡腿
2131,101094,18,1,2,3,6,1.5.0,53,1,62103,1,,18,800,2,,8600,5,75008,5,,,,,,,,,,,,,110470,,,,,,,,去牧场收获生牛排
2132,101094,19,1,2,3,7,1.5.0,53,1,62104,1,,18,800,2,,8600,5,75015,5,,,,,,,,,,,,,110471,,,,,,,,去牧场收获生羊腿
2133,101094,20,1,2,3,8,1.5.0,53,1,62105,1,,18,800,2,,8300,5,68004,5,,,,,,,,,,,,,110472,,,,,,,,去牧场收获生猪肉
2134,101094,21,1,2,2,4,1.5.0,53,1,62101,1,,18,750,2,,7600,5,75015,4,,,,,,,,,,,,,110469,,,,,,,,去牧场收获生鸡腿
2135,101094,22,1,2,2,5,1.5.0,53,1,62101,1,,18,750,2,,7600,5,62106,6,,,,,,,,,,,,,110469,,,,,,,,去牧场收获生鸡腿
2136,101094,23,1,2,3,6,1.5.0,53,1,62103,1,,18,1000,2,,10600,5,75008,6,,,,,,,,,,,,,110470,,,,,,,,去牧场收获生牛排
2137,101094,24,1,2,3,7,1.5.0,53,1,62104,1,,18,1000,2,,10600,5,75015,6,,,,,,,,,,,,,110471,,,,,,,,去牧场收获生羊腿
2138,101094,25,1,2,3,8,1.5.0,53,1,62105,1,,18,1000,2,,10300,5,68004,6,,,,,,,,,,,,,110472,,,,,,,,去牧场收获生猪肉
2139,101094,26,1,2,2,4,1.5.0,53,1,62101,1,,18,900,2,,9100,5,75015,4,,,,,,,,,,,,,110469,,,,,,,,去牧场收获生鸡腿
2140,101094,27,1,2,2,5,1.5.0,53,1,62101,1,,18,900,2,,9100,5,62106,8,,,,,,,,,,,,,110469,,,,,,,,去牧场收获生鸡腿
2141,101094,28,1,2,3,6,1.5.0,53,1,62103,1,,18,1200,2,,12600,5,75008,8,,,,,,,,,,,,,110470,,,,,,,,去牧场收获生牛排
2142,101094,29,1,2,3,7,1.5.0,53,1,62104,1,,18,1200,2,,12600,5,75015,8,,,,,,,,,,,,,110471,,,,,,,,去牧场收获生羊腿
2143,101094,30,1,2,3,8,1.5.0,53,1,62105,1,,18,1200,2,,12300,5,68004,8,,,,,,,,,,,,,110472,,,,,,,,去牧场收获生猪肉
2144,101094,1,1,2,1,8,1.5.0,51,1,62017,1,,18,100,2,,1200,5,68004,1,,,,,,,,,,,,,110473,,,,,,,,找大山购买甘蔗种子
2145,101094,6,1,2,1,8,1.5.0,51,1,62043,1,,18,200,2,,2800,5,68004,1,,,,,,,,,,,,,110474,,,,,,,,找大山购买西红柿种子
2146,101094,11,1,2,1,8,1.5.0,51,1,62049,1,,18,300,2,,5900,5,68004,2,,,,,,,,,,,,,110475,,,,,,,,找大山购买小地星种子
2147,101094,16,1,2,1,8,1.5.0,51,1,62054,1,,18,400,2,,5200,5,68004,2,,,,,,,,,,,,,110476,,,,,,,,找大山购买油菜花种子
2148,101094,21,1,2,1,8,1.5.0,51,1,62060,1,,18,500,2,,9400,5,68004,3,,,,,,,,,,,,,110477,,,,,,,,找大山购买圆椒种子
2149,101094,26,1,2,1,8,1.5.0,51,1,62065,1,,18,600,2,,7700,5,68004,3,,,,,,,,,,,,,110478,,,,,,,,找大山购买葡萄树种子
2150,101094,1,1,2,1,8,1.5.0,51,1,62101,1,,18,100,2,,1100,5,62106,1,,,,,,,,,,,,,110479,,,,,,,,找力哥购买鸡
2151,101094,6,1,2,1,8,1.5.0,51,1,62102,1,,18,200,2,,2100,5,62106,2,,,,,,,,,,,,,110480,,,,,,,,找力哥购买飞鸡
2152,101094,11,1,2,1,8,1.5.0,51,1,62103,1,,18,300,2,,3600,5,62106,3,,,,,,,,,,,,,110481,,,,,,,,找力哥购买牛
2153,101094,16,1,2,1,8,1.5.0,51,1,62103,1,,18,400,2,,4600,5,62106,3,,,,,,,,,,,,,110482,,,,,,,,找力哥购买牛
2154,101094,21,1,2,1,8,1.5.0,51,1,62104,1,,18,500,2,,5600,5,62106,4,,,,,,,,,,,,,110483,,,,,,,,找力哥购买羊
2155,101094,26,1,2,1,8,1.5.0,51,1,62105,1,,18,600,2,,6300,5,62106,4,,,,,,,,,,,,,110484,,,,,,,,找力哥购买猪
2156,101094,1,1,2,1,8,1.5.0,51,1,64244,1,,18,100,2,,1400,5,75012,1,,,,,,,,,,,,,110485,,,,,,,,找刘婶购买能量水
2157,101094,6,1,2,1,8,1.5.0,51,1,64244,1,,18,200,2,,2400,5,75012,2,,,,,,,,,,,,,110486,,,,,,,,找刘婶购买能量水
2158,101094,11,1,2,1,8,1.5.0,51,1,75017,1,,18,300,2,,3200,5,75012,3,,,,,,,,,,,,,110487,,,,,,,,找刘婶购买食盐
2159,101094,16,1,2,1,8,1.5.0,51,1,64004,1,,18,400,2,,4400,5,75012,4,,,,,,,,,,,,,110488,,,,,,,,找刘婶购买蔗糖
2160,101094,21,1,2,1,8,1.5.0,51,1,64001,1,,18,500,2,,5100,5,75012,5,,,,,,,,,,,,,110489,,,,,,,,找刘婶购买葵花籽
2161,101094,26,1,2,1,8,1.5.0,51,1,64002,1,,18,600,2,,6400,5,75012,6,,,,,,,,,,,,,110490,,,,,,,,找刘婶购买稻米
2162,101094,1,1,2,2,4,1.5.0,23,1,64003,1,,18,150,2,,1600,5,75027,3,,,,,,,,,,,,,110491,,,,,,,,去灶台使用麦子制作面粉
2163,101094,2,1,2,2,5,1.5.0,23,1,64001,1,,18,150,2,,1600,5,75012,3,,,,,,,,,,,,,110492,,,,,,,,去灶台使用向阳花制作葵花籽
2164,101094,3,1,2,2,6,1.5.0,23,1,64002,1,,18,150,2,,1700,5,75021,5,,,,,,,,,,,,,110493,,,,,,,,去灶台使用水稻制作稻米
2165,101094,4,1,2,2,7,1.5.0,23,1,64004,1,,18,150,2,,1700,5,75020,5,,,,,,,,,,,,,110494,,,,,,,,去灶台使用甘蔗制作蔗糖
2166,101094,5,1,2,2,8,1.5.0,23,1,75007,1,,18,150,2,,1700,5,62106,2,,,,,,,,,,,,,110495,,,,,,,,去工具台使用甘蔗制作纸张
2167,101094,1,1,2,2,4,1.5.0,23,1,75022,1,,18,150,2,,1600,5,62106,2,,,,,,,,,,,,,110496,,,,,,,,去工具台使用飞羽制作羽绒棉
2168,101094,3,1,2,3,6,1.5.0,23,1,75008,1,,18,200,2,,2400,5,75008,2,,,,,,,,,,,,,110497,,,,,,,,去工具台使用果树原木制作果木板
2169,101094,4,1,2,3,7,1.5.0,23,1,75002,1,,18,200,2,,2900,5,75015,2,,,,,,,,,,,,,110498,,,,,,,,去工具台使用羊毛制作绒布
2170,101094,2,1,2,3,5,1.5.0,23,1,75001,1,,18,200,2,,2200,5,75008,2,,,,,,,,,,,,,110499,,,,,,,,去工具台使用棉花制作棉布
2171,101094,5,1,2,3,8,1.5.0,23,1,75004,1,,18,200,2,,2500,5,75015,2,,,,,,,,,,,,,110500,,,,,,,,去工具台使用砂土制作玻璃片
2172,101094,5,1,2,3,8,1.5.0,23,1,75003,1,,18,200,2,,2500,5,68004,2,,,,,,,,,,,,,110501,,,,,,,,去工具台使用黏土制作陶瓷土坯
2173,101094,6,1,2,2,4,1.5.0,23,1,64003,1,,18,300,2,,3100,5,75027,4,,,,,,,,,,,,,110491,,,,,,,,去灶台使用麦子制作面粉
2174,101094,7,1,2,2,5,1.5.0,23,1,64001,1,,18,300,2,,3100,5,75012,4,,,,,,,,,,,,,110492,,,,,,,,去灶台使用向阳花制作葵花籽
2175,101094,8,1,2,2,6,1.5.0,23,1,64002,1,,18,300,2,,3200,5,75021,8,,,,,,,,,,,,,110493,,,,,,,,去灶台使用水稻制作稻米
2176,101094,9,1,2,2,7,1.5.0,23,1,64004,1,,18,300,2,,3200,5,75020,8,,,,,,,,,,,,,110494,,,,,,,,去灶台使用甘蔗制作蔗糖
2177,101094,10,1,2,2,8,1.5.0,23,1,75007,1,,18,300,2,,3200,5,62106,3,,,,,,,,,,,,,110495,,,,,,,,去工具台使用甘蔗制作纸张
2178,101094,6,1,2,2,4,1.5.0,23,1,75022,1,,18,300,2,,3100,5,62106,3,,,,,,,,,,,,,110496,,,,,,,,去工具台使用飞羽制作羽绒棉
2179,101094,8,1,2,3,6,1.5.0,23,1,75008,1,,18,400,2,,4400,5,75008,3,,,,,,,,,,,,,110497,,,,,,,,去工具台使用果树原木制作果木板
2180,101094,9,1,2,3,7,1.5.0,23,1,75002,1,,18,400,2,,4900,5,75015,3,,,,,,,,,,,,,110498,,,,,,,,去工具台使用羊毛制作绒布
2181,101094,7,1,2,3,5,1.5.0,23,1,75001,1,,18,400,2,,4200,5,75008,3,,,,,,,,,,,,,110499,,,,,,,,去工具台使用棉花制作棉布
2182,101094,10,1,2,3,8,1.5.0,23,1,75004,1,,18,400,2,,4500,5,75015,3,,,,,,,,,,,,,110500,,,,,,,,去工具台使用砂土制作玻璃片
2183,101094,10,1,2,3,8,1.5.0,23,1,75003,1,,18,400,2,,4500,5,68004,3,,,,,,,,,,,,,110501,,,,,,,,去工具台使用黏土制作陶瓷土坯
2184,101094,11,1,2,2,4,1.5.0,23,1,64003,1,,18,450,2,,4600,5,75027,5,,,,,,,,,,,,,110491,,,,,,,,去灶台使用麦子制作面粉
2185,101094,12,1,2,2,5,1.5.0,23,1,64001,1,,18,450,2,,4600,5,75012,5,,,,,,,,,,,,,110492,,,,,,,,去灶台使用向阳花制作葵花籽
2186,101094,13,1,2,2,6,1.5.0,23,1,64002,1,,18,450,2,,4700,5,75021,12,,,,,,,,,,,,,110493,,,,,,,,去灶台使用水稻制作稻米
2187,101094,14,1,2,2,7,1.5.0,23,1,64004,1,,18,450,2,,4700,5,75020,12,,,,,,,,,,,,,110494,,,,,,,,去灶台使用甘蔗制作蔗糖
2188,101094,15,1,2,2,8,1.5.0,23,1,75007,1,,18,450,2,,4700,5,62106,4,,,,,,,,,,,,,110495,,,,,,,,去工具台使用甘蔗制作纸张
2189,101094,11,1,2,2,4,1.5.0,23,1,75022,1,,18,450,2,,4600,5,62106,4,,,,,,,,,,,,,110496,,,,,,,,去工具台使用飞羽制作羽绒棉
2190,101094,13,1,2,3,6,1.5.0,23,1,75008,1,,18,600,2,,6400,5,75008,4,,,,,,,,,,,,,110497,,,,,,,,去工具台使用果树原木制作果木板
2191,101094,14,1,2,3,7,1.5.0,23,1,75002,1,,18,600,2,,6900,5,75015,4,,,,,,,,,,,,,110498,,,,,,,,去工具台使用羊毛制作绒布
2192,101094,12,1,2,3,5,1.5.0,23,1,75001,1,,18,600,2,,6200,5,75008,4,,,,,,,,,,,,,110499,,,,,,,,去工具台使用棉花制作棉布
2193,101094,15,1,2,3,8,1.5.0,23,1,75004,1,,18,600,2,,6500,5,75015,4,,,,,,,,,,,,,110500,,,,,,,,去工具台使用砂土制作玻璃片
2194,101094,15,1,2,3,8,1.5.0,23,1,75003,1,,18,600,2,,6500,5,68004,4,,,,,,,,,,,,,110501,,,,,,,,去工具台使用黏土制作陶瓷土坯
2195,101094,16,1,2,2,4,1.5.0,23,1,64003,1,,18,600,2,,6100,5,75027,6,,,,,,,,,,,,,110491,,,,,,,,去灶台使用麦子制作面粉
2196,101094,17,1,2,2,5,1.5.0,23,1,64001,1,,18,600,2,,6100,5,75012,6,,,,,,,,,,,,,110492,,,,,,,,去灶台使用向阳花制作葵花籽
2197,101094,18,1,2,2,6,1.5.0,23,1,64002,1,,18,600,2,,6200,5,75021,16,,,,,,,,,,,,,110493,,,,,,,,去灶台使用水稻制作稻米
2198,101094,19,1,2,2,7,1.5.0,23,1,64004,1,,18,600,2,,6200,5,75020,16,,,,,,,,,,,,,110494,,,,,,,,去灶台使用甘蔗制作蔗糖
2199,101094,20,1,2,2,8,1.5.0,23,1,75007,1,,18,600,2,,6200,5,62106,5,,,,,,,,,,,,,110495,,,,,,,,去工具台使用甘蔗制作纸张
2200,101094,16,1,2,2,4,1.5.0,23,1,75022,1,,18,600,2,,6100,5,62106,5,,,,,,,,,,,,,110496,,,,,,,,去工具台使用飞羽制作羽绒棉
2201,101094,18,1,2,3,6,1.5.0,23,1,75008,1,,18,800,2,,8400,5,75008,5,,,,,,,,,,,,,110497,,,,,,,,去工具台使用果树原木制作果木板
2202,101094,19,1,2,3,7,1.5.0,23,1,75002,1,,18,800,2,,8900,5,75015,5,,,,,,,,,,,,,110498,,,,,,,,去工具台使用羊毛制作绒布
2203,101094,17,1,2,3,5,1.5.0,23,1,75001,1,,18,800,2,,8200,5,75008,5,,,,,,,,,,,,,110499,,,,,,,,去工具台使用棉花制作棉布
2204,101094,20,1,2,3,8,1.5.0,23,1,75004,1,,18,800,2,,8500,5,75015,5,,,,,,,,,,,,,110500,,,,,,,,去工具台使用砂土制作玻璃片
2205,101094,20,1,2,3,8,1.5.0,23,1,75003,1,,18,800,2,,8500,5,68004,5,,,,,,,,,,,,,110501,,,,,,,,去工具台使用黏土制作陶瓷土坯
2206,101094,21,1,2,2,4,1.5.0,23,1,64003,1,,18,750,2,,7600,5,75027,7,,,,,,,,,,,,,110491,,,,,,,,去灶台使用麦子制作面粉
2207,101094,22,1,2,2,5,1.5.0,23,1,64001,1,,18,750,2,,7600,5,75012,7,,,,,,,,,,,,,110492,,,,,,,,去灶台使用向阳花制作葵花籽
2208,101094,23,1,2,2,6,1.5.0,23,1,64002,1,,18,750,2,,7700,5,75021,20,,,,,,,,,,,,,110493,,,,,,,,去灶台使用水稻制作稻米
2209,101094,24,1,2,2,7,1.5.0,23,1,64004,1,,18,750,2,,7700,5,75020,20,,,,,,,,,,,,,110494,,,,,,,,去灶台使用甘蔗制作蔗糖
2210,101094,25,1,2,2,8,1.5.0,23,1,75007,1,,18,750,2,,7700,5,62106,6,,,,,,,,,,,,,110495,,,,,,,,去工具台使用甘蔗制作纸张
2211,101094,21,1,2,2,4,1.5.0,23,1,75022,1,,18,750,2,,7600,5,62106,6,,,,,,,,,,,,,110496,,,,,,,,去工具台使用飞羽制作羽绒棉
2212,101094,23,1,2,3,6,1.5.0,23,1,75008,1,,18,1000,2,,10400,5,75008,6,,,,,,,,,,,,,110497,,,,,,,,去工具台使用果树原木制作果木板
2213,101094,24,1,2,3,7,1.5.0,23,1,75002,1,,18,1000,2,,10900,5,75015,6,,,,,,,,,,,,,110498,,,,,,,,去工具台使用羊毛制作绒布
2214,101094,22,1,2,3,5,1.5.0,23,1,75001,1,,18,1000,2,,10200,5,75008,6,,,,,,,,,,,,,110499,,,,,,,,去工具台使用棉花制作棉布
2215,101094,25,1,2,3,8,1.5.0,23,1,75004,1,,18,1000,2,,10500,5,75015,6,,,,,,,,,,,,,110500,,,,,,,,去工具台使用砂土制作玻璃片
2216,101094,25,1,2,3,8,1.5.0,23,1,75003,1,,18,1000,2,,10500,5,68004,6,,,,,,,,,,,,,110501,,,,,,,,去工具台使用黏土制作陶瓷土坯
2217,101094,26,1,2,2,4,1.5.0,23,1,64003,1,,18,900,2,,9100,5,75027,8,,,,,,,,,,,,,110491,,,,,,,,去灶台使用麦子制作面粉
2218,101094,27,1,2,2,5,1.5.0,23,1,64001,1,,18,900,2,,9100,5,75012,8,,,,,,,,,,,,,110492,,,,,,,,去灶台使用向阳花制作葵花籽
2219,101094,28,1,2,2,6,1.5.0,23,1,64002,1,,18,900,2,,9200,5,75021,25,,,,,,,,,,,,,110493,,,,,,,,去灶台使用水稻制作稻米
2220,101094,29,1,2,2,7,1.5.0,23,1,64004,1,,18,900,2,,9200,5,75020,25,,,,,,,,,,,,,110494,,,,,,,,去灶台使用甘蔗制作蔗糖
2221,101094,30,1,2,2,8,1.5.0,23,1,75007,1,,18,900,2,,9200,5,62106,8,,,,,,,,,,,,,110495,,,,,,,,去工具台使用甘蔗制作纸张
2222,101094,26,1,2,2,4,1.5.0,23,1,75022,1,,18,900,2,,9100,5,62106,8,,,,,,,,,,,,,110496,,,,,,,,去工具台使用飞羽制作羽绒棉
2223,101094,28,1,2,3,6,1.5.0,23,1,75008,1,,18,1200,2,,12400,5,75008,8,,,,,,,,,,,,,110497,,,,,,,,去工具台使用果树原木制作果木板
2224,101094,29,1,2,3,7,1.5.0,23,1,75002,1,,18,1200,2,,12900,5,75015,8,,,,,,,,,,,,,110498,,,,,,,,去工具台使用羊毛制作绒布
2225,101094,27,1,2,3,5,1.5.0,23,1,75001,1,,18,1200,2,,12200,5,75008,8,,,,,,,,,,,,,110499,,,,,,,,去工具台使用棉花制作棉布
2226,101094,30,1,2,3,8,1.5.0,23,1,75004,1,,18,1200,2,,12500,5,75015,8,,,,,,,,,,,,,110500,,,,,,,,去工具台使用砂土制作玻璃片
2227,101094,30,1,2,3,8,1.5.0,23,1,75003,1,,18,1200,2,,12500,5,68004,8,,,,,,,,,,,,,110501,,,,,,,,去工具台使用黏土制作陶瓷土坯
2228,101094,1,1,2,3,8,1.5.0,20,1,68004,1,,18,200,2,,2500,5,68004,2,,,,,,,,,,,,,110502,,,,,,,,使用精灵糖帮助宠物培养属性
