id,音效名,备注,插件库开放[0代表不开放，1=开放 ],触发器开放[0代表不开放，1=开放 ],分类（1=脚步，2=行为，3=受击，4=待机，5=技能，6=环境，7=背景音乐，8=提示，9=其它）,音效路径,图标名字,时长(ms)
10894,guide_boy_18,,0,0,8,ui.guide.guide_boy.guide_boy_18,sounds08,2875
10895,guide_boy_19,,0,0,8,ui.guide.guide_boy.guide_boy_19,sounds08,1375
10896,guide_boy_2,,0,0,8,ui.guide.guide_boy.guide_boy_2,sounds08,3000
10897,guide_boy_20,,0,0,8,ui.guide.guide_boy.guide_boy_20,sounds08,1375
10898,guide_boy_21,,0,0,8,ui.guide.guide_boy.guide_boy_21,sounds08,1500
10899,guide_boy_22,,0,0,8,ui.guide.guide_boy.guide_boy_22,sounds08,1875
10900,guide_boy_23,,0,0,8,ui.guide.guide_boy.guide_boy_23,sounds08,4125
10901,guide_boy_24,,0,0,8,ui.guide.guide_boy.guide_boy_24,sounds08,2375
10902,guide_boy_25,,0,0,8,ui.guide.guide_boy.guide_boy_25,sounds08,2125
10903,guide_boy_26,,0,0,8,ui.guide.guide_boy.guide_boy_26,sounds08,2250
10904,guide_boy_27,,0,0,8,ui.guide.guide_boy.guide_boy_27,sounds08,3500
10905,guide_boy_28,,0,0,8,ui.guide.guide_boy.guide_boy_28,sounds08,3750
10906,guide_boy_29,,0,0,8,ui.guide.guide_boy.guide_boy_29,sounds08,1625
10907,guide_boy_3,,0,0,8,ui.guide.guide_boy.guide_boy_3,sounds08,3000
10908,guide_boy_4,,0,0,8,ui.guide.guide_boy.guide_boy_4,sounds08,3500
10909,guide_boy_5,,0,0,8,ui.guide.guide_boy.guide_boy_5,sounds08,3000
10910,guide_boy_6,,0,0,8,ui.guide.guide_boy.guide_boy_6,sounds08,2000
10911,guide_boy_7,,0,0,8,ui.guide.guide_boy.guide_boy_7,sounds08,2250
10912,guide_boy_8,,0,0,8,ui.guide.guide_boy.guide_boy_8,sounds08,2125
10913,guide_boy_9,,0,0,8,ui.guide.guide_boy.guide_boy_9,sounds08,2000
10914,guide_girl_1,,0,0,8,ui.guide.guide_girl.guide_girl_1,sounds08,2375
10915,guide_girl_10,,0,0,8,ui.guide.guide_girl.guide_girl_10,sounds08,1000
10916,guide_girl_11,,0,0,8,ui.guide.guide_girl.guide_girl_11,sounds08,1750
10917,guide_girl_12,,0,0,8,ui.guide.guide_girl.guide_girl_12,sounds08,2500
10918,guide_girl_13,,0,0,8,ui.guide.guide_girl.guide_girl_13,sounds08,1500
10919,guide_girl_14,,0,0,8,ui.guide.guide_girl.guide_girl_14,sounds08,1750
10920,guide_girl_15,,0,0,8,ui.guide.guide_girl.guide_girl_15,sounds08,2375
10921,guide_girl_16,,0,0,8,ui.guide.guide_girl.guide_girl_16,sounds08,3250
10922,guide_girl_17,,0,0,8,ui.guide.guide_girl.guide_girl_17,sounds08,1875
10923,guide_girl_18,,0,0,8,ui.guide.guide_girl.guide_girl_18,sounds08,2875
10924,guide_girl_19,,0,0,8,ui.guide.guide_girl.guide_girl_19,sounds08,1375
10925,guide_girl_2,,0,0,8,ui.guide.guide_girl.guide_girl_2,sounds08,3000
10926,guide_girl_20,,0,0,8,ui.guide.guide_girl.guide_girl_20,sounds08,1375
10927,guide_girl_21,,0,0,8,ui.guide.guide_girl.guide_girl_21,sounds08,1500
10928,guide_girl_22,,0,0,8,ui.guide.guide_girl.guide_girl_22,sounds08,1875
10929,guide_girl_23,,0,0,8,ui.guide.guide_girl.guide_girl_23,sounds08,4125
10930,guide_girl_24,,0,0,8,ui.guide.guide_girl.guide_girl_24,sounds08,2125
10931,guide_girl_25,,0,0,8,ui.guide.guide_girl.guide_girl_25,sounds08,2750
10932,guide_girl_26,,0,0,8,ui.guide.guide_girl.guide_girl_26,sounds08,2750
10933,guide_girl_27,,0,0,8,ui.guide.guide_girl.guide_girl_27,sounds08,3625
10934,guide_girl_28,,0,0,8,ui.guide.guide_girl.guide_girl_28,sounds08,3875
10935,guide_girl_29,,0,0,8,ui.guide.guide_girl.guide_girl_29,sounds08,1750
10936,guide_girl_3,,0,0,8,ui.guide.guide_girl.guide_girl_3,sounds08,3000
10937,guide_girl_4,,0,0,8,ui.guide.guide_girl.guide_girl_4,sounds08,3500
10938,guide_girl_5,,0,0,8,ui.guide.guide_girl.guide_girl_5,sounds08,3000
10939,guide_girl_6,,0,0,8,ui.guide.guide_girl.guide_girl_6,sounds08,2000
10940,guide_girl_7,,0,0,8,ui.guide.guide_girl.guide_girl_7,sounds08,2250
10941,guide_girl_8,,0,0,8,ui.guide.guide_girl.guide_girl_8,sounds08,2125
10942,guide_girl_9,,0,0,8,ui.guide.guide_girl.guide_girl_9,sounds08,2000
10943,click_F3,,0,0,8,ui.guide.PC_SFX.click_F3,sounds08,239
10944,page_turning,,0,0,8,ui.guide.PC_SFX.page_turning,sounds08,539
10945,achievement_complete,,0,1,8,ui.info.achievement_complete,sounds08,1880
10946,achievement_reach,,0,1,8,ui.info.achievement_reach,sounds08,1253
10947,book_seriesunlock,,0,1,8,ui.info.book_seriesunlock,sounds08,1486
10948,book_unlock,,0,1,8,ui.info.book_unlock,sounds08,2159
10949,crafting_error,,0,1,8,ui.info.crafting_error,sounds08,1277
10950,crafting_success,,0,1,8,ui.info.crafting_success,sounds08,232
10951,death,,0,1,8,ui.info.death,sounds08,3000
10952,experience_star,,0,1,8,ui.info.experience_star,sounds08,827
10953,guide_complete,,0,1,8,ui.info.guide_complete,sounds08,5375
10954,guide_get,,0,1,8,ui.info.guide_get,sounds08,2000
10955,guide_info,,0,1,8,ui.info.guide_info,sounds08,182
10956,message_get,,0,1,8,ui.info.message_get,sounds08,208
10957,shop_unlock,,0,1,8,ui.info.shop_unlock,sounds08,3088
10958,tame_failed,,0,1,8,ui.info.tame_failed,sounds08,625
10959,tame_success,,0,1,8,ui.info.tame_success,sounds08,3000
10960,voice_on,,0,1,8,ui.info.voice_on,sounds08,294
10961,plant_businessman_open,,0,1,8,ui.plant.plant_businessman_open,sounds08,2487
10962,plant_fruit_produce,,0,1,8,ui.plant.plant_fruit_produce,sounds08,2345
10963,plant_fruit_ripe,,0,1,8,ui.plant.plant_fruit_ripe,sounds08,859
10964,plant_guide_1,,0,1,8,ui.plant.plant_guide_1,sounds08,1253
10965,plant_item_open,,0,1,8,ui.plant.plant_item_open,sounds08,1439
10966,plant_item_rare,,0,1,8,ui.plant.plant_item_rare,sounds08,3500
10967,plant_levelup_1,,0,1,8,ui.plant.plant_levelup_1,sounds08,1695
10968,plant_love_full,,0,1,8,ui.plant.plant_love_full,sounds08,12000
10969,plant_love_get,,0,1,8,ui.plant.plant_love_get,sounds08,2487
10970,plant_say,,0,1,8,ui.plant.plant_say,sounds08,1253
10971,plant_water_click,,0,1,8,ui.plant.plant_water_click,sounds08,325
10972,plant_water_get,,0,1,8,ui.plant.plant_water_get,sounds08,1671
10973,hit,,0,1,3,ent.3870.hit,sounds03,310
10974,hit,,0,1,3,ent.3870.hit,sounds03,0
10975,hit,,0,1,3,ent.3878.attack,sounds03,540
10976,die,,0,1,3,ent.3870.die,sounds03,695
10977,die,,0,1,3,ent.3872.die,sounds03,1235
10978,die,,0,1,3,ent.3873.die,sounds03,878
10979,die,,0,1,3,ent.3878.die,sounds03,3973
10980,demage,,0,1,3,ent.4503.attack1,sounds03,20036
10981,dun,,0,1,3,ent.4502.attack1,sounds03,24927
10982,buff_cold,,0,1,5,buff.buff_cold,sounds05,4162
10983,buff_diarrhea,,0,1,5,buff.buff_diarrhea,sounds05,10315
10984,crafting,,0,1,9,item.11613.crafting,sounds09,1223
10985,buff_balala_xiaolan,,0,0,8,buff.buff_balala_xiaolan,sounds08,3924
10986,buff_balala_meiqi,,0,0,8,buff.buff_balala_meiqi,sounds08,3924
10987,buff_balala_meixue,,0,0,8,buff.buff_balala_meixue,sounds08,3924
10988,buff_balala_youle,,0,0,8,buff.buff_balala_youle,sounds08,3924
10989,buff_balala_caili,,0,0,8,buff.buff_balala_caili,sounds08,3916
10990,buff_balala_qiaoling,,0,0,8,buff.buff_balala_qiaoling,sounds08,3916
10991,buff_balala_xiaomin,,0,0,8,buff.buff_balala_xiaomin,sounds08,3916
10992,buff_seachange,,0,0,5,item.11641.watertransform1,sounds09,2140
10993,ChurchBell,钟声,0,1,9,misc.ChurchBell,sounds09,4442
10994,ClockTick,时钟滴答声,0,1,9,misc.ClockTick,sounds09,3657
10995,PhoneRing1,急促电话,0,1,9,misc.PhoneRing1,sounds09,4481
10996,PhoneRing2,急促电话2,0,1,9,misc.PhoneRing2,sounds09,3750
10997,BingBong,门铃声,0,1,9,misc.BingBong,sounds09,2507
10998,MatelicDoorOpen,清脆开门声,0,1,9,misc.MatelicDoorOpen,sounds09,1584
10999,WoodenDoorOpen,木门嘎吱声,0,1,9,misc.WoodenDoorOpen,sounds09,3918
11000,Meow1,猫叫1,0,1,9,misc.Meow1,sounds09,1790
11001,Meow2,猫叫2,0,1,9,misc.Meow2,sounds09,1544
11002,BirdFlapping,鸟扇翅膀,0,1,9,misc.BirdFlapping,sounds09,3625
11003,RoosterCrow,鸡打鸣声,0,1,9,misc.RoosterCrow,sounds09,2635
11004,CrowSound,乌鸦叫,0,1,9,misc.CrowSound,sounds09,2557
11005,GirlGiggles,女孩笑声,0,1,9,misc.GirlGiggles,sounds09,1273
11006,HorrorLaugh,恐怖笑声,0,1,9,misc.HorrorLaugh,sounds09,3537
11007,HorrorGirlLaugh1,恐怖女声1,0,1,9,misc.HorrorGirlLaugh1,sounds09,3420
11008,HorrorGirlLaugh2,恐怖女声2,0,1,9,misc.HorrorGirlLaugh2,sounds09,3986
11009,HorrorGirlLaugh3,恐怖女声3,0,1,9,misc.HorrorGirlLaugh3,sounds09,3773
11010,HorrorGirlLaugh4,恐怖女声4,0,1,9,misc.HorrorGirlLaugh4,sounds09,4281
11011,WaterDrop1,水滴慢放,0,1,9,misc.WaterDrop1,sounds09,3959
11012,WaterDrop2,连续水滴,0,1,9,misc.WaterDrop2,sounds09,6357
11013,ToiletFluttering,冲马桶声,0,1,9,misc.ToiletFluttering,sounds09,4004
11014,MiceSqueak,老鼠吱吱声,0,1,9,misc.MiceSqueak,sounds09,1201
11015,CameraGlitch,快门声,0,1,9,misc.CameraGlitch,sounds09,2526
11016,Alert,警报声,0,1,9,misc.Alert,sounds09,3979
11017,WolfHowling,狼嚎,0,1,9,misc.WolfHowling,sounds09,4761
11018,CarHonk,车鸣笛,0,1,9,misc.CarHonk,sounds09,871
11019,VechicleDrivingOff,汽车出发,0,1,9,misc.VechicleDrivingOff,sounds09,3474
11020,SchoolBell,上课铃声,0,1,9,misc.SchoolBell,sounds09,3680
11021,Whispers,窃窃私语声,0,1,9,misc.Whispers,sounds09,4163
11022,StoneMoving,岩石移动声,0,1,9,misc.StoneMoving,sounds09,3506
11023,HighHeels,高跟鞋脚步,0,1,9,misc.HighHeels,sounds09,1365
11024,idle,三角龙-待机,0,1,4,ent.3170.idle,sounds04,1998
11025,foot1,三角龙-移动1,0,1,1,ent.3170.foot1,sounds01,1111
11026,foot2,三角龙-移动3,0,1,1,ent.3170.foot2,sounds01,1004
11027,foot3,三角龙-移动3,0,1,1,ent.3170.foot3,sounds01,1273
11028,attack,三角龙-攻击,0,1,2,ent.3170.attack,sounds02,1405
11029,hit,三角龙-受击,0,1,3,ent.3170.hit,sounds03,858
11030,die,三角龙-死亡,0,1,3,ent.3170.die,sounds03,977
11031,idle,腕龙-待机,0,1,4,ent.3174.idle,sounds04,2246
11032,foot1,腕龙-移动1,0,1,1,ent.3174.foot1,sounds01,2036
11033,foot2,腕龙-移动2,0,1,1,ent.3174.foot2,sounds01,2441
11034,foot3,腕龙-移动3,0,1,1,ent.3174.foot3,sounds01,1831
11035,attack,腕龙-攻击,0,1,2,ent.3174.attack,sounds02,1216
11036,hit,腕龙-受击,0,1,3,ent.3174.hit,sounds03,983
11037,die,腕龙-死亡,0,1,3,ent.3174.die,sounds03,1555
11038,idle,翼龙-待机,0,1,4,ent.3178.idle,sounds04,757
11039,foot1,翼龙-移动1,0,1,1,ent.3178.foot1,sounds01,579
11040,foot2,翼龙-移动2,0,1,1,ent.3178.foot2,sounds01,355
11041,attack,翼龙-攻击,0,1,2,ent.3178.attack,sounds02,1061
11042,hit,翼龙-受击,0,1,3,ent.3178.hit,sounds03,786
11043,die,翼龙-死亡,0,1,3,ent.3178.die,sounds03,751
11044,idle,副栉龙-待机,0,1,4,ent.3182.idle,sounds04,645
11045,foot1,副栉龙-移动1,0,1,1,ent.3182.foot1,sounds01,525
11046,foot2,副栉龙-移动2,0,1,1,ent.3182.foot2,sounds01,519
11047,attack,副栉龙-攻击,0,1,2,ent.3182.attack,sounds02,1017
11048,hit,副栉龙-受击,0,1,3,ent.3182.hit,sounds03,606
11049,die,副栉龙-死亡,0,1,3,ent.3182.die,sounds03,1226
11050,idle,迅猛龙-待机,0,1,4,ent.3185.idle,sounds04,661
11051,foot1,迅猛龙-移动1,0,1,1,ent.3185.foot1,sounds01,383
11052,foot2,迅猛龙-移动2,0,1,1,ent.3185.foot2,sounds01,471
11053,foot3,迅猛龙-移动3,0,1,1,ent.3185.foot3,sounds01,380
11054,attack,迅猛龙-攻击,0,1,2,ent.3185.attack,sounds02,591
11055,hit,迅猛龙-受击,0,1,3,ent.3185.hit,sounds03,792
11056,die,迅猛龙-死亡,0,1,3,ent.3185.die,sounds03,1319
11057,idle,双冠龙-待机,0,1,4,ent.3189.idle,sounds04,1329
11058,foot1,双冠龙-移动1,0,1,1,ent.3189.foot1,sounds01,534
11059,foot2,双冠龙-移动2,0,1,1,ent.3189.foot2,sounds01,533
11060,foot3,双冠龙-移动3,0,1,1,ent.3189.foot3,sounds01,637
11061,attack,双冠龙-攻击,0,1,2,ent.3189.attack,sounds02,398
11062,hit,双冠龙-受击,0,1,3,ent.3189.hit,sounds03,680
11063,die,双冠龙-死亡,0,1,3,ent.3189.die,sounds03,1484
11064,idle,剑龙-待机,0,1,4,ent.3191.idle,sounds04,2625
11065,foot1,剑龙-移动1,0,1,1,ent.3191.foot1,sounds01,1865
11066,foot2,剑龙-移动2,0,1,1,ent.3191.foot2,sounds01,1778
11067,foot3,剑龙-移动3,0,1,1,ent.3191.foot3,sounds01,1837
11068,attack,剑龙-攻击,0,1,2,ent.3191.attack,sounds02,1244
11069,hit,剑龙-受击,0,1,3,ent.3191.hit,sounds03,1035
11070,die,剑龙-死亡,0,1,3,ent.3191.die,sounds03,1559
11071,idle,霸王龙-待机,0,1,4,ent.3193.idle,sounds04,3407
11072,foot1,霸王龙-移动1,0,1,1,ent.3193.foot1,sounds01,1409
11073,foot2,霸王龙-移动2,0,1,1,ent.3193.foot2,sounds01,1423
11074,foot3,霸王龙-移动3,0,1,1,ent.3193.foot3,sounds01,1420
11075,attack,霸王龙-攻击,0,1,2,ent.3193.attack,sounds02,1063
11076,hit,霸王龙-受击,0,1,3,ent.3193.hit,sounds03,1143
11077,die,霸王龙-死亡,0,1,3,ent.3193.die,sounds03,1266
11078,idle,机械霸王龙-待机,0,1,4,ent.3197.idle,sounds04,1279
11079,foot1,机械霸王龙-移动1,0,1,1,ent.3197.foot1,sounds01,628
11080,foot2,机械霸王龙-移动2,0,1,1,ent.3197.foot2,sounds01,643
11081,attack,机械霸王龙-攻击,0,1,2,ent.3197.attack,sounds02,1301
11082,hit,机械霸王龙-受击,0,1,3,ent.3197.hit,sounds03,954
11083,die,机械霸王龙-死亡,0,1,3,ent.3197.die,sounds03,1369
11084,freeze,结冰,0,1,6,misc.freeze,sounds01,844
11085,freezebreak,碎冰,0,1,6,misc.freezebreak,sounds01,645
11086,hammercharge1,锤武器进行蓄力,0,1,5,item.12010.charge1,sounds05,2000
11087,hammercharge2,锤武器蓄力完成,0,1,5,item.12010.charge2,sounds05,2000
11088,hammercharge3,锤武器保持蓄力,0,1,5,item.12010.charge3,sounds05,2000
11089,hammercharge4,锤武器蓄力释放（砸地）,0,1,5,item.12010.charge4,sounds05,2000
11090,hammercharge4,锤武器蓄力释放（挥击）,0,1,5,item.12010.hammer_unleash,sounds05,2000
11091,pollution,虚空蛋爆炸,0,0,6,misc.pollution,sounds06,3000
