ID,名称,文本,作者
131,Lời bộc bạch cùng Mini World,"Thời mới chơi Mini World, game chưa được chỉn chu, đẹp đẽ như bây giờ nhưng quả thật, tớ đã có những phút giây vui vẻ, ngập tràn tiếng cười cùng với những người bạn mà trước đấy tớ chưa hề biết tới! Tớ vẫn còn nhớ rằng, tớ có rất nhiều kỉ niệm với Mini World. Từ lúc bắt đầu chơi và tạo ra cho mình một thế giới sinh tồn hoàn toàn mới, tớ đã gặp và quen một người bạn. Tớ và bạn ấy đã xây rất nhiều ngôi nhà, cùng nhau băng qua rất nhiều nguy hiểm và khó khắn. Nhưng thật đáng tiếc vào một ngày cuối tháng bảy năm 2018, bạn ấy đã nghỉ chơi Mini World. Nói thất, lúc ấy, tớ rất buồn và cô đơn vì không còn ai chuyện trò và sẻ chia cùng. Chính vì việc ấy, tớ cũng đã bỏ chơi trò chơi từ đó.",Đức Anh Pham
132,Lời bộc bạch cùng Mini World,"Còn là một học sinh ngồi trên ghế nhà trường, chả phụ huynh nào khuyến khích con cái nên ôm máy vi tính hay điện thoại cả ngày để chơi trò chơi vì thế tớ rất ít được sử dụng điện thoại và máy tính (trừ những lúc tớ học). Nhưng vào thời khoảng năm 2017, Mini World bắt đầu bùng nổ và trở nên nổi tiếng, cộng với sự phát tán của nó trên mạng xã hội và qua những người bạn không ngừng nói về nó. Và rồi thì vào hè năm ấy, tớ cũng tò mò và cố mày mò cài đặt chơi thử cho biết đó biết đây, cho bằng bạn bằng bè nhưng rồi lại “mê mẩn” còn hơn cả bạn cả bè, đó cũng chính là thứ đã khiến cho tớ còn niềm đam mê với trò chơi này tới tận bây giờ.",Đức Anh Pham
133,Lời bộc bạch cùng Mini World,"Trong Mini World, người chơi có thể thưởng thức các trò chơi tức thì đa dạng do những người chơi khác thực hiện, chẳng hạn như parkour(1), xếp hình, chiến đấu... Ngoài chế độ sáng tạo ra, người chơi còn có thể bắt đầu cuộc phiêu lưu hoành tráng ở đây bằng cách khám phá những điều chưa biết và thách thức với bạn bè của mình!",Đức Anh Pham
134,Lời bộc bạch cùng Mini World,"Mini World là dòng trò chơi theo khuynh hướng xây dựng và sinh tồn. Đúng như tên gọi, sự sáng tạo là giá trị cốt lõi của trò chơi, nơi bạn có thể tạo ra mọi thứ trong siêu vũ trụ bằng cách sử dụng các đồ vật và công cụ được cung cấp, một ngôi nhà, một con tàu vũ trụ hoặc thậm chí là một thành phố.",Đức Anh Pham
135,Lời bộc bạch cùng Mini World,"Nếu chỉ chọn một trò chơi yêu thích để nêu lên suy nghĩ thì cũng thật khó, bởi thực tế tớ cũng không nhớ rõ là mình đã từng chơi biết bao nhiêu trò chơi rồi, nhưng chả trò chơi nào mà tớ không thích cả. Mỗi một trò lại đem lại những nỗi niềm, những cảm xúc khó tả khác nhau. Thậm chí, tớ cũng đã từng mất ăn mất ngủ chỉ vì để “cày”cho chúng.  Nó quả là một chủ đề khá thú vị mặc dù tớ cũng chưa từng nghĩ qua và cũng không biết nên viết nó theo thể loại gì, thôi thì cứ viết như một bài cảm nhận trên trường vậy đi. Vì như đã nói tất cả những trò chơi tớ chơi, tớ đều thích và yêu quý chúng. Tuy nhiên, để mà nói có 1 sự lựa chọn hấp dẫn và lôi cuốn hơn để viết thì có lẽ sẽ là tựa trò chơi “Mini World – Thế Giới Tí Hon”",Đức Anh Pham
136,Lời bộc bạch cùng Mini World,"Tưởng chừng như là một bài cảm nhận về một tró chơi điện tử thông thường tớ yêu thích nhưng ngẫm lại thì thấy nó cũng thật là mông lung, xa vời… bởi vì tại sao ư? Đơn giản là vì nó chẳng có một giới hạn nhất định nào. Trò chơi thì có vô vàn thể loại với biết bao hình thức chơi với nhiều các tựa đề khác nhau. Đấy chỉ là tớ đang đứng trên lập trường là một người biết và thích chơi những trò chơi thông thường thôi nhé. Chứ mà là một dân chơi trò chơi chuyên nghiệp ấy thì trong 1 chữ “trò chơi” chứa đựng biết bao nhiêu là thứ cần phải bàn đến, nào là ước mơ, sự nghiệp hay đôi lúc còn là cả cuộc đời của mình.",Đức Anh Pham
137,MÓN QUÀ TINH THẦN VÀ HƯỚNG VỀ TƯƠNG LAI - P2: THÀNH CÔNG!,"Ngày 5 Tháng 3 Năm 2022, Tôi Lên Trang Event Của Mini World Để Xem Kết Quả Và Thật Bất Ngờ Khi Thấy Map Đã Lọt Vào Vòng Chung Kết Và Đạt Được Giải Khuyến Khích 50$. Lúc Ấy Tôi Rất Vui, Vui Đến Mức Độ Mà Tôi Phải Lấy Chiếc Xe Đẹp Chạy Khắp Xóm Và Thông Báo Chuyện Tôi Đạt Giải 50$.
Con Map """" PVP-LuckyBlock Phone """" Là Cả Tâm Quyết Của Tôi Và Nó Đã Đem Lại Cho Rất Nhiều Món Quà Về Tinh Thần Và Vật Chất Làm Tôi Sẽ Không Bao Giờ Quên Được Con Map Này Cùng Kỉ Niệm Đạt Giải Này.",Yuka Junn
138,MÓN QUÀ TINH THẦN VÀ HƯỚNG VỀ TƯƠNG LAI - P1: KIÊN TRÌ,"Nhưng Để Không Phụ Lòng Chỉ Dạy Mini Camp Của Anh Alien Game Và Cộng Với Ý Chí Quyết Tâm Đạt Được Giải Của Tôi Thì Cuối Cùng Tôi Cũng Đã Hoành Thành Xong Con Map """" PVP-LuckyBlock Phone """" Ngay Vào Những Ngày Cuối Cùng Của Sự Kiện Mini Arena.",Yuka Junn
139,MÓN QUÀ TINH THẦN VÀ HƯỚNG VỀ TƯƠNG LAI - P1: KHÓ KHĂN,"Trong 1 Lần Lướt Facebook Trong Trạm Đĩa Bay Của Alien Game, Tôi Tình Đọc Được Tus Của Alien Game Về Việc Ảnh Sẽ Chuyển Sang Game Khác Và Nhất Là Thông Báo Với Mọi Người Mini Camp Sẽ Không Có Bất Kì Ai Sẽ Dạy Bằng Tiếng Việt Và Mini Camp Sẽ Rất Ít Tổ Chức. Khi Đọc Xong Tus Này Làm Tôi Rất Sốc Và Cảm Thấy Rất Chán Nản.
Tạm Gác Lại Chuyện Buồn Ấy, Tôi Bắt Đầu Tham Gia Sự Kiện Build Map Lớn Của Mini World Là Mini Arena. Nhưng Trước Khi Cảm Thấy Rất Lo Lắng Vì Sự Kiện Này Mình Sẽ Không Ai Hướng Dẫn Và Cũng Chẳng Có Ai Để Hỏi Đáp Vì Thế Khi Build Map Tôi Cảm Thấy Lúng Túng, Chả Biết Làm Gì Cả Trong 2 Tuần Đầu Làm Map. ",Yuka Junn
140,ĐỘNG LỰC!,"Nhờ Động Lực Từ Mùa 9 Và Thất Bại Ở Mùa 10, Tôi Đến Với Giải Mini Camp 11 Với 1 Tâm Thế Rất Bình Thản Hơn Mọi Lần, Không Lo Lắng Hay Thiếu Tự Tin Cả. Khi Biết Được Chủ Đề Mùa 11 Sẽ PVP Làm Tôi Càng Tự Tin Hơn Vì Đây Là Chủ Đề Map Sở Trường Của Tôi. Vì Thế Trong Mùa Đó Tôi Đã Đạt Được Giải """" Tiến Bộ Nhất """" Với Tiền Thưởng 15$ Làm Tôi Vui Không Thể Diễn Tả Và Được Mọi Người Biết Đến Rộng Rãi Hơn Làm Tôi Cảm Thấy Thật Tự Hào Về Mình.",Yuka Junn
141,NHỮNG GIẢI THƯỞNG ĐẦU TIÊN,"Trong Nhiều Lần Tham Dự Mini Camp Nhưng Tôi Vẫn Chưa Có Con Map Nào Đạt Giải Hết Cả. Măc Dù Vậy Nhưng Tôi Vẫn Không Nản Lòng Mà Vẫn Tiếp Tục Tham Gia.
Và Ông Trời Cũng Không Phụ Lòng Sự Cố Gắng Của 1 Ai. Tôi Đã Đạt Được Giải Khuyến Khích Của Mùa Mini Camp 9 Làm Tôi Cảm Thấy Rất Vui Sướng Và Có Thêm Động Tham Gia Nhiều Mùa Nữa.
Nhờ Động Lực Từ Mùa 9 Và Thất Bại Ở Mùa 10, Tôi Đến Với Giải Mini Camp 11 Với 1 Tâm Thế Rất Bình Thản Hơn Mọi Lần, Không Lo Lắng Hay Thiếu Tự Tin Cả. Khi Biết Được Chủ Đề Mùa 11 Sẽ PVP Làm Tôi Càng Tự Tin Hơn Vì Đây Là Chủ Đề Map Sở Trường Của Tôi. Vì Thế Trong Mùa Đó Tôi Đã Đạt Được Giải """" Tiến Bộ Nhất """" Với Tiền Thưởng 15$ Làm Tôi Vui Không Thể Diễn Tả Và Được Mọi Người Biết Đến Rộng Rãi Hơn Làm Tôi Cảm Thấy Thật Tự Hào Về Mình.",Yuka Junn
142,DEVELOPER TÍCH CỰC! RÚT ĐẬU HEHE!," Vui Hơn Nữa Là Khi Map Đã Được 2 Người Sành Sỏi Đề Cử Và Kiếm Được Khá Nhiều Doanh Thu.
Sau 2 Tháng Làm Developer Thì Đã Đến Tháng Đầu Tiên Tôi Được Rút Đậu Và Lúc Ấy Trong Đầu Tôi Chỉ Nghĩ Là Chỉ Được Khoảng 500 Đậu Thôi. Nhưng Không Ngờ Khi Vào Xem Số Đậu Thì Mới Há Hốc Mồm Với Số Đầu Tôi Kiếm Được Là 30 Nghìn Đậu. Đó Là 1 Con Số Quá Lớn Với Tôi Thời Điểm Đó Nên Làm Cho Tôi Rất Vui.",Yuka Junn
143,DEVELOPER TÍCH CỰC!,"Khi Hoành Thành Xong Map Tôi Có Lên Youtube Để Xem Những Clip Về Developer Trong Mini World Và Tình Cờ Xem Được Clip Của Youtuber Meowpeo Đang Review Map Và Nhất Là Biết Được Meowpeo Là 1 Người Sành Sỏi Nổi Tiếng Trong Mini World Và Bất Kì Map Nào Được Meowpeo Review Dù Tệ Hay Tốt Vẫn Có Lượt Tải Khủng Nên Tôi Đã Không Chần Chừ Mà Bấm Đăng Kí Cho Meowpeo Và Tham Gia Nhóm """" Gia Tộc Meowpeo Không Péo """" Để PR Map.
Sau Khi Đã PR Map Xong Thì Cũng Đã Khuya Nên Đã Đi Ngủ. Sáng Sớm Hôm Sau, Khi Tôi Lên Youtube Để Xem Map Có Được Review Không. Lúc Ấy, Trong Đầu Tôi Nghĩ Map Sẽ Không Được Review Vì Tôi Chỉ Mới Đăng Vào Lúc Tối Thôi. Nhưng Vào Kênh Meowpeo Thì Tôi Đã Có 1 Bất Ngờ Lớn Là Map Tôi Đã Được Meowpeo Review Làm Tôi Rất Vui. ",Yuka Junn
144,TRỜ THÀNH DEVELOPER VÀ THÁNG ĐẬU ĐẦU TIÊN,"Sau Khi Map Đã Đạt Hơn 1000 Lượt Tải Thì Tôi Rất Bất Ngờ Khi Kiểm Tra Hộp Thư Vì Mình Đã Được Mini World Gửi Lời Mời Làm Developer, Lúc Này Tôi Vẫn Chưa Tin Vào Mắt Mình Vì Mình Đã Thực Hiện Được Nguyện Vọng Khi Comeback Game.
Khi Trở Thành Developer Thì Tôi Liền Vào Map Để Thử Mở Shop Bán Đồ. Sau Khi Mở Shop Xong Thì Tôi Bắt Đầu Tạo Tiếp 1 Con Map Mới Để Kiếm Thêm Doanh Thu. Vì Bây Giờ Những Con Map Cuộc Chiến Đào Vẫn Còn Độ Hot Nên Tôi Đã Quyết Định Thử Sức Mình Để Tạo Lại 1 Con Map Theo Chủ Đề Này Và Con Map Đẫ Được Hoành Thành Chỉ Sau 1 Tuần, Và Map Có Tên Là """" Cuộc Chiên Đào Cà Phê .",Yuka Junn
145,MINI CAMP VÀ DEVELOPER ^0^,"Bước Ngoặt Cuộc Đời Cũng Đã Đến, Ngày 16 Tháng 8 Năm 2020, Sự Kiên Build Map """" Mini Camp 1 """" Đã Ra Đời Với Đông Đảo Người Tham Gia Và Tôi Cũng Thế, Tôi Cũng Tham Gia Với Con Map """" Pk: Challenge Me """" Nhưng Tôi Lại Không Nộp Map Kịp Lúc Hết Hạn Nộp, Nhưng Trong Cái Xui Lại Có Cái Hên Là Map Tôi Bất Ngờ 1 Người Sành Sỏi Đề Cử Và Chỉ Sau 1 Đêm Số Lượt Tải Không Ngừng Tăng Từ 0 Lượt Tải Lên Con Số 900 Rồi 1000 Rồi Làm Tôi Rất Vui Vì Thời Điểm Đó, Số Lượt Tải Ấy Đã Quá Cao Với Tôi Vì Chưa Bao Giờ Tôi Thấy Map Tôi Được Nhiều Người Tải Đến Thế.",Yuka Junn
146,MINI CAMP VÀ DEVELOPER,"Cố Gắng Quên Đi Chuyện Buồn, Tôi Tiến Về Phía Trước Để Đến Năm Với 2020 Và Từ Đây Bước Ngoặt Cuộc Đời Tôi Từ Đây Chuẩn Bị Xuất Hiện.

Những Ngày Đầu Tháng 8 Năm 2020, Tôi Tình Cờ Biết Được Mini World Có 1 Group Trên Facebook Tên Là """" Cộng Đồng Mini World Việt Nam """" Và Biết Được Thì Ra Mini World Đã Có 1 Chức Năng Lập Trình Và Có Thể Kiếm Tiền Đó Là """" Developer """" Làm Trong Đầu Tôi Lé Lên 1 Ý Định Là Sẽ Comeback Game Để Trở Thành 1 Developer Rồi Làm Giàu Từ Việc Lập Trình Map Nên Tôi Đã Quyết Định Đến Gặp Bố Mẹ Để Xin Comeback Game Và Bố Mẹ Tôi Đã Đồng Ý Nhưng Với Điều Kiện Là Phải Học Tập Tốt Và Vì Do Nghe Là Game Lập Trình Nên Đồng Ý Cho Tôi Chơi.",Yuka Junn
147,CHÔNG GAI VÀ BƯỚC NGOẶT CUÔC ĐỜI,"Trong 1 Hôm Nọ Vào Cuối Năm 2019, Bố Mẹ Tôi Đã Quyết Định Bắt Buộc Tôi Nghỉ Game Nên Tôi Liền Phản Bác Lại Để Được Tiếp Chơi Là: """" Thành Tích Học Trên Lớp Của Con Vẫn Tốt Mà Bố Mẹ, Con Đâu Bao Giờ Lơ Là Việc Học Đâu Ạ """", Nghe Thế Bố Mẹ Nói Rằng: """" Mặc Dù Bố Mẹ Biết Thành Tích Học Tập Của Con Vẫn Tốt Và Con Luôn Chăm Chỉ Học Nhưng Bố Mẹ Sợ Con Chơi Game Nhiều Sẽ Bị Nghiện Và Không Chịu Học Tập """", Khi Nghe Xong Tôi Chỉ Nói Được 1 Từ """" Dạ """" Và Buồn Bã Bỏ Đi.
Trong Năm 2019 Đó, Đã Có Quá Nhiều Công Chuyện Buồn Xảy Ra Với Tôi. Từ Việc Bạn Nghỉ Chuyển Sang Game Khác Còn Bây Giờ Thì Lại Là Bị Bắt Buộc Bỏ Game Khiến Tôi Đã Buồn Nay Lại Càng Buồn Thêm.",Yuka Junn
148,DEV - TÔI VÀ CÔ ĐƠN (II),"Mặc Dù Còn Khá Lúng Túng Trong Chế Độ Dev Nhưng Sau 1 Tuần, Tôi Đã Có Thể Hiểu Ra Được Cách Sử Dụng Các Công Cụ Trong Chế Độ Này Và Dùng Nó 1 Cách Thành Thạo Nhưng Tại Thời Điểm Đó Tôi Lại Chẵng Có Tí Conten Nào Để Làm Map Hết Cả.
Cho Đến Khi Xu Hướng Map """" Cuộc Chiến Đào """" Bắt Đầu Nổi Lên Thì Tôi Suy Nghĩ Về Mình Có Nên Làm Map Theo Xu Hướng Này Không Và Tôi Đã Thực Hiện Đều Đó, Tôi Đã Hoành Thành Con Map Trong 1 Tháng.
Map Khi Tải Lên Trong 1 Tuần, Map Tôi Vẫn Chỉ 50 Lượt Tải Nhưng Tôi Vẫn Không Nản Chí Mà Tạo Vài Map Nữa Những Cũng Chẳng Map Nào Thành Công Làm Tôi Cũng Khá Buồn.",Yuka Junn
149,DEV - TÔI VÀ CÔ ĐƠN (I),"Sau Cú Sốc Tôi Cảm Thấy Cô Đơn Khi Có Ai Chơi Cùng Nhưng Bỗng Nhiên Trong Đầu Tôi Lại Nhớ Đến 1 Chế Độ Khác Trong Mini World Mà Mình Còn Mọi Người Vẫn Chưa Trải Nghiệm Là """" Chế Độ Dev """" Nên Tôi Đã Không Quyết Định Từ Bỏ Game Để Chơi Cùng Mọi Người Mà Bỏ Qua Buồn Bã Để Thử Sức Với Chế Độ Dev.",Yuka Junn
150,Chia ly trong game ...,"Sau Chia Tay, Tôi Rất Buồn Bã Và Chạy Đến Chỗ Đám Bạn Để Hỏi Rõ Sự Việc, Mọi Người Nói Rằng Họ Đã Bị Mất Acc Và Không Vào Lại Được Nên Họ Đã Quyết Định Chuyển Sang 1 Tựa Game Khác Có Tính Bảo Mật Cao Hơn Và Thế Là Từ Đó Tôi Và Mọi Người Đường Ai Nấy Đi, Không Chơi Game Chung Được Nữa.",Yuka Junn
151,Chia ly trong game ...,"Một Ngày Buồn Của Năm 2019, Ngày Hôm Mưa Khá Nhiều, Tôi Bị Đã Nhận 1 Tin Cực Sốc Và Cực Buồn Là Những Người Bạn Luôn Sát Cạnh Cùng Tôi Chơi Mini World, Bây Giờ Lại Đột Ngột Bỏ Game Để Chuyển Sang Game Khác.",Yuka Junn
152,Mini World Và Những Hồi Ức,"Nhưng 1 Món Ăn Nào Ăn Hoài Cũng Chán Và Bọn Tôi Cũng Như Vậy, Cứ Chơi Sinh Tồn Rồi Cũng Chán Và Trong Sảnh Liên Thông Lúc Bấy Giờ Đã Xuất Hiện Vài Con Map PVP Bắn Súng, Parkour Siêu Hay Nên Bọn Tôi Đã Quyết Định Cùng Nhau Chơi Những Mini Game Có Trong Sảnh Liên Thông.",Yuka Junn
153,Mini World Và Những Hồi Ức,"Chúng Tôi Chơi Sinh Tồn Với Nhau Rất Vui, Nhưng Vui Nhất Là Khi Chế Tạo Thành Cổng Địa Ngục Rồi Cùng Nhau Đánh Rồng Và Chế Tạo Thành Công Tàu Vũ Trụ Rồi Cùng Nhau Đánh Boss Mặt Trăng.",Yuka Junn
154,SKILL BÁM TƯỜNG VÀ SINH TỒN & TÔi,"Khi Vào Game Tôi Liền Thử Ngay Skill Bám Tường Vừa Xem Đươc Trên Clip, Mặc Dù Đã Rất Cố Gắng Nhưng Vẫn Không Thực Hiện Được Skill Đó Làm Tôi Rất Nản Chí Nên Tôi Đã Thử Qua 1 Trò Khác Của Mini World. Đó Chính Là """" Chế Độ Sinh Tồn """", Khi Còn Lúc Đầu Chơi Tôi Còn Khá Lúng Túng Trong Việc Tìm Kiếm Đồ Và Những Mục Tiêu Cần Làm Trong Chế Độ Này Nên Tôi Quyết Định Gia Nhập Nhóm Chơi Mini World Sinh Tồn Của Lớp Để Trao Dồi Thêm Kiến Thức Game Và Để Có Bạn Bè Cùng Chơi.",Yuka Junn
155,LẦN ĐẦU TIÊN ĐẾN GAME MINI WORLD,"Sau Khi Thi Xong Và Đậu Vào Lớp Chuyên, Tôi Được Bố Mẹ Mua Cho 1 Chiếc Laptop Mới Để Học Tập Tốt Hơn Và Giải Trí Sau Khi Học, Trong 1 Lần Lướt Youtube, Tôi Tình Cờ Xem Được Video """" Siro Hướng Dẫn Bám Tường Spider Skill """", Thấy Lạ Nên Tôi Bấm Vào Xem Thử, Khi Xem Thì Tôi Mới Biết Tựa Game Trong Video Là Tựa Game Mini World Mà Lúc Trước Bạn Tôi Thường Giới Thiệu Cho Tôi. Sau Khi Xem Xong, Tôi Cảm Thấy Game Khá Hay Có Đồ Họa Khá Đep Và Dễ Thương Và Nhất Là Có Skill Bám Tường Siêu Mới Lạ Nên Tôi Quyết Định Tải Game Về Chơi Thử.",Yuka Junn
156,Viết Văn,"Tôi Còn Nhớ Rất Rõ Ngày Hôm Ấy ( Năm 2018 ) , Khi Đang Nói Chuyện Với Đứa Bạn Cùng Bàn Thì Được Rủ Chơi Mini World Cùng Nó, Lúc Đấy Tôi Không Đồng Ý Vì Lúc Ấy Tôi Bận Học Rất Nhiều Để Chuẩn Bị Thi Tuyển Vào Lớp Chuyên Nên Từ Hôm Ấy Nó Cũng Còn Rủ Tôi Chơi Nữa Mà Rủ Những Đứa Khác Cùng Chơi.",Yuka Junn
157,Kỉ Niệm Cùng Mini World,"Một hành trình mới lại bắt đầu. Tạm thời đến bây giờ, Qpon vẫn chưa cập nhật được nhiều thứ sau khi comeback game sau 2 tuần nghỉ, nhưng những kỉ niệm trên, thật sự là rất nhiều điều quý giá với mình. Thậm chỉ Qpon còn săn được 1 anhzai xịn xò 2k6:))) ( BoQponLaSo1TgNha ). Sau bao nhiêu kỉ niệm như vậy, Qpon chỉ muốn gửi đến những người bạn của mình 1 lời chúc chân thành nhất cùng lời cảm ơn thật lòng.",VanThao Dthuong
158,Kỉ Niệm Cùng Mini World,"Từ sinh tồn đến đối chiến, parkour sang sáng tạo, không nơi đâu là chưa có dấu chân của Qpon. Quan hệ lúc ấy của bản thân vẫn chưa khá rộng, nhưng vẫn rất thích nhận mọi ánh mặt từ phía dư luận. Đã từng góp mặt trong một vài team, Qpon chỉ thật sự đặt tâm huyết vào 1 team, "" RoyaℓTeam "". Thật ra nhờ boss là chủ nợ nên Qpon mới được add vào=)) sau đó thì ở đển giờ. Nhưng thời gian mà, đâu có ai ở mãi với mình được. Dần dần rồi bao nhiêu bạn bè cũng lần lượt bỏ game. Tuy buồn, nhưng tự bản thân biết rằng không phải chỉ có họ mới làm cho mình tươi cười được.",VanThao Dthuong
159,Kỉ Niệm Cùng Mini World,"Lúc mới đăng nhập vào game, thật sự giảm giác rất bình thường, cái tên thời cỗ lỗ sĩ ấy vẫn còn trong cuốn nhật kí bám bụi bao năm trên kệ tủ, cái tên :"" SincerCherry"". Là 1 cô bé nini hòa đồng, Qpon sẵn sàng giúp đỡ mọi người và làm hết sức của mình. Để rồi số lượng bạn bè addfriend của Qpon đã nâng lên đến 120 người. Sau đó, Qpon từ bỏ cái tên cũ ấy, và bước tiếp với cái tên mà có lẽ tự bản thân mình nghĩ sẽ thật hay hò vào lúc bấy giờ : "" Bé bánh cam:3 "". Lúc ấy MiniWorld vẫn còn dùng xu để đổi tên cơ, với 1 con người mộc mạc giản dị, Qpon lúc ấy vẫn chưa biết nạp là gì. Lúc ấy chính thức 1 thời huy hoàng của Qpon lên ngôi!",VanThao Dthuong
160,Kỉ Niệm Cùng Mini World,"Vào một buổi hè oi bức của năm 2019, có lẽ lúc ấy, MiniWorld là một tựa game on top khá nổi trên mxh lúc bấy giờ. Tò mò, Qpon sẵn sàng bỏ bộ nhớ ra và rước em game ấy về máy của mình. Và đó cũng là lúc mà những kĩ niệm chứa chan đẹp đẽ ấy luôn in dấu sâu sắc trong tâm hồn của tớ.",VanThao Dthuong
161,Câu chuyện riêng tôi,Mong rằng một ngày không xa tôi và những người bạn thân thiết trong game sẽ cùng nhau lập lại box chat và tạo ra nhiều kỉ niệm mới,Mạc Hiên
162,Câu chuyện riêng tôi,"Đến năm 2021,tôi và một người bạn khá thân thiết đã cùng nhau lập đôla clan sau này đổi thành Róe Clan là một box chat nhỏ nhưng chan chứa rất nhiều kỉ niệm[Nhớ]Sau một khoảng thời gian thì chiếc box này của chúng tôi cũng giải tán vì một số lý do nhỏ.Đến tháng tư cùng năm tôi và đứa bạn cùng nhau lập Power Squat Clan^^tại đây chúng tôi đã cùng nhau có những kỉ niệm rất đáng nhớ nó gắn bó những con người xa lạ thành người một nhà, thành người anh em thân thiết.Nhưng cuộc vui nào cũng phải tàn  chiếc box nhỏ nhắn của chúng tôi đã tan sau hơn 3 tháng[Con người ai cũng có lối đi riêng và các bạn cũng vậy]",Mạc Hiên
163,Câu chuyện riêng tôi,"Những người bạn thân thương tôi chủ yếu gặp ở Map Đám Cưới huyền thoại,Map Hát,Simkai thật sự là tôi không nghĩ tôi có thể chơi thân với những người bạn đó lâu vậy đâu:D Cảm ơn game đã gắn bó chúng tôi lại.",Mạc Hiên
164,Câu chuyện riêng tôi,"Đối với tôi, thời gian đầu mới chơi game là một khoảng thời gian quý báu một con bé Tiểu học chỉ biết sinh tồn cũng chỉ vì vậy mà những cái nick đầu đời của tôi đầu bay màu.Cuối năm 2019 tôi tạo 1 chiếc nick mới và xác định đó là chiếc nick sẽ gắn bó lâu dài với tôi trong những năm tiếp theo gắn bó với tựa game này.Và cũng từ đó tôi đã bắt đầu nạp để làm đẹp nick tôi cũng như ủng hộ cái game đã gắn bó với tôi suốt thời gian qua><.Cũng từ đây tôi bắt đầu kết giao gặp và làm quen với những người bạn mới họ đều là những con người thân thiện và dễ tính.",Mạc Hiên
165,Câu chuyện riêng tôi,Nếu như nói về kỉ niệm thì đối với tôi nhiều lắm.Từ cái lúc bỡ ngỡ khi biết đến game cho tới hiện tại cũng là một thời gian khá dài chắc cũng tầm 4-5 năm gì đó lúc đó game còn chưa phát triển cơ.Hồi đó mini world bị kêu nhái MC nhiều lắm dù đồ họa các game không liên quan lắm bên mini world dễ thương hơn^^.,Mạc Hiên
166,LẦN ĐẦU CHƠI LIÊN THÔNG?!,"Vì sự xuất hiện càng ngày càng nhiều các player, tui và chị tui đã bỏ nhà đi!!!gom toàn bộ đồ có giá trị như sắt, vàng, đá lam, giáp .... mà đi biệt xứ, tui và chị tui đã đi từ vùng băng tuyết lạnh giá, rét buốt tới nơi cái nắng chói chang khắc nghiệt đến độ mưa còn không có như sa mạc. Thậm chí tui và chị tui còn phát hiện dưới giếng của bác thợ rèn có vàng! phát hiện được nhà của thương nhân ở vùng tuyết! Đi từ năm châu bốn bể! Đi từ nơi này sang nơi khác! Đi tha phương biệt xứ ! Đi từ rừng thông tới rừng đỏ! Đi băng rừng lội suối, kể sao xiết! .....Dù chuyến phiêu lưu đã cho tui và chị tui nhiều điều thú vị nhưng vẫn có một câu hỏi là :""""tại sao mấy người kia ( player )dí dai quá vậy?????""""""",Đạo Sĩ Phô Mai
167,LẦN ĐẦU CHƠI LIÊN THÔNG?!,"Lần tui chơi liên thông là một tình huống bất ngờ, vì lúc đó mới chơi nên việc ko biết điều chỉnh ngôn ngữ là chuyện bình thường, và tui cũng vậy!KO BIẾT ĐIỀU CHỈNH :_) và chị tui đã bấm nhầm vô nút mở phòng trong vô tình, tui sẽ kể lại câu chuyện đó sau đây:
*Đang coi chị chơi game
Lan Dí Dỏm đã vào phòng
*Vẫn không biết chuyện gì đã xảy ra
* Chị tui đang trong rừng đỏ kiếm đồ thì có thứ gì đó lao ra từ bụi cây!
Bộ quần áo nữ mua = đậu quen thuộc, ko chỉnh màu sắc gì nổi bật, tui và chị tui liền lập tức giật mình. Tui vẫn còn nhớ cái khoảng khắc đó, dù ko bị kẹt màn hình nhưng chị tui đang đi giật lùi trong vô thức tới độ lọt xuống hồ. Lúc đó việc nhìn thấy một người chơi là một điều gì đó cực kì bất ngờ. Vì sự xuất hiện càng ngày càng nhiều các player, tui và chị tui đã bỏ nhà đi!!!",Đạo Sĩ Phô Mai
168,NHÀ TUI BỊ CHÁY! hIUhIU!,"Lúc đó căn nhà như đang bị NGỌN LỬA BAO TRÙM! và nó có vẻ càng ngày càng lang rộng hơn! Tức tốc, tui liên lấy xô nước ra dập lửa, nhưng vẫn ko ăn thua gì cho lắm, tui đã kết hợp giữa dập lửa = nước và tay thì ngọn lửa đang tàn dần, căn nhà đầu tiên của tui XÂY và cũng là căn đầu tiên bị CHÁY trong mini world của tui!
Nhưng còn con gấu trúc? tui liên quay đi kiếm nó thì phát hiện ...... nó đang ngồi kế bên cây trúc sau nhà :_) Nhìn cảnh tượng đó, tui như suy sụp, suy sụp, tuyệt vọng và nhìn nó đang dửng dưng ăn trúc ngon lành mà ko hiểu làm sao trong một trận hỏa hoạn như thế, NÓ VẪN CÒN SỐNG!=) thế đấy, như tiêu đề: NHÀ TÔI BỊ CHÁY VÌ MỘT NGUYÊN DO ....... CON GẤU TRÚC!",Đạo Sĩ Phô Mai
