接口ID,马来语,马来语,马来语,马来语,马来语,马来语,马来语
110022,Pengurusan beg galas,addItem,"Backpack:addItem(playerid, itemid, num)","playerid:number, itemid:number, num:number","ErrorCode.OK, successNum:numberBilangan berjaya ditambahkan",Tambahkan alat peraga ke beg galas,"local result = Backpack:addItem(playerid, itemid, num)"
110023,Pengurusan beg galas,discardItem,"Backpack:discardItem(playerid, gridid, num)","playerid:number, gridid:number, num:number",ErrorCode.OK,Buang alat beg galas,"local result = Backpack:discardItem(playerid, gridid, num)"
110024,Pengurusan beg galas,getGridNum,"Backpack:getGridNum(playerid, gridid)","playerid:number, gridid:number",ErrorCode.OK,Dapatkan jumlah alat peraga dalam kotak beg galas,"local result = Backpack:getGridNum(playerid, gridid)"
120001,Pengurusan peta mini,newShape,"MapMark:newShape(type, isshow, r, g, b)","type:number, isshow:boolean, r:number, g:number, b:number","ErrorCode.OK, shapeid:number","Tambahkan bentuk baru (garis, segi empat tepat, bulatan)","local result = MapMark:newShape(type, isshow, r, g, b)"
120002,Pengurusan peta mini,deleteShape,MapMark:deleteShape(shapeid),shapeid:number,ErrorCode.OK,Padamkan satu bentuk,local result = MapMark:deleteShape(shapeid)
120003,Pengurusan peta mini,setShapeColor,"MapMark:setShapeColor(shapeid, r, g, b)","shapeid:number, r:number, g:number, b:number",ErrorCode.OK,Tetapkan warna dan bentuk,"local result = MapMark:setShapeColor(shapeid, r, g, b)"
120004,Pengurusan peta mini,showShape,"MapMark:showShape(shapeid, showflag)","shapeid:number, showflag:boolean",ErrorCode.OK,Tetapkan bentuk untuk ditunjukkan atau disembunyikan,"local result = MapMark:showShape(shapeid, showflag)"
120005,Pengurusan peta mini,updateLine,"MapMark:updateLine(shapeid, sx, sz, ex, ez)","shapeid:number, sx:number, sz:number, ex:number, ez:number",ErrorCode.OK,"Kemas kini bentuk (bentuk garis), dan masukkan koordinat permulaan dan akhir","local result = MapMark:updateLine(shapeid, sx, sz, ex, ez)"
120006,Pengurusan peta mini,updateRectangle,"MapMark:updateRectangle(shapeid, sx, sz, w, h)","shapeid:number, sx:number, sz:number, w:number, h:number",ErrorCode.OK,"Kemas kini bentuk (segi empat tepat), masukkan koordinat dan ukuran permulaan","local result = MapMark:updateRectangle(shapeid, sx, sz, w, h)"
120007,Pengurusan peta mini,updateCircle,"MapMark:updateCircle(shapeid, cx, cz, r)","shapeid:number, cx:number, cz:number, r:number",ErrorCode.OK,"Kemas kini bentuk (bulatan), lalui koordinat tengah dan jejari","local result = MapMark:updateCircle(shapeid, cx, cz, r)"
130001,Pengurusan tempat kelahiran,getSpawnPoint,Spawnport:getSpawnPoint(),nil,"ErrorCode.OK, x:number, y:number, z:number",Dapatkan kedudukan tempat kelahiran,local result = Spawnport:getSpawnPoint()
130002,Pengurusan tempat kelahiran,getChunkValidSpawnPos,"Spawnport:getChunkValidSpawnPos(x, y, z)","x:number, y:number, z:number","ErrorCode.OK, x:number, y:number, z:number","Dapatkan blok dapat digunakan sebagai lokasi tempat kelahiran, sebarang kedudukan blok di blok masuk","local result = Spawnport:getChunkValidSpawnPos(x, y, z)"
