皮肤ID,皮肤名称,皮肤模型,贴图ID,头像,特效类型1[1=脚印，2=飞行，3=周身],特效1命名,特效类型2[1=脚印，2=飞行，3=周身],特效2命名,商店特效,购买天数1,钱类型1/1道具可用迷你币代替2只迷你币3只道具4迷你豆5道具可用迷你豆代替6仅激活码解锁,消耗道具ID1,价格1,购买天数2,钱类型2/1道具可用迷你币代替2只迷你币3只道具4迷你豆5道具可用迷你豆代替,消耗道具ID2,价格2,购买天数3,钱类型3/1道具可用迷你币代替2只迷你币3只道具4迷你豆5道具可用迷你豆代替,消耗道具ID3,价格3,皮肤描述,购买提示类型（1前往家园和取消 2只有确定）,购买提示,标签（1限时 2折扣 3特惠 4典藏）,限时开始,限时结束,开放渠道ID（-1全关，0全开）,音效,高度,宽度,厚度,受击高度,受击宽度,受击厚度,特别效果类型1（1=变形，2=互动动作，3=变色，4=语音试听，5=专属动作，6=幻化，7=功能说明，8=召唤，9=变身，10=天赋）,特别效果1图标,特别效果1描述,特别效果类型2（1=变形，2=互动动作，3=变色，4=语音试听，5=专属动作，6=幻化，7=功能说明，8=召唤，9=变身，10=天赋）,特别效果2图标,特别效果2描述,特别效果类型3（1=变形，2=互动动作，3=变色，4=语音试听，5=专属动作，6=幻化，7=功能说明，8=召唤，9=变身，10=天赋）,特别效果3图标,特别效果3描述,特别效果类型4（1=变形，2=互动动作，3=变色，4=语音试听，5=专属动作，6=幻化，7=功能说明，8=召唤，9=变身，10=天赋）,特别效果4图标,特别效果4描述,特别效果类型5（1=变形，2=互动动作，3=变色，4=语音试听，5=专属动作，6=幻化，7=功能说明，8=召唤，9=变身，10=天赋）,特别效果5图标,特别效果5描述,特别效果类型6（1=变形，2=互动动作，3=变色，4=语音试听，5=专属动作，6=幻化，7=功能说明，8=召唤，9=变身，10=天赋）,特别效果6图标,特别效果6描述,背景图,背景动画文件,背景动画文件,动态商城图标（已废弃，改为读SkinCostDef装扮服务器表）,变形类型[不填=不显示变形按钮，1=变身为坐骑（且优先显示装扮），2=变身为装扮2（且优先显示装扮1），3=变身为坐骑（且优先显示坐骑）],变形关联（填入坐骑、装扮ID）,小窗logo,小窗尺寸(正常不填为2.0),野人举起高度,AR动捕支持（1支持，空则不支持）,备注标准人形骨骼（1为支持，0为不支持）,换装ID,头像框：只能永久,"表情动作（100140,100108）",解锁道具,装扮图片,互动关联,"多重换装ID(index_skinid,index表示对应的第几条特性,skinid表示皮肤id,有多个变色效果时用逗号隔开)",多重换装前置id,切换顺序,是否显示（1=不显示）,语音范围（半径）,出场语音,间隔时间1,初次判断时间1,休闲语音,间隔时间2,初次判断时间2,死亡语音,间隔时间3,社交语音,间隔时间4,初次判断时间3,光照条件,幻化特效,幻化准备时间,功能说明(1:幻化),动作播放顺序,召唤ID,变身条件（1=水环境之外的环境，2=水环境）,变身特效,变身时间,天赋buff,跳转ID（全局跳转id_定制id）,左侧边栏背景色,可搭配部件类型,列表模型缩放比|y轴位移
197,帝皇侠,140203,,332,3,140203_2,1,140203_3,140203_1,,,,,,,,,-1,2,,999,无限宇宙最强铠甲，乃铠甲中凌驾于王者之上的皇帝，是明界的最高统治者，天道化身，主宰一切。且拥有第一只铠兽——光之帝皇战龙。,2,,,,,999,skin197,180,60,60,220,120,120,,bodyeffcet,身体特效：游戏内可实现变形功能，切换形态！,,headicon,头像：解锁头像。,,footprint,行走足迹：走过的地方留下帝皇图腾脚印。,1,changeicon,#cda5b0a变形：点击左侧变形按钮，可切换普通/终极形态！#n,,,,,,,dtxx_beijingtu54,,0,,1,4570,,,180,,,,,,27079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,虎心玉,140204,,333,3,140204_2,1,140204_3,140204_1,,,,,,,,,-1,2,,999,"是拳拳到肉的武功高手，也是闪闪发光的宝物收藏家！
大到元宝铜钱，小到贝壳玻璃，都是我的心头好。
想让我亮拳头？那么……先给我看看你的诚意吧！",2,,,,,999,skin198,180,60,60,220,120,120,,headicon,头像：解锁头像。,,footprint,行走足迹：走过的地方留下钱袋脚印。,,,,,,,,,,,,,dtxx_beijingtu55,,0,,,,,,180,,,,,,27080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,虎啸丰,140205,,334,3,140205_2,1,140205_3,140205_1,,,,,,,,,-1,2,,999,拳风划破空气，热血激荡胸怀。 我本英雄豪杰，何惧自我挑战！ 勾勾手指，万千招式，都放马过来！ ,2,,,,,999,skin199,180,60,60,220,120,120,,headicon,头像：解锁头像。,,footprint,行走足迹：走过的地方留下虎纹脚印。,,,,,,,,,,,,,dtxx_beijingtu55,,0,,,,,,180,,,,,,27081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,艾菲莉,140206,,335,3,140206_2,1,140206_3,140206_1,,,,,,,,,-1,2,,999,淌过小溪，穿过山林， 听鸟儿歌唱，闻野花芬芳。 若有蝴蝶误闯我的兜网， 别怕！我来将你释放。 ,2,,,,,999,skin200,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着粉红色蝴蝶！,,,,,,,,,,,,,,,0,,,,,,180,,,,,,27082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,泰林,140207,,336,3,140207_2,1,140207_3,140207_1,,,,,,,,,-1,2,,999,真相隐于丛林，奥秘栖于山岗。 都说我的学识依靠聪明大脑， 但有谁知道，智慧只因实践而闪耀！ ,2,,,,,999,skin201,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着橙色蝴蝶！,,,,,,,,,,,,,,,0,,,,,,180,,,,,,27083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,芙洛丝,140209,,337,3,140209_2,1,140209_3,140209_1,,,,,,,,,-1,2,,999,云朵般蓬松的头发，宝石般闪亮的眼睛，蝶翅般鲜艳的发卡…… 都不及，棉花糖一般甜美的你！ 来吧！与我在这轻盈柔软的云海中，纵情欢乐吧！ ,2,,,,,999,skin202,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着棉花糖！,,skill,#cda5b0a仅限筑梦礼盒产出#n,,,,,,,,,,dtxx_beijingtu56,,0,,,,,,180,,,,,,27084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,霓裳物语,140208,,338,3,140208_2,1,140208_3,140208_1,,,,,,,,,-1,2,,999,,2,,,,,999,skin203,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着紫色蝴蝶！,,,,,,,,,,,,,dtxx_beijingtu57,,0,,,,,,180,,,"59,1",33056,100108,27085,Pskin165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,炎龙侠,140211,,339,3,140211_2,1,140211_3,140211_1,,,,,,,,,-1,2,,999,"五行中属火，五位战士中能力最平均，亦是最有潜力的一人。
五套光影铠甲中唯一能让两人同时进行召唤的铠甲，也是能力消耗速度最慢的铠甲。",2,,,,,999,skin204,180,60,60,220,120,120,,headicon,头像：解锁头像。,,footprint,行走足迹：走过的地方留下炎龙图腾脚印。,,,,,,,,,,,,,dtxx_beijingtu58,,0,,,,,,180,,,,,,27086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,狂欢节女王,140215,,340,3,140215_2,1,140215_3,140215_1,,,,,,,,,-1,2,,999,无数钻石和亮片镶成的舞裙，在灿烂的阳光下金光闪烁；狂欢节女王神采飞扬，随着舞曲，边歌边舞。不论是舞者还是观者，都在狂欢节的歌舞中忘却了一切烦恼。,2,,,,,999,skin205,180,60,60,220,120,120,,headicon,头像：解锁头像。,,footprint,行走足迹：走过的地方会留下彩带脚印。,,,,,,,,,,,,,,,0,,,,,,180,,,,,,27087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,竹墩墩,140224,,341,3,,1,140224_3,140224_1,,,,,,,,,-1,2,,999,黑色和白色才是绝配，不过彩色的你和绿色的竹子一样让我喜欢！别误会，我可不会吃掉你哟～,2,,,,,999,skin206,180,60,60,220,120,120,,headicon,头像：解锁头像。,,,,,,,,,,,,,,,,,,0,,,,,,180,,,,,,27088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,棒球王子,140214,,342,3,140214_2,1,140214_3,140214_1,,,,,,,,,-1,2,,999,"棒球场上，’击球手‘，’投手‘2个位置都出神入化。
人称”史上最强双刀流“。",2,,,,,999,skin207,180,60,60,220,120,120,,headicon,头像：解锁头像。,,footprint,行走足迹：走过的地方会留下棒球脚印。,,,,,,,,,,,,,,,0,,,,,,180,,,,,,27089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,小海侠莫塔,140216,,343,3,140216_2,1,140216_3,140216_1,,,,,,,,,-1,2,,999,"乘风自在游泳，潜海深处飞行。
我是海洋里最会飞的，也是天空中游最快的。
若要探寻这天水间的消息，找我就对了！",2,,,,,999,skin208,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上会掉落泡泡！,,skill,#cda5b0a仅限筑梦礼盒产出#n,,,,,,,,,,,,0,,,,,,180,,,,,,27090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,花火,140221,,344,3,140221_2,1,140221_3,140221_1,,,,,,,,,-1,2,,999,"金鱼浴衣苹果糖，风铃炒面香，
春日祭典就要到，烟火声声响昼宵。
快看，是烟花！和我一起许愿吧！",2,,,,,999,skin209,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着粉色花朵！,,,,,,,,,,,,,,,0,,,,,,180,,,,,,27091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,魔闪闪,140218,,345,3,140218_2,1,140218_3,140218_1,,,,,,,,,-1,2,,999,"演绎魔术戏法，守护愿望发芽。
六芒星啊，请持续闪耀吧，
众人之祈愿，我借来星辰回答！",2,,,,,999,skin210,180,60,60,220,120,120,,headicon,头像：解锁头像。,,footprint,行走足迹：走过的地方留下六角星脚印。,,,,,,,,,,,,,,,0,,,,,,180,,,,,,27092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,烽灵,140217,,346,3,140217_2,1,140217_3,140217_1,,,,,,,,,-1,2,,999,"战鼓激昂，我的敌人身在何方，
烽火连天，守护家园不畏死伤。
怒气化作战意，信仰常驻我心，盘旋巨龙终会再次降临！",2,解锁道具可通过活动获得,,,,999,skin211,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着火花！,,,,,,,,,,,,,,,0,,,,,,180,,,,,,27093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,陶梦蝶,140223,,347,3,140223_2,1,140223_3,140223_1,,,,,,,,,-1,2,,999,"武能驰马试剑，文能作画吟诗。
看着吧，本小姐出马，无人能敌！",2,,,,,999,skin212,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着粉色花朵！,,,,,,,,,,,,,,,0,,,,,,180,,,,,,27094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,足球队长,140210,,348,3,,1,140210_3,140210_1,,,,,,,,,-1,2,,999,曾经赤脚穿梭在街头踢球的那个男孩，如今已经成长为绿茵场上一只势不可挡的雄鹰，带球过人、不断超越、奋力射门，创造一次又一次的神话，带领着他的团队获得一次又一次的胜利,2,,,,,999,skin213,180,60,60,220,120,120,,headicon,头像：解锁头像。,,,,,,,,,,,,,,,,,,0,,,,,,180,,,,,,27095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,雪莉,140222,,349,3,140222_2,1,140222_3,140222_1,,,,,,,,,-1,2,,999,"千载风雪，吹不冷温暖的心。
雪人为伴，也是一种幸运。
而我的愿望，就是冰雪不要融化，朋友都能归家。",2,,,,,999,skin214,180,60,60,220,120,120,,headicon,头像：解锁头像。,,footprint,行走足迹：走过的地方留下雪花脚印。,,,,,,,,,,,,,,,0,,,,,,180,,,,,,27096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,阳光酷哥Budi,140225,,350,3,140225_2,1,,140225_1,,,,,,,,,-1,2,,999,"Budi生活在美丽的东南亚，时尚是他的代名词。
他最喜欢的事情就是和朋友一起骑着摩托车沿着海岸线吹着海风一路奔驰。",2,,,,,999,skin215,180,60,60,220,120,120,,headicon,头像：解锁头像。,,,,,,,,,,,,,,,,,,0,,,,,,180,,,,,,27097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,优雅小姐Dewi,140226,,351,3,140226_2,1,,140226_1,,,,,,,,,-1,2,,999,Dewi在闲暇时会跳起一支小时候外婆教给她的优雅舞蹈，那总会把她的思绪带回到遥远的童年：阳光、海风，还有棕榈树叶子的清新气味……,2,,,,,999,skin216,180,60,60,220,120,120,,headicon,头像：解锁头像。,,,,,,,,,,,,,,,,,,0,,,,,,180,,,,,,27098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,星月暗影使者,140227,,352,3,140227_2,1,,140227_1,,,,,,,,,-1,2,,999,"迅捷，精准，藏匿于暗影中的优雅舞者，敏捷的身手和深绿色的兜帽是她的标志。
人们不知道她的名字，只知道在星星和月亮的暗影之下，会出现一名制裁罪恶的神秘女侠……",2,,,,,999,skin217,180,60,60,220,120,120,,headicon,头像：解锁头像。,,,,,,,,,,,,,,,,,,0,,,,,,180,,,,,,27099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,莲花公主,140231,,353,3,140231_2,1,,140231_1,,,,,,,,,-1,2,,999,莲花公主的设计出自Miniworld越南服装设计大赛冠军作品，Lolita半身裙与短夹克结合了可爱与帅气，融合越南传统美学和现代元素。穿越古今，步步生莲，怀抱金穗，只为遇见你。,2,,,,,999,skin218,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着莲花！,,,,,,,,,,,,,,,0,,,,,,180,,,,,,27100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,梦魇之月女孩,140228,,354,3,140228_2,1,140228_3,140228_1,,,,,,,,,-1,2,,999,她是月亮公主的黑化形态，因与姐姐产生矛盾而成为梦魇的宿主。被和谐元素感化后，她选择重回姐姐身边共同统治王国。月亮公主其实很温柔，怕寂寞，此后一直在试图建立亲民的形象。,2,,,,,999,skin219,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着星光！,,,,,,,,,,,,,dtxx_beijingtu60,,0,,,,icon_54,,180,,,,,,27101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,格莉菲塔,140219,,355,3,140219_2,1,140219_3,140219_1,,,,,,,,,-1,2,,999,"街角墙壁显露我的踪迹，
涂鸦画面记载太多回忆。
别对我的艺术产生怀疑，
因为除了天赋，还有爱在传递。",2,,,,,999,skin220,180,60,60,220,120,120,,headicon,头像：解锁头像。,,footprint,行走足迹：走过的地方留下涂鸦脚印。,,,,,,,,,,,,,,,0,,,,,,180,,,,,,27102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,莱柯,140220,,356,3,140220_2,1,140220_3,140220_1,,,,,,,,,-1,2,,999,"从过去到现在，涂鸦是我热爱。
习惯用作品来表达，内心独白。
从现在到未来，涂鸦是我挚爱。
随手喷洒，就是街头艺术天才。",2,,,,,999,skin221,180,60,60,220,120,120,,headicon,头像：解锁头像。,,footprint,行走足迹：走过的地方留下涂鸦脚印。,,,,,,,,,,,,,,,0,,,,,,180,,,,,,27103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,觉醒者妮妮,140194,,357,3,140194_2,1,140194_3,140194_1,,,,,,,,,-1,2,,999,"鹰羽横击长空，权杖圈划领地。
守护部落安危，是我荣幸使命！",2,,,,,999,skin222,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着能量粒子！,,,,,,,,,,,,,dtxx_beijingtu61,,0,,,,,,180,,,,,,27104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,觉醒者卡卡,140193,,358,3,140193_2,1,140193_3,140193_1,,,,,,,,,-1,2,,999,"烛无火复灭，蜡尽光不在。
万般苦做难，雄心尚犹存？
纵使疾风起，少年亦独行！",2,,,,,999,skin223,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着能量粒子！,,,,,,,,,,,,,dtxx_beijingtu61,,0,,,,,,180,,,,,,27105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,银铃,140229,,359,3,140229_2,1,140229_3,140229_1,,,,,,,,,-1,2,,999,银铃凭借着聪慧的头脑和刻苦的研究，解决了山谷的毒铃兰现象，成为了魔法植物保育学者、人们心中白金铃兰的守护象征。现在，她正与花幽幽探索更多奥法星神奇植物的奥秘！,2,,,,,999,skin224,180,60,60,220,120,120,,headicon,头像：解锁头像。,,footprint,行走足迹：走过的地方留下白金铃兰脚印。,,,,,,,,,,,,,dtxx_beijingtu64,,0,,,,,,180,,,,,,27106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,可瑞尔,140230,,360,3,140230_2,1,140230_3,140230_1,,,,,,,,,-1,2,,999,"尝百味冰品，探舌尖秘密。
天才味蕾，化平淡为神奇。
无数实验，成就完美主义。",2,,,,,999,skin225,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着柠檬和薄荷叶！,,skill,#cda5b0a仅限筑梦礼盒产出#n,,,,,,,,,,dtxx_beijingtu63,,0,,,,,,180,,,,,,27107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,刑天侠,140232,,361,3,140232_2,1,140232_3,140232_1,,,,,,,,,-1,2,,999,刑天铠甲擅以掌进行战斗，因此武学招数多为掌法。在三个铠甲中能力平均，具有攻防兼备的能力，同时也是铠甲巡逻小队队长的专用铠甲，在铠甲小队中起到关键作用。,2,,,,,999,skin226,180,60,60,220,120,120,,headicon,头像：解锁头像。,,footprint,行走足迹：走过的地方留下刑天图腾脚印。,,,,,,,,,,,,,dtxx_beijingtu65,,0,,,,,,180,,,,,,27108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,风鹰侠,140233,,362,3,140233_2,1,140233_3,140233_1,,,,,,,,,-1,2,,999,风鹰铠甲是以蓝色为主色调，鹰为图腾的铠甲勇士。由召唤者和木之风鹰铠甲合体而成的战士。五行中属木，在五位战士中速度最快，属速战速决型的战士。,2,,,,,999,skin227,180,60,60,220,120,120,,headicon,头像：解锁头像。,,footprint,行走足迹：走过的地方留下风鹰图腾脚印。,,skill,#cda5b0a仅限筑梦礼盒产出#n,,,,,,,,,,dtxx_beijingtu66,,0,,,,,,180,,,,,,27109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,长发公主 萝拉,140234,,363,3,140234_2,1,140234_3,140234_1,,,,,,,,,-1,2,,999,"高楼上的悲泣，声声入耳却无人在意
上天的苛责，唾手可得仍免不了苛刻
待到神迹不再，天使离开
徒留一地荒芜，不知轮回几载",2,,,,,999,skin228,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着花瓣和树叶！,,,,,,,,,,,,,dtxx_beijingtu67,,0,,,,,,180,,,,,,27110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,玫珈,140277,,364,3,140277_2,1,140277_3,140277_1,,,,,,,,,-1,2,,999,来自神秘时空的酷酷武器机甲制造师玫珈全身上下都是高科技精密仪器：外套面料特殊似乎刀枪不入、眼镜镜片上不时闪过密密麻麻的发光文字、背后的奇怪装置据说蕴藏着强大的能量，不时之需还能当成大炮，或者...抡起来打跑坏人！,2,,,,,999,skin229,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着机械闪光！,,,,,,,,,,,,,dtxx_beijingtu79,,0,,,,,,180,,,,,,27111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,绮梦灵狐·华阳,140241,,365,3,140241_2,1,140241_3,140241_1,,,,,,,,,-1,2,,999,难忘梦魇蔽日，无常踏碎芳华。抚琴弦寄曲忧思，雨落人终散，从此未相见。,2,,,,,999,skin230,180,60,60,220,120,120,,bodyeffcet,特殊改变：游戏内可实现变色功能，改变造型和状态！,,headicon,头像框和身体特效：专属头像框，身上飘散着浅红色山茶花！,3,changeskin,#cda5b0a变色：点击左侧变色按钮，可切换灵狐为顽皮天真状态。#n,3,changeskin,#cda5b0a变色：点击左侧变色按钮，可切换灵狐为美艳华丽状态。#n,,skill,#cda5b0a仅限星辉礼盒产出#n,,,,dtxx_beijingtu68,,0,,,,,,180,,,,33076,,27112,,,"3_231,4_232",,231,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,绮梦灵狐·华阳,140239,,366,3,140239_2,1,140239_3,140239_1,,,,,,,,,-1,2,,999,记得花开满山，笙歌述尽盛繁。鸟居旁流年经转，当时笑闹声，春光绽日圆。,2,,,,,999,skin231,180,60,60,220,120,120,,bodyeffcet,特殊改变：游戏内可实现变色功能，改变造型和状态！,,headicon,头像框和身体特效：专属头像框，身上飘散着大红色山茶花！,3,changeskin,#cda5b0a变色：点击左侧变色按钮，可切换灵狐为温柔坚强状态。#n,3,changeskin,#cda5b0a变色：点击左侧变色按钮，可切换灵狐为美艳华丽状态。#n,,,#cda5b0a仅限星辉礼盒产出#n,,,,dtxx_beijingtu68,,0,,,,,,180,,,,,,27113,,,"3_230,4_232",,232,1,,,,,,,,,,,,,,,,,,,,,,,,,,
232,绮梦灵狐·华阳,140240,,367,3,140240_2,1,140240_3,140240_1,,,,,,,,,-1,2,,999,身负尘寰万丈，落樱浴血再生。寻春辉冲云破雾，梦回绿波边，翠带映韶颜。,2,,,,,999,skin232,180,60,60,220,120,120,,bodyeffcet,特殊改变：游戏内可实现变色功能，改变造型和状态！,,headicon,头像框和身体特效：专属头像框，身上飘散着暗红色山茶花！,3,changeskin,#cda5b0a变色：点击左侧变色按钮，可切换灵狐为温柔坚强状态。#n,3,changeskin,#cda5b0a变色：点击左侧变色按钮，可切换灵狐为顽皮天真状态。#n,,,#cda5b0a仅限星辉礼盒产出#n,,,,dtxx_beijingtu69,,0,,,,,,180,,,,,,27114,,,"3_230,4_231",,230,1,,,,,,,,,,,,,,,,,,,,,,,,,,
233,余晖烁烁女孩,140238,,368,3,140238_2,1,140238_3,140238_1,,,,,,,,,-1,2,,999,她曾是宇宙公主的学生，虽然走上过弯路但最终改过自新，摒弃前嫌，与昔日的对手结成好友。她在和谐之元中代表同理心。,2,,,,,999,skin233,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着余晖光圈！,,,,,,,,,,,,,dtxx_beijingtu11,,0,,,,icon_54,,180,,,,,,27115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,特丽克西女孩,140237,,369,3,140237_2,1,140237_3,140237_1,,,,,,,,,-1,2,,999,特丽克西是一位旅行魔术师，掌握着各种舞台魔法，在小马国各地为小马们表演精彩的魔术。她的可爱标志是星月魔术棒，寓意为“戏法“，所以任何魔法她都能学得有模有样。,2,,,,,999,skin234,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着魔法能量！,,,,,,,,,,,,,dtxx_beijingtu11,,0,,,,icon_54,,180,,,,,,27116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,闪耀盔甲男孩,140236,,370,3,140236_2,1,140236_3,140236_1,,,,,,,,,-1,2,,999,闪耀盔甲是紫悦的哥哥，与音韵公主喜结连理，沉稳、富有责任感，现与音韵公主一起治理着水晶帝国。他的可爱标志为盾牌和零散星星，魔力强大。,2,,,,,999,skin235,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着闪耀的星光！,,,,,,,,,,,,,dtxx_beijingtu15,,0,,,,icon_54,,180,,,,,,27117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,露米尔,140242,,371,3,140242_2,1,140242_3,140242_1,,,,,,,,,-1,2,,999,"尝奶油冰淇淋，看彩灯闪耀。
骑旋转木马，一起笑闹尖叫。
光电交织，辉映此刻雀跃时光！",2,,,,,999,skin236,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着星星！,,,,,,,,,,,,,,,0,,,,,,180,,,,,,27118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,卢西亚,140243,,372,3,140243_2,1,140243_3,140243_1,,,,,,,,,-1,2,,999,"闻爆米花香，共追逐嬉闹。
乘摩天轮，将要捉到太阳！
心心相印，无惧眼前酷暑骄阳！",2,,,,,999,skin237,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着星星！,,,,,,,,,,,,,,,0,,,,,,180,,,,,,27119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,拇指姑娘 蒂妮,140254,,373,3,140254_2,1,140254_3,140254_1,,,,,,,,,-1,2,,999,"小小的身体，大大的勇气。
捉地鼠捕飞鸟，守游鱼追山羊。
看我走遍森林，施展治愈的秘技！",2,,,,,999,skin238,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着治愈能量！,,skill,#cda5b0a仅限筑梦礼盒产出#n,,,,,,,,,,,,0,,,,,,180,,,,,,27120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,龙小宝,140253,,374,3,140253_2,1,140253_3,140253_1,,,,,,,,,-1,2,,999,"大大的笑容是小宝的招牌武器，
软软的奶团子把烦恼一键消灭。
吉祥物可不是想当就能当的，
首先奶嘴不能少…喂，抢了我的也当不了！",2,,,,,999,skin239,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着金色光点！,,,,,,,,,,,,,,,0,,,,,,180,,,,,,27121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,唐三,140245,,375,3,140245_2,1,140245_3,140245_1,,,,,,,,,-1,2,,999,没有废物的武魂，只有废物的魂师！,2,,,,,999,skin240,180,60,60,220,120,120,,headicon,头像：解锁头像。,,footprint,行走足迹：走过的地方留下闪电脚印。,,skill,#cda5b0a斗罗大陆联动装扮专属动作：展示武魂！#n,,,,,,,,,,dtxx_beijingtu70,,0,,,,,,180,,,,,,27122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,小舞,140246,,376,3,140246_2,1,140246_3,140246_1,,,,,,,,,-1,2,,999,你好，我叫小舞，跳舞的舞。,2,,,,,999,skin241,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着粉色花瓣！,,skill,#cda5b0a斗罗大陆联动装扮专属动作：展示武魂！#n,,,,,,,,,,dtxx_beijingtu70,,0,,,,,,180,,,,,,27123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,比比东,140247,,377,3,140247_2,1,140247_3,140247_1,,,,,,,,,-1,2,,999,对一个强者，你如果不能令其臣服，最好让他永远沉睡。,2,,,,,999,skin242,180,60,60,220,120,120,,headicon,头像：解锁头像。,,bodyeffcet,身体特效：身上飘散着羽毛！,,skill,#cda5b0a斗罗大陆联动装扮专属动作：展示武魂！#n,,,,,,,,,,dtxx_beijingtu71,,0,,,,,,180,,,,,,27124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
