接口ID,泰语,泰语,泰语,泰语,泰语,泰语,泰语
110014,การจัดการเป้,hasItemByBackpackBar,"Backpack:hasItemByBackpackBar(playerid, bartype, itemid)","playerid:number, bartype:number, itemid:number",ErrorCode.OK,ตรวจสอบว่าในเป้มีไอเทมบางอยางหรือไม่,"local result = Backpack:hasItemByBackpackBar(playerid, bartype, itemid)"
110015,การจัดการเป้,getItemNumByBackpackBar,"Backpack:getItemNumByBackpackBar(playerid, bartype, itemid)","playerid:number, bartype:number, itemid:number","ErrorCode.OK, num:number total number of items , arr:table item slot ID array",รับจำนวนของไอเทมบางอย่างในเป้ ในขณะเดียวกันส่งคืนกลุ่มตัวเลขช่องของเป้ที่มีไอเทมอยู่,"local result = Backpack:getItemNumByBackpackBar(playerid, bartype, itemid)"
110016,การจัดการเป้,getGridItemID,"Backpack:getGridItemID(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, itemid:number, num:number",รับIDและจำนวนของไอเทมในเป้,"local result = Backpack:getGridItemID(playerid, gridid)"
110017,การจัดการเป้,getGridItemName,"Backpack:getGridItemName(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, name:string",รับชื่อของไอเทมในเป้,"local result = Backpack:getGridItemName(playerid, gridid)"
110018,การจัดการเป้,getGridStack,"Backpack:getGridStack(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, num:number, maxstack:number",รับจำนวนไอเทมและจำนวนกองซ้อนกันสูงสุดในเป้,"local result = Backpack:getGridStack(playerid, gridid)"
110019,การจัดการเป้,getGridDurability,"Backpack:getGridDurability(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, durcur:number, durmax:number",รับค่าความทนทานและค่าความทนทานสูงสุดของไอเทมในเป้,"local result = Backpack:getGridDurability(playerid, gridid)"
110020,การจัดการเป้,getGridEnchantList,"Backpack:getGridEnchantList(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, num:number number, arr:table enchanted ID array",รับไอเทมร่ายมนตร์ในเป้ ส่งคืนดลุ่มตัวเลขidร่ายมนตร์,"local result = Backpack:getGridEnchantList(playerid, gridid)"
110021,การจัดการเป้,getGridToolType,"Backpack:getGridToolType(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, type:number tool type",รับประเภทเครื่องมือของไอเทมในเป้(<0แสดงว่าไม่ใช่เครื่องมือ),"local result = Backpack:getGridToolType(playerid, gridid)"
110022,การจัดการเป้,addItem,"Backpack:addItem(playerid, itemid, num)","playerid:number, itemid:number, num:number","ErrorCode.OK, successNum:number the number of successfully added",เพิ่มไอเทมเข้าไปในเป้,"local result = Backpack:addItem(playerid, itemid, num)"
110023,การจัดการเป้,discardItem,"Backpack:discardItem(playerid, gridid, num)","playerid:number, gridid:number, num:number",ErrorCode.OK,ทิ้งไอเทมในเป้,"local result = Backpack:discardItem(playerid, gridid, num)"
110024,การจัดการเป้,getGridNum,"Backpack:getGridNum(playerid, gridid)","playerid:number, gridid:number",ErrorCode.OK,รับจำนวนไอเทมในบางช่องของเป้,"local result = Backpack:getGridNum(playerid, gridid)"
120001,การจัดการแมพเล็ก,newShape,"MapMark:newShape(type, isshow, r, g, b)","type:number, isshow:boolean, r:number, g:number, b:number","ErrorCode.OK, shapeid:number",เพิ่มรูปร่าง(เส้น สี่เหลี่ยมผืนผ้า วงกลม),"local result = MapMark:newShape(type, isshow, r, g, b)"
120002,การจัดการแมพเล็ก,deleteShape,MapMark:deleteShape(shapeid),shapeid:number,ErrorCode.OK,ลบหนึ่งรูปร่าง,local result = MapMark:deleteShape(shapeid)
120003,การจัดการแมพเล็ก,setShapeColor,"MapMark:setShapeColor(shapeid, r, g, b)","shapeid:number, r:number, g:number, b:number",ErrorCode.OK,ตั้งค่าสีของรูปร่าง,"local result = MapMark:setShapeColor(shapeid, r, g, b)"
120004,การจัดการแมพเล็ก,showShape,"MapMark:showShape(shapeid, showflag)","shapeid:number, showflag:boolean",ErrorCode.OK,ตั้งค่าแสดงหรือซ่อนรูปร่าง,"local result = MapMark:showShape(shapeid, showflag)"
120005,การจัดการแมพเล็ก,updateLine,"MapMark:updateLine(shapeid, sx, sz, ex, ez)","shapeid:number, sx:number, sz:number, ex:number, ez:number",ErrorCode.OK,อัปเดตรูปร่าง(เส้น) ส่งพิกัดเริ่มต้นและพิกัดสิ้นสุด,"local result = MapMark:updateLine(shapeid, sx, sz, ex, ez)"
120006,การจัดการแมพเล็ก,updateRectangle,"MapMark:updateRectangle(shapeid, sx, sz, w, h)","shapeid:number, sx:number, sz:number, w:number, h:number",ErrorCode.OK,อัปเดตรูปร่าง(สี่เหลี่ยมผืนผ้า) ส่งพิกัดเริ่มต้นและขนาด,"local result = MapMark:updateRectangle(shapeid, sx, sz, w, h)"
120007,การจัดการแมพเล็ก,updateCircle,"MapMark:updateCircle(shapeid, cx, cz, r)","shapeid:number, cx:number, cz:number, r:number",ErrorCode.OK,อัปเดตรูปร่าง(วงกลม) ส่งพิกัดศูนย์กลางและรัศมีวงกลม,"local result = MapMark:updateCircle(shapeid, cx, cz, r)"
130001,การจัดการจุดเกิด,getSpawnPoint,Spawnport:getSpawnPoint(),nil,"ErrorCode.OK, x:number, y:number, z:number",รับตำำแหน่งจุดเกิด,local result = Spawnport:getSpawnPoint()
130002,การจัดการจุดเกิด,getChunkValidSpawnPos,"Spawnport:getChunkValidSpawnPos(x, y, z)","x:number, y:number, z:number","ErrorCode.OK, x:number, y:number, z:number",รับตำแหน่งที่สามารถตั้งเป็นจุดเกิดของขอบเขต ส่งไปยังตำแหน่งหนึ่งในขอบเขต,"local result = Spawnport:getChunkValidSpawnPos(x, y, z)"
